Step, Coverage [%], Step time [ns], Transition time [ns], Find ac time [ns]
9, -1.000000, 156536753, 1903252, 0, 0
19, -1.000000, 16826718, 1617954, 0, 0
29, -1.000000, 16997687, 1625296, 0, 0
39, -1.000000, 17121417, 1649343, 0, 0
49, -1.000000, 17714102, 1655796, 0, 0
59, -1.000000, 16688391, 1606466, 0, 0
69, -1.000000, 16095281, 1606868, 0, 0
79, -1.000000, 16817795, 1619292, 0, 0
89, -1.000000, 16853233, 1614885, 0, 0
99, -1.000000, 16619630, 1627705, 0, 0
109, -1.000000, 16558749, 1673301, 0, 0
119, -1.000000, 16724642, 1668218, 0, 0
129, -1.000000, 17047501, 1659549, 0, 0
139, -1.000000, 16789619, 1661083, 0, 0
149, -1.000000, 17047383, 1751512, 0, 0
159, -1.000000, 16421686, 1626251, 0, 0
169, -1.000000, 16486424, 1775754, 0, 0
179, -1.000000, 16389236, 1716157, 0, 0
189, -1.000000, 16504850, 1654274, 0, 0
199, -1.000000, 16686845, 1650986, 0, 0
209, -1.000000, 16848508, 1658689, 0, 0
219, -1.000000, 17346009, 1787442, 0, 0
229, -1.000000, 16765494, 1679566, 0, 0
239, -1.000000, 17070996, 1663338, 0, 0
249, -1.000000, 17079877, 1736151, 0, 0
259, -1.000000, 16921250, 1644145, 0, 0
269, -1.000000, 16908558, 1659044, 0, 0
279, -1.000000, 16802513, 1678007, 0, 0
289, -1.000000, 17363766, 1686513, 0, 0
299, -1.000000, 17051624, 1685939, 0, 0
309, -1.000000, 17121799, 1823708, 0, 0
319, -1.000000, 17126891, 1687658, 0, 0
329, -1.000000, 17159313, 1705390, 0, 0
339, -1.000000, 17245217, 1700130, 0, 0
349, -1.000000, 17361204, 1737578, 0, 0
359, -1.000000, 17369635, 1731492, 0, 0
369, -1.000000, 17583995, 1747831, 0, 0
379, -1.000000, 17889814, 1751002, 0, 0
389, -1.000000, 17572136, 1765957, 0, 0
399, -1.000000, 18038924, 1817209, 0, 0
409, -1.000000, 17993776, 1771591, 0, 0
419, -1.000000, 17782196, 1768156, 0, 0
429, -1.000000, 17792133, 1780220, 0, 0
439, -1.000000, 17795866, 1786459, 0, 0
449, -1.000000, 18175884, 1905524, 0, 0
459, -1.000000, 18056724, 1800288, 0, 0
469, -1.000000, 17995518, 1799531, 0, 0
479, -1.000000, 18461954, 1801602, 0, 0
489, -1.000000, 18172730, 1801891, 0, 0
499, -1.000000, 18217117, 1821263, 0, 0
509, -1.000000, 18440972, 1830182, 0, 0
519, -1.000000, 18399777, 1833396, 0, 0
529, -1.000000, 18465742, 1851219, 0, 0
539, -1.000000, 18663736, 1967255, 0, 0
549, -1.000000, 18639238, 1880481, 0, 0
559, -1.000000, 18762609, 1894664, 0, 0
569, -1.000000, 18747269, 1871303, 0, 0
579, -1.000000, 18881516, 1885880, 0, 0
589, -1.000000, 18861319, 1886284, 0, 0
599, -1.000000, 18869947, 1893702, 0, 0
609, -1.000000, 19198264, 1889313, 0, 0
619, -1.000000, 19080452, 1902187, 0, 0
629, -1.000000, 19532454, 1913668, 0, 0
639, -1.000000, 19303798, 1904523, 0, 0
649, -1.000000, 19478975, 2045794, 0, 0
659, -1.000000, 19429513, 2007437, 0, 0
669, -1.000000, 19630037, 2164847, 0, 0
679, -1.000000, 19522137, 1968629, 0, 0
689, -1.000000, 19786707, 1953093, 0, 0
699, -1.000000, 19741174, 1971855, 0, 0
709, -1.000000, 19736994, 1977158, 0, 0
719, -1.000000, 20098282, 1981954, 0, 0
729, -1.000000, 19935911, 1988044, 0, 0
739, -1.000000, 20010926, 1990364, 0, 0
749, -1.000000, 20000340, 1984154, 0, 0
759, -1.000000, 20447964, 2000289, 0, 0
769, -1.000000, 20188487, 2010014, 0, 0
779, -1.000000, 20190421, 2017617, 0, 0
789, -1.000000, 20270232, 2032748, 0, 0
799, -1.000000, 20345930, 2031793, 0, 0
809, -1.000000, 20560035, 2049224, 0, 0
819, -1.000000, 20512917, 2046141, 0, 0
829, -1.000000, 20482435, 2048072, 0, 0
839, -1.000000, 20657684, 2062127, 0, 0
849, -1.000000, 20631756, 2077382, 0, 0
859, -1.000000, 20670259, 2073845, 0, 0
869, -1.000000, 20958077, 2074099, 0, 0
879, -1.000000, 20918879, 2096039, 0, 0
889, -1.000000, 21254398, 2101342, 0, 0
899, -1.000000, 21081385, 2108079, 0, 0
909, -1.000000, 21083931, 2115389, 0, 0
919, -1.000000, 21672948, 2118827, 0, 0
929, -1.000000, 21268719, 2124274, 0, 0
939, -1.000000, 21462876, 2136660, 0, 0
949, -1.000000, 21602341, 2287959, 0, 0
959, -1.000000, 21475300, 2151877, 0, 0
969, -1.000000, 21652038, 2172747, 0, 0
979, -1.000000, 21876895, 2185344, 0, 0
989, -1.000000, 21761404, 2172433, 0, 0
999, -1.000000, 22023064, 2338202, 0, 0
1009, -1.000000, 22008272, 2191253, 0, 0
1019, -1.000000, 22141778, 2206526, 0, 0
1029, -1.000000, 22211312, 2206499, 0, 0
1039, -1.000000, 22112590, 2206082, 0, 0
1049, -1.000000, 22136505, 2216367, 0, 0
1059, -1.000000, 22725297, 2233803, 0, 0
1069, -1.000000, 22454449, 2241884, 0, 0
1079, -1.000000, 22464634, 2248457, 0, 0
1089, -1.000000, 22559626, 2262141, 0, 0
1099, -1.000000, 22565321, 2262963, 0, 0
1109, -1.000000, 22892684, 2269293, 0, 0
1119, -1.000000, 22757237, 2285253, 0, 0
1129, -1.000000, 22997526, 2291547, 0, 0
1139, -1.000000, 23049640, 2305334, 0, 0
1149, -1.000000, 23027471, 2310593, 0, 0
1159, -1.000000, 23090364, 2313477, 0, 0
1169, -1.000000, 23332465, 2326054, 0, 0
1179, -1.000000, 23414270, 2358795, 0, 0
1189, -1.000000, 23343419, 2353720, 0, 0
1199, -1.000000, 23363668, 2321807, 0, 0
