Step, Coverage [%], Step time [ns], Transition time [ns], Find ac time [ns]
9, -1.000000, 11767206, 22258, 0, 0
19, -1.000000, 1454902, 23409, 0, 0
29, -1.000000, 1286943, 24301, 0, 0
39, -1.000000, 1438396, 24478, 0, 0
49, -1.000000, 1115835, 27007, 0, 0
59, -1.000000, 1264021, 27440, 0, 0
69, -1.000000, 1117331, 29304, 0, 0
79, -1.000000, 1339983, 30709, 0, 0
89, -1.000000, 1125290, 29022, 0, 0
99, -1.000000, 1124620, 29866, 0, 0
109, -1.000000, 1254825, 31924, 0, 0
119, -1.000000, 1357688, 31281, 0, 0
129, -1.000000, 1128647, 33501, 0, 0
139, -1.000000, 1143059, 32135, 0, 0
149, -1.000000, 1148167, 33231, 0, 0
159, -1.000000, 1145447, 33127, 0, 0
169, -1.000000, 1148028, 33758, 0, 0
179, -1.000000, 1292021, 186700, 0, 0
189, -1.000000, 1142299, 34697, 0, 0
199, -1.000000, 1144100, 34469, 0, 0
209, -1.000000, 1141222, 35673, 0, 0
219, -1.000000, 1141399, 36046, 0, 0
229, -1.000000, 1374807, 35928, 0, 0
239, -1.000000, 1145685, 36524, 0, 0
249, -1.000000, 1155563, 39866, 0, 0
259, -1.000000, 1172272, 38985, 0, 0
269, -1.000000, 1174211, 40592, 0, 0
279, -1.000000, 1173684, 40956, 0, 0
289, -1.000000, 1178447, 40285, 0, 0
299, -1.000000, 1180657, 42589, 0, 0
309, -1.000000, 1180912, 41158, 0, 0
319, -1.000000, 1186792, 43154, 0, 0
329, -1.000000, 1189465, 45119, 0, 0
339, -1.000000, 1204883, 44139, 0, 0
349, -1.000000, 1647705, 45114, 0, 0
359, -1.000000, 1198741, 45051, 0, 0
369, -1.000000, 1209172, 46656, 0, 0
379, -1.000000, 1217294, 45036, 0, 0
389, -1.000000, 1218814, 45136, 0, 0
399, -1.000000, 1493235, 318384, 0, 0
409, -1.000000, 1229754, 48067, 0, 0
419, -1.000000, 1235527, 48760, 0, 0
429, -1.000000, 1234788, 48320, 0, 0
439, -1.000000, 1239925, 47592, 0, 0
449, -1.000000, 1240470, 49791, 0, 0
459, -1.000000, 1248404, 48509, 0, 0
469, -1.000000, 1247128, 50522, 0, 0
479, -1.000000, 1252894, 50809, 0, 0
489, -1.000000, 1258508, 51766, 0, 0
499, -1.000000, 1264087, 51466, 0, 0
509, -1.000000, 1257769, 52942, 0, 0
519, -1.000000, 1269191, 52552, 0, 0
529, -1.000000, 1266480, 53422, 0, 0
539, -1.000000, 1276544, 55011, 0, 0
549, -1.000000, 1278695, 55725, 0, 0
559, -1.000000, 1694588, 56092, 0, 0
569, -1.000000, 1277184, 54792, 0, 0
579, -1.000000, 1288461, 55893, 0, 0
589, -1.000000, 1281538, 57017, 0, 0
599, -1.000000, 1287971, 57016, 0, 0
609, -1.000000, 1286420, 56939, 0, 0
619, -1.000000, 1294016, 58863, 0, 0
629, -1.000000, 1301768, 59571, 0, 0
639, -1.000000, 1303722, 60715, 0, 0
649, -1.000000, 1301992, 59276, 0, 0
659, -1.000000, 1306977, 60934, 0, 0
669, -1.000000, 1312452, 60540, 0, 0
679, -1.000000, 1310669, 61006, 0, 0
689, -1.000000, 1311325, 61713, 0, 0
699, -1.000000, 1321964, 62683, 0, 0
709, -1.000000, 1322508, 61740, 0, 0
719, -1.000000, 1334965, 64029, 0, 0
729, -1.000000, 1333516, 64444, 0, 0
739, -1.000000, 1337586, 64002, 0, 0
749, -1.000000, 1342203, 64427, 0, 0
759, -1.000000, 1346093, 65312, 0, 0
769, -1.000000, 1353448, 65998, 0, 0
779, -1.000000, 1359943, 66724, 0, 0
789, -1.000000, 1355657, 66691, 0, 0
799, -1.000000, 1367502, 69157, 0, 0
809, -1.000000, 1796495, 68336, 0, 0
819, -1.000000, 1372328, 71373, 0, 0
829, -1.000000, 1373268, 69548, 0, 0
839, -1.000000, 1377292, 68951, 0, 0
849, -1.000000, 1385310, 71092, 0, 0
859, -1.000000, 1391669, 71430, 0, 0
869, -1.000000, 1402079, 73222, 0, 0
879, -1.000000, 1393689, 71092, 0, 0
889, -1.000000, 1405787, 72821, 0, 0
899, -1.000000, 1404629, 72168, 0, 0
909, -1.000000, 1408370, 73417, 0, 0
919, -1.000000, 1406543, 74985, 0, 0
929, -1.000000, 1410228, 74100, 0, 0
939, -1.000000, 1416925, 74581, 0, 0
949, -1.000000, 1419520, 74309, 0, 0
