Step, Coverage [%], Step time [ns], Transition time [ns], Find ac time [ns]
9, 0.000724, 389134606, 1145373, 5885363, 0
19, 0.003044, 70507350, 835973, 8305580, 0
29, 0.006820, 65739087, 89155, 5762097, 0
39, 0.011204, 62073992, 130652, 5694016, 0
49, 0.014928, 64358804, 166736, 5681849, 0
59, 0.018392, 61327984, 199201, 5677096, 0
69, 0.021964, 62354289, 232406, 5670014, 0
79, 0.025400, 61186344, 307510, 5649349, 0
89, 0.028800, 61286780, 293754, 5668762, 0
99, 0.032232, 63147113, 317457, 5618950, 0
109, 0.035596, 60642934, 413230, 5621686, 0
119, 0.039080, 60953190, 388235, 5614562, 0
129, 0.042404, 62567737, 419691, 5607667, 0
139, 0.045684, 61899046, 447796, 5602950, 0
149, 0.049108, 61523077, 877387, 5594786, 0
159, 0.052464, 62390207, 1677824, 5534984, 0
169, 0.055804, 63755556, 1226473, 5559789, 0
179, 0.059104, 61966327, 667725, 5555670, 0
189, 0.062460, 61560482, 600037, 5544059, 0
199, 0.065884, 62321102, 639705, 5532326, 0
209, 0.069212, 64444544, 672804, 5546620, 0
219, 0.072472, 62990264, 880605, 5521418, 0
229, 0.075756, 62813089, 728553, 5502087, 0
239, 0.079092, 63135799, 759991, 5482341, 0
249, 0.082388, 63582035, 943504, 5511369, 0
259, 0.085688, 64304855, 821907, 5511554, 0
269, 0.089016, 65001882, 856884, 5502841, 0
279, 0.092256, 63804963, 890323, 5481767, 0
289, 0.095512, 63964400, 917733, 5487523, 0
299, 0.098720, 64123428, 947071, 5446851, 0
309, 0.101976, 65538818, 1524180, 5468982, 0
319, 0.105272, 65459833, 1008863, 5467985, 0
329, 0.108500, 65219671, 1035664, 5441970, 0
339, 0.111820, 65235657, 1066283, 5464962, 0
349, 0.115068, 65217589, 1094687, 5388412, 0
359, 0.118268, 65522999, 1122643, 5412331, 0
369, 0.121536, 67006532, 1153362, 5438620, 0
379, 0.124764, 67391588, 1187087, 5435653, 0
389, 0.127976, 66617124, 1209641, 5415889, 0
399, 0.131212, 66668870, 1249924, 5422981, 0
409, 0.134488, 66716232, 1269032, 5442009, 0
419, 0.137744, 66894654, 1302917, 5386254, 0
429, 0.140912, 68507367, 1329091, 5399031, 0
439, 0.144096, 67974872, 1357759, 5397682, 0
449, 0.147268, 71742665, 1470721, 5376622, 0
459, 0.150516, 68361893, 1410280, 5356286, 0
469, 0.153760, 72784395, 1452534, 5347298, 0
479, 0.156908, 68441582, 1480929, 5372237, 0
489, 0.160044, 76715628, 1512353, 7795925, 0
499, 0.163248, 69558324, 1540520, 5340094, 0
509, 0.166488, 77637728, 1564736, 5332475, 0
519, 0.169692, 69804680, 1603086, 5349430, 0
529, 0.172908, 72463426, 1625289, 5373805, 0
539, 0.176144, 75208349, 1885320, 10541868, 0
549, 0.179456, 73148387, 1715148, 5339153, 0
559, 0.182636, 79264270, 1720732, 5316030, 0
569, 0.185932, 72659806, 1753644, 5325344, 0
579, 0.189164, 76644742, 1776313, 7716166, 0
589, 0.192292, 76961259, 1798471, 7100697, 0
599, 0.195488, 73562992, 1832382, 5293302, 0
609, 0.198656, 76717414, 1879221, 5268033, 0
619, 0.201840, 80279280, 1897047, 5289632, 0
629, 0.205028, 79525431, 1931344, 5267382, 0
639, 0.208256, 75255883, 1965547, 6285702, 0
649, 0.211388, 77703907, 2003781, 5274010, 0
659, 0.214544, 80286273, 2513919, 7734674, 0
669, 0.217720, 82624168, 2954593, 5269088, 0
679, 0.220812, 83816802, 2098600, 5319715, 0
689, 0.224056, 77526269, 2145142, 5298710, 0
699, 0.227228, 85198542, 2184255, 5303394, 0
709, 0.230320, 82005559, 2210939, 5289432, 0
719, 0.233508, 79811536, 2240921, 5276705, 0
729, 0.236640, 80147836, 2266600, 5274377, 0
739, 0.239760, 82210567, 2308070, 5304192, 0
749, 0.242904, 88407727, 2334870, 7330506, 0
759, 0.246136, 85128230, 2382334, 5280881, 0
769, 0.249248, 85357936, 2428431, 5292580, 0
779, 0.252312, 81717830, 2455787, 5302689, 0
789, 0.255564, 93822377, 2471944, 7612867, 0
799, 0.258740, 81263635, 2492227, 6833643, 0
809, 0.261936, 86401431, 2520897, 5224501, 0
819, 0.265120, 84861622, 2557790, 5286906, 0
829, 0.268320, 85237798, 2578236, 5231122, 0
839, 0.271576, 83925854, 2617011, 7563551, 0
849, 0.274696, 92166911, 2692721, 5216525, 0
859, 0.277848, 81085347, 2660852, 5175842, 0
869, 0.281072, 83567287, 2694939, 5191796, 0
879, 0.284188, 86829066, 2721870, 7406328, 0
889, 0.287416, 85446532, 2772906, 9699750, 0
899, 0.290588, 85338283, 3009400, 5171051, 0
909, 0.293772, 94414477, 2814832, 7543453, 0
919, 0.296904, 87469799, 2842762, 9617951, 0
929, 0.300020, 84142086, 2864238, 5148395, 0
939, 0.303164, 90546946, 2908198, 6111034, 0
949, 0.306256, 86373161, 3165764, 5159647, 0
959, 0.309440, 98391291, 2960427, 5133793, 0
969, 0.312572, 89731912, 3003725, 5177180, 0
979, 0.315708, 90836792, 3043975, 5327058, 0
989, 0.318788, 88702011, 3069000, 5125334, 0
999, 0.321836, 100614477, 3104733, 5110346, 0
1009, 0.324984, 96054536, 3114598, 8563809, 0
1019, 0.328176, 90530527, 3137930, 5108085, 0
1029, 0.331272, 97632764, 3157562, 6697591, 0
1039, 0.334376, 92950565, 3204598, 7008675, 0
1049, 0.337588, 89444851, 3225258, 5097390, 0
1059, 0.340752, 100189081, 3284854, 5079737, 0
1069, 0.343916, 95823151, 3319876, 9475534, 0
1079, 0.346972, 95738661, 3366194, 6543247, 0
1089, 0.350164, 93419993, 3407894, 5120001, 0
1099, 0.353316, 107623720, 3443940, 15712246, 0
1109, 0.356448, 93671470, 3505285, 5114751, 0
1119, 0.359536, 99731304, 3518230, 5091339, 0
1129, 0.362664, 95650153, 3562057, 5111777, 0
1139, 0.365760, 97063392, 3609042, 5516917, 0
1149, 0.368868, 100370253, 3644593, 10230539, 0
1159, 0.371952, 100780962, 3680828, 9521418, 0
1169, 0.375060, 97386360, 3702123, 7286415, 0
1179, 0.378216, 92873814, 3757588, 5151557, 0
1189, 0.381264, 97880645, 3802746, 5113430, 0
1199, 0.384428, 104741087, 3879186, 5112704, 0
1209, 0.387504, 111389524, 3915256, 6207688, 0
1219, 0.390584, 102575867, 3926705, 5108674, 0
1229, 0.393712, 99933662, 3982519, 5403644, 0
1239, 0.396820, 102082172, 4079229, 8660755, 0
1249, 0.399924, 99612113, 4119016, 5148335, 0
1259, 0.403080, 111629279, 4148222, 5137037, 0
1269, 0.406160, 110853663, 4237973, 7917026, 0
1279, 0.409260, 112156398, 4342657, 5170382, 0
1289, 0.412396, 104325242, 4445998, 5182496, 0
1299, 0.415560, 96304868, 4449622, 5152621, 0
1309, 0.418672, 96367349, 4490096, 5160723, 0
1319, 0.421848, 96681551, 4515107, 5148579, 0
1329, 0.424980, 96868150, 4557587, 5130982, 0
1339, 0.428060, 97064432, 4570068, 5134193, 0
1349, 0.431276, 97560605, 4623113, 5119518, 0
1359, 0.434380, 97634192, 4651722, 5122405, 0
1369, 0.437460, 97876639, 4690027, 5098871, 0
1379, 0.440576, 98139104, 4698132, 5124871, 0
1389, 0.443680, 98511778, 4735404, 5105566, 0
1399, 0.446792, 98593393, 4806159, 5076140, 0
1409, 0.449884, 98846913, 4793788, 5084655, 0
1419, 0.452964, 99419312, 5097834, 5085253, 0
1429, 0.456100, 99376748, 4866852, 5074064, 0
1439, 0.459244, 99835321, 4905008, 5066781, 0
1449, 0.462388, 100002488, 4943862, 5071557, 0
1459, 0.465532, 100256190, 4957258, 5051096, 0
1469, 0.468656, 100594458, 5005811, 5064064, 0
1479, 0.471832, 100772779, 5024824, 5043832, 0
1489, 0.474836, 101408475, 5060749, 5423110, 0
1499, 0.477992, 101374230, 5083803, 5065644, 0
1509, 0.481076, 101497874, 5123781, 5022986, 0
1519, 0.484204, 101767410, 5149866, 5024230, 0
1529, 0.487296, 102229222, 5207262, 5025088, 0
1539, 0.490376, 102399889, 5230268, 5000801, 0
1549, 0.493440, 103133525, 5261852, 4998061, 0
1559, 0.496496, 102950738, 5317422, 4999703, 0
1569, 0.499616, 103291749, 5334678, 4997533, 0
1579, 0.502664, 104437335, 5354428, 4992471, 0
1589, 0.505708, 103826595, 5394425, 4981533, 0
1599, 0.508784, 104091613, 5424497, 4986020, 0
1609, 0.511896, 104953052, 5463353, 4992711, 0
1619, 0.514984, 104561678, 5486476, 4960238, 0
1629, 0.518068, 106515273, 5511526, 4973437, 0
1639, 0.521196, 106741844, 5537072, 4959996, 0
1649, 0.524236, 105301294, 5575664, 4953398, 0
1659, 0.527360, 107175858, 5638227, 4947243, 0
1669, 0.530400, 105822985, 5647622, 4940070, 0
1679, 0.533472, 106089501, 5687075, 4935376, 0
1689, 0.536568, 108681791, 5709837, 4941663, 0
1699, 0.539660, 108836255, 5750079, 4934768, 0
1709, 0.542752, 106945199, 5778179, 4920539, 0
1719, 0.545808, 108546727, 5808314, 4918014, 0
1729, 0.548960, 109830530, 5865561, 4906387, 0
1739, 0.552048, 109769075, 5887985, 4910559, 0
1749, 0.555120, 109881087, 5939197, 4897578, 0
1759, 0.558260, 110257533, 5937797, 4895107, 0
1769, 0.561304, 110348498, 5975580, 4885294, 0
1779, 0.564300, 110623082, 6054943, 4887903, 0
1789, 0.567416, 110708511, 6040760, 4883563, 0
1799, 0.570504, 110374979, 6082643, 4877923, 0
1809, 0.573604, 114192036, 6105434, 7070008, 0
1819, 0.576688, 112131285, 6136568, 4884468, 0
1829, 0.579788, 112255148, 6168458, 4855834, 0
1839, 0.582872, 112812650, 6214668, 4860679, 0
1849, 0.585968, 112578151, 6254481, 4842928, 0
1859, 0.589024, 114189819, 6268718, 5681143, 0
1869, 0.592096, 113039389, 6303444, 4834682, 0
1879, 0.595236, 112947434, 6334210, 4834000, 0
1889, 0.598272, 115912535, 6361077, 4830736, 0
1899, 0.601304, 112391661, 6405493, 4815605, 0
1909, 0.604368, 114138497, 6439399, 4803989, 0
1919, 0.607452, 116591958, 6454878, 4821826, 0
1929, 0.610480, 116032306, 6490939, 4804087, 0
1939, 0.613588, 114703652, 6524065, 4790137, 0
1949, 0.616584, 114496374, 6547105, 4785908, 0
1959, 0.619700, 116106972, 6614382, 4795365, 0
1969, 0.622772, 117675071, 6634747, 4775803, 0
1979, 0.625804, 117728752, 6673642, 6086388, 0
1989, 0.628836, 116876856, 6696056, 4763021, 0
1999, 0.631920, 118042366, 6733021, 4764815, 0
2009, 0.634948, 118923181, 6768042, 4757482, 0
2019, 0.637916, 119911502, 6801407, 4758490, 0
2029, 0.641016, 120107684, 6832692, 4747034, 0
2039, 0.644108, 119686920, 6916187, 4753675, 0
2049, 0.647148, 120277494, 6884965, 4742323, 0
2059, 0.650104, 117440280, 6918901, 4722774, 0
2069, 0.653252, 120481816, 6954462, 4731351, 0
2079, 0.656284, 122965183, 6985505, 4725947, 0
2089, 0.659296, 117963026, 7010570, 4714172, 0
2099, 0.662212, 122777802, 7054196, 4712017, 0
2109, 0.665404, 121317136, 7089710, 4716677, 0
2119, 0.668556, 120933045, 7111802, 4700237, 0
2129, 0.671592, 122602076, 7136251, 4689591, 0
2139, 0.674692, 127015038, 7164528, 4689940, 0
2149, 0.677792, 123358649, 7187399, 4695732, 0
2159, 0.680884, 120934096, 7227209, 4691291, 0
2169, 0.683920, 125483863, 7282402, 4682508, 0
2179, 0.686968, 124247748, 7296622, 4677461, 0
2189, 0.689964, 132756633, 7357399, 4678764, 0
2199, 0.693120, 124214216, 7351306, 4664035, 0
2209, 0.696040, 127490238, 7370922, 4658079, 0
2219, 0.699152, 127147861, 7406951, 6499393, 0
2229, 0.702200, 124966786, 7438556, 4651937, 0
2239, 0.705220, 126608359, 7475532, 4648105, 0
2249, 0.708256, 124465606, 7519502, 4639492, 0
2259, 0.711380, 126033358, 7540473, 6059924, 0
2269, 0.714436, 124964442, 7576477, 4634002, 0
2279, 0.717460, 125477317, 7609509, 4631862, 0
2289, 0.720516, 123675660, 7655053, 4617963, 0
2299, 0.723532, 129102471, 7693239, 4613110, 0
