Step, Coverage [%], Step time [ns], Transition time [ns], Find ac time [ns]
9, 0.000724, 13884919, 19010, 1117885, 4707719
19, 0.003044, 13008493, 44315, 3230162, 4707719
29, 0.006820, 11036601, 51726, 991686, 4707719
39, 0.011204, 13160713, 73340, 1010206, 4707719
49, 0.014928, 11290297, 88891, 1041121, 4707719
59, 0.018392, 13536411, 101117, 1051141, 4707719
69, 0.021964, 16796918, 120558, 991986, 4707719
79, 0.025400, 17676311, 138766, 1090584, 4707719
89, 0.028816, 17430165, 151766, 1111718, 4707719
99, 0.032236, 12397261, 163096, 1080171, 4707719
109, 0.035596, 17988857, 179878, 999322, 4707719
119, 0.039096, 18213633, 200604, 1063942, 4707719
129, 0.042416, 15402605, 210807, 1092715, 4707719
139, 0.045708, 18046013, 232537, 6283176, 4707719
149, 0.049152, 18258174, 246724, 1012253, 4707719
159, 0.052472, 13262559, 258617, 1050207, 4707719
169, 0.055812, 18752578, 275828, 1005060, 4707719
179, 0.059112, 18897024, 295784, 1153503, 4707719
189, 0.062464, 18864154, 307424, 1033542, 4707719
199, 0.065884, 16499055, 327528, 1126978, 4707719
209, 0.069216, 17025434, 340875, 1077067, 4707719
219, 0.072512, 16761837, 356412, 3675485, 4707719
229, 0.075772, 14199633, 371832, 1011094, 4707719
239, 0.079116, 16913980, 388686, 1154785, 4707719
249, 0.082440, 14568516, 399360, 1104551, 4707719
259, 0.085712, 17229450, 414128, 3529249, 4707719
269, 0.089048, 14879534, 429576, 1124773, 4707719
279, 0.092292, 17367401, 447595, 1099615, 4707719
289, 0.095540, 17318667, 460836, 1111679, 4707719
299, 0.098748, 17674366, 472344, 1145338, 4707719
309, 0.102024, 17970001, 488566, 1014424, 4707719
319, 0.105300, 15633200, 502244, 1021095, 4707719
329, 0.108528, 15746690, 518053, 1020041, 4707719
339, 0.111840, 20426415, 531771, 1028877, 4707719
349, 0.115084, 18537507, 547482, 3528436, 4707719
359, 0.118284, 16211626, 557325, 1106304, 4707719
369, 0.121544, 18804501, 573576, 1095667, 4707719
379, 0.124772, 18686081, 586312, 1021228, 4707719
389, 0.127996, 16700266, 598951, 1131949, 4707719
399, 0.131236, 19232938, 611271, 1026267, 4707719
409, 0.134500, 17046818, 631280, 1179452, 4707719
419, 0.137760, 19486820, 645827, 1085360, 4707719
429, 0.140924, 19719050, 656809, 1094974, 4707719
439, 0.144108, 19744593, 671814, 1030668, 4707719
449, 0.147288, 19904493, 685705, 1049030, 4707719
459, 0.150532, 20138774, 695468, 1093722, 4707719
469, 0.153776, 20243664, 719360, 1117865, 4707719
479, 0.156920, 20635025, 733615, 1060762, 4707719
489, 0.160052, 20626586, 746722, 1122023, 4707719
499, 0.163256, 20857503, 757043, 1141853, 4707719
509, 0.166496, 18464997, 769254, 1026717, 4707719
519, 0.169704, 20479681, 791426, 1083290, 4707719
529, 0.172920, 20631545, 802218, 1045986, 4707719
539, 0.176156, 21245902, 819042, 1098043, 4707719
549, 0.179464, 20057004, 833845, 1161888, 4707719
559, 0.182652, 20370288, 845977, 1124146, 4707719
569, 0.185960, 19361298, 861392, 1118068, 4707719
579, 0.189196, 22043461, 881292, 1146957, 4707719
589, 0.192320, 21444314, 891862, 1127549, 4707719
599, 0.195520, 22120659, 904158, 1043033, 4707719
609, 0.198684, 21694202, 918151, 1034202, 4707719
619, 0.201868, 22498357, 930081, 1126319, 4707719
629, 0.205056, 21990972, 949271, 1084626, 4707719
639, 0.208288, 24366565, 959931, 2818797, 4707719
649, 0.211424, 22655474, 976742, 1035529, 4707719
659, 0.214584, 22513706, 991306, 1040906, 4707719
669, 0.217752, 22364172, 1006719, 1181482, 4707719
679, 0.220848, 22759925, 1016015, 1065155, 4707719
689, 0.224108, 23616709, 1034951, 1207973, 4707719
699, 0.227280, 25444688, 1047402, 2887038, 4707719
709, 0.230368, 23971567, 1060996, 1054009, 4707719
719, 0.233552, 23994839, 1073463, 1104593, 4707719
729, 0.236680, 23551606, 1084088, 1087983, 4707719
739, 0.239804, 21517686, 1099451, 1038772, 4707719
749, 0.242948, 26375253, 1111771, 3343624, 4707719
759, 0.246184, 23883118, 1126164, 1113411, 4707719
769, 0.249296, 24536583, 1143887, 1050824, 4707719
779, 0.252372, 24780751, 1156539, 1150889, 4707719
789, 0.255620, 23920561, 1169608, 1041471, 4707719
799, 0.258804, 26914953, 1187682, 1085489, 4707719
809, 0.261992, 24992301, 1197902, 1120988, 4707719
819, 0.265168, 25481307, 1210142, 1054661, 4707719
829, 0.268368, 27543614, 1228389, 1052336, 4707719
839, 0.271624, 23245029, 1239619, 1061190, 4707719
849, 0.274752, 24769981, 1258674, 1044761, 4707719
859, 0.277892, 25438168, 1264438, 1046531, 4707719
869, 0.281128, 23742821, 1282591, 1047959, 4707719
879, 0.284236, 27562356, 1293814, 1065884, 4707719
889, 0.287468, 26308407, 1313947, 1061487, 4707719
899, 0.290640, 25236165, 1324518, 1051379, 4707719
909, 0.293820, 28587419, 1337569, 1076702, 4707719
919, 0.296956, 26809010, 1352061, 1048464, 4707719
929, 0.300068, 24525071, 1364335, 1056503, 4707719
939, 0.303204, 29226338, 1381778, 1074307, 4707719
949, 0.306292, 27025575, 1393298, 1172789, 4707719
959, 0.309472, 27359789, 1409487, 1357114, 4707719
969, 0.312600, 28474831, 1424208, 1052529, 4707719
979, 0.315732, 30936821, 1434941, 4010055, 4707719
989, 0.318812, 27898518, 1446868, 1057255, 4707719
999, 0.321860, 28307053, 1463289, 1221094, 4707719
1009, 0.325008, 29537777, 1472397, 1057821, 4707719
1019, 0.328200, 28645368, 1488178, 1135566, 4707719
1029, 0.331296, 30089435, 1505291, 1221641, 4707719
1039, 0.334400, 28586505, 1517081, 1144253, 4707719
1049, 0.337612, 29348180, 1532943, 2731674, 4707719
1059, 0.340776, 26453148, 1549468, 1057020, 4707719
1069, 0.343940, 28489819, 1562154, 1130468, 4707719
1079, 0.346996, 28776868, 1576021, 1066121, 4707719
1089, 0.350192, 29968202, 1587961, 1088226, 4707719
1099, 0.353340, 31831818, 1602533, 1061053, 4707719
1109, 0.356472, 28318945, 1618667, 1111021, 4707719
1119, 0.359560, 28343495, 1625638, 2235075, 4707719
1129, 0.362688, 28040464, 1643181, 1057983, 4707719
1139, 0.365776, 30429067, 1654304, 1943331, 4707719
1149, 0.368892, 29126884, 1671144, 1052829, 4707719
1159, 0.371980, 27723768, 1684247, 1099218, 4707719
1169, 0.375084, 31807060, 1700507, 1054557, 4707719
1179, 0.378260, 30973064, 1713448, 3216804, 4707719
1189, 0.381304, 29571974, 1725840, 1052363, 4707719
1199, 0.384472, 28258685, 1741099, 1116694, 4707719
1209, 0.387544, 31755206, 1751069, 1054524, 4707719
1219, 0.390624, 31942048, 1764175, 2449023, 4707719
1229, 0.393748, 30652987, 1781051, 1059700, 4707719
1239, 0.396844, 31135839, 1794328, 1056567, 4707719
1249, 0.399952, 30954266, 1809482, 1057071, 4707719
1259, 0.403108, 34411631, 1819932, 1061229, 4707719
1269, 0.406176, 34658889, 1837504, 1134223, 4707719
1279, 0.409284, 30699702, 1850945, 1056685, 4707719
1289, 0.412420, 35329201, 1867324, 1058007, 4707719
1299, 0.415576, 43735225, 1877872, 1067160, 4707719
1309, 0.418696, 34886136, 1897321, 2534314, 4707719
1319, 0.421872, 35075416, 1909390, 1066982, 4707719
1329, 0.425000, 40309355, 1933115, 1158350, 4707719
1339, 0.428088, 37332732, 1942877, 3372044, 4707719
1349, 0.431300, 32515785, 1947128, 1150179, 4707719
1359, 0.434400, 34261408, 1965276, 1183580, 4707719
1369, 0.437484, 40712148, 1975602, 1071785, 4707719
1379, 0.440604, 38493247, 1983547, 3656101, 4707719
1389, 0.443704, 46862183, 2004104, 1600677, 4707719
1399, 0.446816, 37963772, 2014222, 2637525, 4707719
1409, 0.449908, 39903647, 2039331, 2424077, 4707719
1419, 0.452996, 33243408, 2054526, 1191321, 4707719
1429, 0.456132, 40998443, 2065668, 1197779, 4707719
1439, 0.459284, 35828978, 2077724, 1906781, 4707719
1449, 0.462432, 40418286, 2089108, 2647151, 4707719
1459, 0.465572, 35676150, 2093647, 1127765, 4707719
1469, 0.468712, 35367834, 2119112, 2370208, 4707719
1479, 0.471884, 35599131, 2125999, 1069479, 4707719
1489, 0.474880, 33679032, 2139042, 1904099, 4707719
1499, 0.478040, 39376747, 2152346, 4288359, 4707719
1509, 0.481124, 37164215, 2166310, 1090494, 4707719
1519, 0.484248, 37894150, 2175579, 1068791, 4707719
1529, 0.487336, 38355443, 2194787, 1076598, 4707719
1539, 0.490420, 38910841, 2207082, 2888603, 4707719
1549, 0.493476, 36431578, 2223572, 1072009, 4707719
1559, 0.496524, 35895742, 2240353, 1203647, 4707719
1569, 0.499644, 35898920, 2249083, 1129322, 4707719
1579, 0.502692, 35656226, 2260199, 1086821, 4707719
1589, 0.505736, 56495370, 2277207, 1079506, 4707719
1599, 0.508816, 36183205, 2289068, 1159932, 4707719
1609, 0.511932, 48935039, 2243634, 1087737, 4707719
1619, 0.515020, 37588348, 2254551, 1082035, 4707719
1629, 0.518104, 45408588, 2261552, 1184383, 4707719
1639, 0.521244, 38809447, 2276720, 1096350, 4707719
1649, 0.524284, 48154508, 2260203, 1224030, 4707719
1659, 0.527404, 40700092, 2271582, 1081760, 4707719
1669, 0.530444, 42986060, 2286489, 1083294, 4707719
1679, 0.533516, 40669066, 2297754, 1079007, 4707719
1689, 0.536616, 47855312, 2270518, 1086253, 4707719
1699, 0.539700, 39066625, 2283047, 1776631, 4707719
1709, 0.542796, 42263940, 2294575, 1080485, 4707719
1719, 0.545852, 44770009, 2306424, 2395073, 4707719
1729, 0.549004, 39907995, 2342840, 6644749, 4707719
1739, 0.552092, 44234254, 2357427, 6107802, 4707719
1749, 0.555164, 41936727, 2372843, 1081382, 4707719
1759, 0.558312, 40780377, 2385042, 1088003, 4707719
1769, 0.561348, 43264469, 2420260, 1084248, 4707719
1779, 0.564336, 40238367, 2430094, 1090793, 4707719
1789, 0.567452, 40390222, 2441741, 1090913, 4707719
1799, 0.570540, 40387650, 2457494, 1088962, 4707719
1809, 0.573640, 40230210, 2467545, 1089147, 4707719
1819, 0.576724, 40099593, 2481281, 1088651, 4707719
1829, 0.579840, 43572240, 2531244, 1521995, 4707719
1839, 0.582908, 49148231, 2546575, 1220503, 4707719
1849, 0.586016, 40745029, 2457568, 1086315, 4707719
1859, 0.589068, 45210267, 2473619, 1180514, 4707719
1869, 0.592140, 42212910, 2482833, 1086747, 4707719
1879, 0.595280, 40512295, 2514733, 1088989, 4707719
1889, 0.598312, 52732193, 2543174, 1089728, 4707719
1899, 0.601348, 48660682, 2556467, 1440754, 4707719
1909, 0.604404, 39144177, 2569974, 1100004, 4707719
1919, 0.607484, 52889808, 2581637, 1231633, 4707719
1929, 0.610508, 43522659, 2601921, 1093543, 4707719
1939, 0.613612, 54948307, 2609434, 3708132, 4707719
1949, 0.616612, 41575407, 2620091, 2958611, 4707719
1959, 0.619720, 43295086, 2561177, 1128308, 4707719
1969, 0.622800, 46590204, 2571744, 1950722, 4707719
1979, 0.625820, 42410602, 2604047, 2914821, 4707719
1989, 0.628868, 40799902, 2636528, 2638405, 4707719
1999, 0.631936, 42616040, 2645955, 1155149, 4707719
2009, 0.634976, 47674912, 2664927, 1135822, 4707719
2019, 0.637932, 44316438, 2681272, 1227341, 4707719
2029, 0.641040, 45613492, 2677658, 1099065, 4707719
2039, 0.644124, 47203165, 2698475, 3643230, 4707719
2049, 0.647172, 44140948, 2734635, 1167527, 4707719
2059, 0.650124, 45407403, 2754207, 1201822, 4707719
2069, 0.653272, 46176682, 2780499, 1136718, 4707719
2079, 0.656308, 48546089, 2800065, 5965315, 4707719
2089, 0.659316, 41348667, 2809375, 1178804, 4707719
2099, 0.662236, 43824289, 2852680, 1247125, 4707719
2109, 0.665424, 40532548, 2862830, 1106816, 4707719
2119, 0.668588, 55314437, 2915718, 1182700, 4707719
2129, 0.671628, 44144411, 2926504, 1141147, 4707719
2139, 0.674732, 52707646, 2846829, 9592306, 4707719
2149, 0.677836, 43948989, 2861064, 1158076, 4707719
2159, 0.680932, 55099106, 2879381, 1154488, 4707719
2169, 0.683960, 43859810, 2892417, 3672293, 4707719
2179, 0.687012, 53906026, 2880022, 6264564, 4707719
2189, 0.690004, 51004367, 2910938, 1164562, 4707719
2199, 0.693168, 55003076, 2979221, 3485177, 4707719
2209, 0.696080, 48422183, 2991832, 1168244, 4707719
2219, 0.699196, 69680293, 3048499, 1136814, 4707719
2229, 0.702240, 47330021, 3060325, 1188572, 4707719
2239, 1.000000, 40954076, 4103240, 52, 4707719
2249, 1.000000, 41294699, 4164679, 52, 4707719
2259, 1.000000, 42197253, 4277981, 52, 4707719
2269, 1.000000, 42512988, 4251947, 52, 4707719
2279, 1.000000, 42475933, 4248128, 52, 4707719
