Step, Coverage [%], Step time [ns], Transition time [ns], Find ac time [ns]
9, 0.000724, 45445697, 17776, 901314, 0
19, 0.003044, 10667991, 467379, 880482, 0
29, 0.006820, 9569962, 19559, 904675, 0
39, 0.011204, 10119259, 26221, 880791, 0
49, 0.014928, 9072911, 26850, 878912, 0
59, 0.018392, 9298400, 35199, 873359, 0
69, 0.021964, 9274676, 36864, 882816, 0
79, 0.025400, 9540932, 37350, 881559, 0
89, 0.028800, 9322660, 39763, 872059, 0
99, 0.032232, 22028031, 39098, 853020, 0
109, 0.035596, 9171060, 44544, 854186, 0
119, 0.039080, 9591839, 45565, 862997, 0
129, 0.042404, 8981502, 48262, 867122, 0
139, 0.045684, 9195460, 48629, 846074, 0
149, 0.049108, 9102263, 199531, 843146, 0
159, 0.052464, 9114726, 53007, 849047, 0
169, 0.055804, 9506267, 55611, 841142, 0
179, 0.059104, 9370212, 395006, 837724, 0
189, 0.062460, 9036707, 59146, 840316, 0
199, 0.065884, 9173634, 64310, 846920, 0
209, 0.069212, 9064006, 67915, 833829, 0
219, 0.072472, 9155969, 71645, 829428, 0
229, 0.075756, 9638503, 69556, 840779, 0
239, 0.079092, 9454167, 71658, 831139, 0
249, 0.082388, 9115047, 74257, 847089, 0
259, 0.085688, 9161606, 74320, 854716, 0
269, 0.089016, 14929716, 74854, 826621, 0
279, 0.092256, 9995555, 78121, 830483, 0
289, 0.095512, 9210010, 76530, 843847, 0
299, 0.098720, 9050721, 78687, 826949, 0
309, 0.101976, 9146450, 82201, 823064, 0
319, 0.105272, 9114247, 82779, 830626, 0
329, 0.108500, 9141000, 86359, 826201, 0
339, 0.111820, 9420363, 86099, 847504, 0
349, 0.115068, 9304411, 88229, 828293, 0
359, 0.118268, 9168313, 90750, 826465, 0
369, 0.121536, 9212009, 92318, 834218, 0
379, 0.124764, 9228440, 95375, 817397, 0
389, 0.127976, 9026182, 93817, 782194, 0
399, 0.131212, 9441409, 521327, 783926, 0
409, 0.134488, 8927918, 100070, 798910, 0
419, 0.137744, 9138181, 102451, 783854, 0
429, 0.140912, 8923769, 105723, 787451, 0
439, 0.144096, 13734733, 111162, 5508016, 0
449, 0.147268, 8843693, 103650, 773573, 0
459, 0.150516, 8873497, 105000, 772434, 0
469, 0.153760, 8897443, 107665, 776515, 0
479, 0.156908, 8884753, 108302, 772289, 0
489, 0.160044, 9448814, 111241, 806607, 0
499, 0.163248, 8857196, 110145, 774171, 0
509, 0.166488, 8843036, 114519, 772036, 0
519, 0.169692, 8943349, 114008, 793374, 0
529, 0.172908, 8889895, 118648, 770318, 0
539, 0.176144, 9218508, 117957, 771002, 0
549, 0.179456, 9042320, 121542, 801778, 0
559, 0.182636, 9065600, 121799, 772073, 0
569, 0.185932, 8991168, 125050, 765955, 0
579, 0.189164, 9020622, 124611, 768832, 0
589, 0.192292, 9021952, 127822, 777861, 0
599, 0.195488, 9009595, 128703, 766780, 0
609, 0.198656, 9081794, 129654, 789150, 0
619, 0.201840, 9551015, 132941, 778856, 0
629, 0.205028, 9143564, 132566, 794947, 0
639, 0.208256, 9336573, 136441, 773421, 0
649, 0.211388, 9328293, 137570, 768496, 0
659, 0.214544, 9144398, 139409, 772012, 0
669, 0.217720, 9183487, 141637, 771692, 0
679, 0.220812, 9365741, 142026, 773235, 0
689, 0.224056, 9224874, 144956, 771805, 0
699, 0.227228, 9472700, 146393, 768517, 0
709, 0.230320, 9506923, 148175, 766953, 0
719, 0.233508, 9408209, 151617, 862041, 0
729, 0.236640, 9483555, 152141, 794255, 0
739, 0.239760, 10234034, 156602, 768306, 0
749, 0.242904, 9892480, 153627, 790861, 0
759, 0.246136, 22213748, 158709, 762633, 0
769, 0.249248, 9649825, 158019, 784323, 0
779, 0.252312, 9797027, 159371, 876960, 0
789, 0.255564, 9791115, 162330, 839074, 0
799, 0.258740, 9789644, 163831, 859103, 0
809, 0.261936, 9834007, 167526, 836908, 0
819, 0.265120, 9704627, 166439, 777842, 0
829, 0.268320, 9805546, 170360, 868402, 0
839, 0.271576, 9840651, 170960, 835083, 0
849, 0.274696, 9690946, 172347, 761554, 0
859, 0.277848, 9759610, 175017, 864235, 0
869, 0.281072, 9800204, 174910, 771259, 0
