Step, Coverage [%], Step time [ns], Transition time [ns], Find ac time [ns]
9, 0.000724, 6727093, 19867, 618039, 1852112
19, 0.003044, 6375096, 20920, 616758, 1852112
29, 0.006820, 6460846, 30427, 617988, 1852112
39, 0.011204, 6598997, 39946, 626035, 1852112
49, 0.014928, 12062652, 48176, 615216, 1852112
59, 0.018392, 6682938, 49931, 611812, 1852112
69, 0.021964, 6699056, 59479, 613324, 1852112
79, 0.025400, 6775578, 63139, 613690, 1852112
89, 0.028816, 6874188, 69048, 614796, 1852112
99, 0.032236, 6903748, 72683, 615084, 1852112
109, 0.035596, 6933502, 77730, 624675, 1852112
119, 0.039096, 7033291, 86071, 626897, 1852112
129, 0.042416, 7054345, 92804, 620885, 1852112
139, 0.045708, 7150147, 97927, 617919, 1852112
149, 0.049152, 7221667, 99798, 615686, 1852112
159, 0.052472, 7238705, 105057, 619515, 1852112
169, 0.055812, 7306570, 108274, 632959, 1852112
179, 0.059112, 7362353, 113728, 639926, 1852112
189, 0.062464, 7397018, 119457, 620429, 1852112
199, 0.065884, 7484851, 124893, 619078, 1852112
209, 0.069216, 7503986, 130039, 621606, 1852112
219, 0.072512, 7572517, 135768, 631885, 1852112
229, 0.075772, 7643673, 137909, 624607, 1852112
239, 0.079116, 7685717, 145558, 624783, 1852112
249, 0.082440, 7797275, 158508, 646357, 1852112
259, 0.085712, 7819939, 156220, 627183, 1852112
269, 0.089048, 25027841, 153760, 732713, 1852112
279, 0.092292, 7789737, 156483, 622665, 1852112
289, 0.095540, 7846549, 160948, 625182, 1852112
299, 0.098748, 7843793, 164687, 620549, 1852112
309, 0.102024, 7893446, 169358, 622713, 1852112
319, 0.105300, 7972523, 174747, 620030, 1852112
329, 0.108528, 7976186, 176241, 624411, 1852112
339, 0.111840, 8068316, 181901, 642054, 1852112
349, 0.115084, 8076895, 185434, 624994, 1852112
359, 0.118284, 8139573, 187918, 622266, 1852112
369, 0.121544, 8217536, 194046, 621486, 1852112
379, 0.124772, 8222760, 199797, 623454, 1852112
389, 0.127996, 8311878, 203260, 623844, 1852112
399, 0.131236, 8312183, 208410, 626265, 1852112
409, 0.134500, 8356173, 211284, 625266, 1852112
419, 0.137760, 8455783, 217387, 623720, 1852112
429, 0.140924, 8444070, 221121, 624373, 1852112
439, 0.144108, 8530944, 225210, 622213, 1852112
449, 0.147288, 8541986, 230787, 625931, 1852112
459, 0.150532, 8613106, 231953, 639917, 1852112
469, 0.153776, 14391062, 229198, 624513, 1852112
479, 0.156920, 8612543, 232355, 625529, 1852112
489, 0.160052, 8607278, 239361, 631148, 1852112
499, 0.163256, 8679865, 242023, 637896, 1852112
509, 0.166496, 8699096, 245697, 627347, 1852112
519, 0.169704, 8767817, 250185, 623302, 1852112
529, 0.172920, 8828006, 257258, 624933, 1852112
539, 0.176156, 8843210, 260740, 625841, 1852112
549, 0.179464, 8907312, 264955, 624550, 1852112
559, 0.182652, 8935392, 269856, 625720, 1852112
569, 0.185960, 9011124, 273467, 625766, 1852112
579, 0.189196, 9022507, 277960, 625173, 1852112
589, 0.192320, 9109583, 279891, 639798, 1852112
599, 0.195520, 9125192, 286553, 624314, 1852112
609, 0.198684, 9150050, 289266, 628273, 1852112
619, 0.201868, 9225263, 291767, 625446, 1852112
629, 0.205056, 9231526, 297036, 625964, 1852112
639, 0.208288, 9303248, 301067, 626110, 1852112
649, 0.211424, 9322538, 307969, 629057, 1852112
659, 0.214584, 9417432, 312988, 637236, 1852112
669, 0.217752, 9404873, 314656, 626451, 1852112
679, 0.220848, 9511634, 317177, 627619, 1852112
689, 0.224108, 9516696, 322496, 627075, 1852112
699, 0.227280, 9578812, 328048, 628270, 1852112
709, 0.230368, 9582891, 329945, 628563, 1852112
719, 0.233552, 9644102, 335717, 630469, 1852112
729, 0.236680, 9807273, 338456, 639183, 1852112
739, 0.239804, 9731914, 343652, 636623, 1852112
749, 0.242948, 9758432, 346828, 637206, 1852112
759, 0.246184, 11471164, 351904, 629274, 1852112
769, 0.249296, 9835435, 354402, 628081, 1852112
779, 0.252372, 9922532, 357693, 628701, 1852112
789, 0.255620, 9932195, 362458, 631071, 1852112
799, 0.258804, 10015363, 366031, 630224, 1852112
809, 0.261992, 10023705, 372549, 627796, 1852112
819, 0.265168, 10072597, 373491, 629399, 1852112
829, 0.268368, 10103086, 378266, 631694, 1852112
839, 0.271624, 10162102, 383219, 629501, 1852112
849, 0.274752, 10196656, 389372, 630644, 1852112
859, 0.277892, 10252947, 391665, 631768, 1852112
869, 0.281128, 10280369, 393522, 632117, 1852112
879, 0.284236, 10350087, 400498, 628763, 1852112
889, 0.287468, 10350891, 405000, 632659, 1852112
899, 0.290640, 10431006, 409292, 641636, 1852112
909, 0.293820, 10432601, 412210, 639929, 1852112
919, 0.296956, 10517441, 416373, 635173, 1852112
929, 0.300068, 10508383, 420934, 630887, 1852112
939, 0.303204, 10590762, 425106, 631456, 1852112
949, 0.306292, 10608239, 429141, 631572, 1852112
959, 0.309472, 10674602, 432368, 637999, 1852112
969, 0.312600, 10691841, 437508, 637078, 1852112
979, 0.315732, 10756608, 439822, 634038, 1852112
989, 0.318812, 10807241, 446124, 652583, 1852112
999, 0.321860, 10837789, 449738, 633701, 1852112
1009, 0.325008, 10894802, 453579, 634989, 1852112
1019, 0.328200, 10913861, 457510, 633690, 1852112
1029, 0.331296, 10975464, 461790, 633448, 1852112
1039, 0.334400, 11024914, 465060, 645096, 1852112
1049, 0.337612, 11075985, 471562, 632937, 1852112
1059, 0.340776, 11129415, 475981, 635544, 1852112
1069, 0.343940, 11185339, 480631, 643262, 1852112
1079, 0.346996, 11172201, 482505, 633443, 1852112
1089, 0.350192, 11229525, 486797, 634234, 1852112
1099, 0.353340, 11293933, 491176, 637622, 1852112
1109, 0.356472, 11295382, 495826, 633081, 1852112
1119, 0.359560, 11349511, 499625, 633742, 1852112
1129, 0.362688, 11406604, 503768, 635819, 1852112
1139, 0.365776, 11450275, 507548, 633885, 1852112
1149, 0.368892, 11474425, 513539, 639365, 1852112
1159, 0.371980, 11531842, 515936, 634699, 1852112
1169, 0.375084, 11585363, 520090, 637499, 1852112
1179, 0.378260, 11598550, 525468, 635525, 1852112
1189, 0.381304, 11709528, 529332, 641187, 1852112
1199, 0.384472, 11697085, 530714, 638133, 1852112
1209, 0.387544, 11774949, 539017, 639001, 1852112
1219, 0.390624, 11810023, 541058, 649305, 1852112
1229, 0.393748, 11837691, 543702, 638661, 1852112
1239, 0.396844, 11903192, 548426, 637569, 1852112
1249, 0.399952, 11918844, 552195, 638173, 1852112
1259, 0.403108, 11991496, 555644, 650494, 1852112
