Step, Coverage [%], Step time [ns], Transition time [ns], Find ac time [ns]
9, 0.000000, 256380478, 4715488, 0, 0
19, 0.000000, 47173647, 4702652, 0, 0
29, 0.000000, 47152686, 4715263, 0, 0
39, 0.000000, 43297787, 4298782, 0, 0
49, 0.000000, 42957884, 4295140, 0, 0
59, 0.000000, 42903081, 4287838, 0, 0
69, 0.000000, 42764563, 4279016, 0, 0
79, 0.000000, 40960485, 4076828, 0, 0
89, 0.000000, 40610802, 4060557, 0, 0
99, 0.000000, 40629562, 4060608, 0, 0
109, 0.000000, 40554534, 4054537, 0, 0
119, 0.000000, 40494091, 4055674, 0, 0
129, 0.000000, 40469667, 4047608, 0, 0
139, 0.000000, 40450540, 4051846, 0, 0
149, 0.000000, 40463499, 4073375, 0, 0
159, 0.000000, 40393576, 4041927, 0, 0
169, 0.000000, 40345334, 4044331, 0, 0
179, 0.000000, 40331383, 4033802, 0, 0
189, 0.000000, 40285032, 4035477, 0, 0
199, 0.000000, 40325114, 4048448, 0, 0
209, 0.000000, 40371450, 4033194, 0, 0
219, 0.000000, 40354502, 4032615, 0, 0
229, 0.000000, 40290994, 4034887, 0, 0
239, 0.000000, 40554781, 4049292, 0, 0
249, 0.000000, 40582078, 4056377, 0, 0
259, 0.000000, 40506651, 4037895, 0, 0
269, 0.000000, 40458221, 4050947, 0, 0
279, 0.000000, 40611161, 4080832, 0, 0
289, 0.000000, 40849815, 4097359, 0, 0
299, 0.000000, 40909641, 4089387, 0, 0
309, 0.000000, 40849162, 4091516, 0, 0
319, 0.000000, 40799188, 4078235, 0, 0
329, 0.000000, 40776538, 4076459, 0, 0
339, 0.000000, 40708526, 4067333, 0, 0
349, 0.000000, 40736614, 4076632, 0, 0
359, 0.000000, 40674945, 4063897, 0, 0
369, 0.000000, 40816217, 4091709, 0, 0
379, 0.000000, 40913054, 4093202, 0, 0
389, 0.000000, 40839549, 4091236, 0, 0
399, 0.000000, 40815868, 4080992, 0, 0
409, 0.000000, 40824447, 4090198, 0, 0
419, 0.000000, 40744287, 4079557, 0, 0
429, 0.000000, 40802663, 4112782, 0, 0
439, 0.000000, 41055421, 4110579, 0, 0
449, 0.000000, 40998154, 4101547, 0, 0
459, 0.000000, 40952600, 4095203, 0, 0
469, 0.000000, 40920572, 4086582, 0, 0
479, 0.000000, 41321110, 4133685, 0, 0
489, 0.000000, 41385160, 4141532, 0, 0
499, 0.000000, 41321568, 4130685, 0, 0
509, 0.000000, 41377128, 4144726, 0, 0
519, 0.000000, 41375567, 4139297, 0, 0
529, 0.000000, 41278453, 4124066, 0, 0
539, 0.000000, 41449419, 4146327, 0, 0
549, 0.000000, 41430707, 4146708, 0, 0
559, 0.000000, 41362306, 4132619, 0, 0
569, 0.000000, 41334403, 4172474, 0, 0
579, 0.000000, 41684649, 4174655, 0, 0
589, 0.000000, 41606009, 4158613, 0, 0
599, 0.000000, 41562027, 4153709, 0, 0
609, 0.000000, 41519497, 4147043, 0, 0
619, 0.000000, 41633438, 4179624, 0, 0
629, 0.000000, 41688082, 4175095, 0, 0
639, 0.000000, 41622081, 4165434, 0, 0
649, 0.000000, 41682533, 4187033, 0, 0
659, 0.000000, 41858319, 4197383, 0, 0
669, 0.000000, 41862363, 4192096, 0, 0
679, 0.000000, 41779478, 4184710, 0, 0
689, 0.000000, 42126103, 4212669, 0, 0
699, 0.000000, 42096358, 4211543, 0, 0
709, 0.000000, 42061129, 4205404, 0, 0
719, 0.000000, 42222599, 4233850, 0, 0
729, 0.000000, 42252702, 4224201, 0, 0
739, 0.000000, 42228895, 4218097, 0, 0
749, 0.000000, 42353037, 4244735, 0, 0
759, 0.000000, 42324550, 4234380, 0, 0
769, 0.000000, 42199159, 4203376, 0, 0
779, 0.000000, 42613467, 4266250, 0, 0
789, 0.000000, 42621243, 4255519, 0, 0
799, 0.000000, 42551231, 4257913, 0, 0
809, 0.000000, 42531672, 4273431, 0, 0
819, 0.000000, 42765874, 4274506, 0, 0
829, 0.000000, 42862280, 4271077, 0, 0
839, 0.000000, 42804008, 4310617, 0, 0
849, 0.000000, 43042725, 4305292, 0, 0
859, 0.000000, 43023922, 4303675, 0, 0
869, 0.000000, 43084333, 4317796, 0, 0
879, 0.000000, 43123469, 4310227, 0, 0
889, 0.000000, 43041023, 4290955, 0, 0
899, 0.000000, 43359256, 4355247, 0, 0
909, 0.000000, 43471779, 4355858, 0, 0
919, 0.000000, 43576922, 4372821, 0, 0
929, 0.000000, 43722800, 4372310, 0, 0
939, 0.000000, 43667394, 4364218, 0, 0
949, 0.000000, 43793818, 4386031, 0, 0
959, 0.000000, 43773922, 4371745, 0, 0
969, 0.000000, 43663897, 4351030, 0, 0
979, 0.000000, 44077524, 4409288, 0, 0
989, 0.000000, 44055903, 4405523, 0, 0
999, 0.000000, 44074965, 4440631, 0, 0
1009, 0.000000, 44363279, 4434336, 0, 0
1019, 0.000000, 44417346, 4455296, 0, 0
1029, 0.000000, 44506015, 4458060, 0, 0
1039, 0.000000, 44453425, 4417298, 0, 0
1049, 0.000000, 44345347, 4481387, 0, 0
1059, 0.000000, 44792940, 4474560, 0, 0
1069, 0.000000, 44772405, 4483440, 0, 0
