Step, Coverage [%], Step time [ns]
9, -0.000000, 317
19, -0.000000, 46
29, -0.000000, 45
39, -0.000000, 45
49, -0.000000, 45
59, -0.000000, 45
69, -0.000000, 45
79, -0.000000, 45
89, -0.000000, 45
99, -0.000000, 45
109, -0.000000, 45
119, -0.000000, 45
129, -0.000000, 45
139, -0.000000, 45
149, -0.000000, 45
159, -0.000000, 45
169, -0.000000, 45
179, -0.000000, 45
189, -0.000000, 45
199, -0.000000, 45
209, -0.000000, 45
219, -0.000000, 45
229, -0.000000, 45
239, -0.000000, 45
249, -0.000000, 45
259, -0.000000, 45
269, -0.000000, 45
279, -0.000000, 45
289, -0.000000, 46
299, -0.000000, 46
309, -0.000000, 46
319, -0.000000, 46
329, -0.000000, 46
339, -0.000000, 46
349, -0.000000, 46
359, -0.000000, 46
369, -0.000000, 46
379, -0.000000, 46
389, -0.000000, 47
399, -0.000000, 47
409, -0.000000, 47
419, -0.000000, 47
429, -0.000000, 47
439, -0.000000, 47
449, -0.000000, 47
459, -0.000000, 47
469, -0.000000, 47
479, -0.000000, 47
489, -0.000000, 47
499, -0.000000, 48
509, -0.000000, 48
519, -0.000000, 48
529, -0.000000, 48
539, -0.000000, 48
549, -0.000000, 48
559, -0.000000, 48
569, -0.000000, 48
579, -0.000000, 48
589, -0.000000, 49
599, -0.000000, 49
609, -0.000000, 49
619, -0.000000, 49
629, -0.000000, 49
639, -0.000000, 49
649, -0.000000, 49
659, -0.000000, 49
669, -0.000000, 49
679, -0.000000, 49
689, -0.000000, 49
699, -0.000000, 49
709, -0.000000, 49
719, -0.000000, 49
729, -0.000000, 49
739, -0.000000, 49
749, -0.000000, 49
759, -0.000000, 49
769, -0.000000, 49
779, -0.000000, 49
789, -0.000000, 49
799, -0.000000, 49
809, -0.000000, 49
819, -0.000000, 50
829, -0.000000, 49
839, -0.000000, 50
849, -0.000000, 50
859, -0.000000, 50
869, -0.000000, 50
879, -0.000000, 50
889, -0.000000, 50
899, -0.000000, 50
909, -0.000000, 50
919, -0.000000, 50
929, -0.000000, 50
939, -0.000000, 50
949, -0.000000, 50
959, -0.000000, 50
969, -0.000000, 51
979, -0.000000, 51
989, -0.000000, 50
999, -0.000000, 51
1009, -0.000000, 51
1019, -0.000000, 51
1029, -0.000000, 51
1039, -0.000000, 51
1049, -0.000000, 51
1059, -0.000000, 51
1069, -0.000000, 52
1079, -0.000000, 52
1089, -0.000000, 52
1099, -0.000000, 52
1109, -0.000000, 52
1119, -0.000000, 52
1129, -0.000000, 52
1139, -0.000000, 51
1149, -0.000000, 51
1159, -0.000000, 51
1169, -0.000000, 51
1179, -0.000000, 51
1189, -0.000000, 51
1199, -0.000000, 51
1209, -0.000000, 51
1219, -0.000000, 51
1229, -0.000000, 51
1239, -0.000000, 51
1249, -0.000000, 51
1259, -0.000000, 51
1269, -0.000000, 51
1279, -0.000000, 51
1289, -0.000000, 52
1299, -0.000000, 52
1309, -0.000000, 52
1319, -0.000000, 52
1329, -0.000000, 52
1339, -0.000000, 52
