Step, Coverage [%], Step time [ns]
9, 0.000181, 46
19, 0.000761, 35
29, 0.001705, 27
39, 0.002801, 36
49, 0.003732, 23
59, 0.004598, 23
69, 0.005491, 28
79, 0.006350, 39
89, 0.007204, 31
99, 0.008059, 32
109, 0.008899, 25
119, 0.009774, 23
129, 0.010604, 22
139, 0.011427, 35
149, 0.012288, 34
159, 0.013118, 42
169, 0.013953, 24
179, 0.014778, 37
189, 0.015616, 30
199, 0.016471, 24
209, 0.017304, 54
219, 0.018128, 49
229, 0.018943, 31
239, 0.019779, 48
249, 0.020610, 36
259, 0.021428, 34
269, 0.022262, 29
279, 0.023073, 44
289, 0.023885, 49
299, 0.024687, 38
309, 0.025506, 27
319, 0.026325, 57
329, 0.027132, 38
339, 0.027960, 43
349, 0.028771, 30
359, 0.029571, 41
369, 0.030386, 33
379, 0.031193, 30
389, 0.031999, 27
399, 0.032809, 24
409, 0.033625, 33
419, 0.034440, 25
429, 0.035231, 25
439, 0.036027, 31
449, 0.036822, 30
459, 0.037633, 28
469, 0.038444, 26
479, 0.039230, 31
489, 0.040013, 24
499, 0.040814, 29
509, 0.041624, 22
519, 0.042426, 27
529, 0.043230, 24
539, 0.044039, 35
549, 0.044866, 28
559, 0.045663, 25
569, 0.046490, 28
579, 0.047299, 28
589, 0.048080, 23
599, 0.048880, 29
609, 0.049671, 28
619, 0.050467, 29
629, 0.051264, 31
639, 0.052072, 30
649, 0.052856, 29
659, 0.053646, 23
669, 0.054438, 29
679, 0.055212, 29
689, 0.056027, 28
699, 0.056820, 35
709, 0.057592, 27
719, 0.058388, 28
729, 0.059170, 29
739, 0.059951, 29
749, 0.060737, 28
759, 0.061546, 32
769, 0.062324, 30
779, 0.063093, 28
789, 0.063905, 30
799, 0.064701, 29
809, 0.065498, 29
819, 0.066292, 31
829, 0.067092, 27
839, 0.067906, 31
849, 0.068688, 32
859, 0.069473, 39
869, 0.070282, 53
879, 0.071059, 35
889, 0.071867, 40
899, 0.072660, 47
909, 0.073455, 39
919, 0.074239, 46
929, 0.075017, 35
939, 0.075801, 54
949, 0.076573, 48
959, 0.077368, 38
969, 0.078150, 41
979, 0.078933, 52
989, 0.079703, 35
999, 0.080465, 36
1009, 0.081252, 64
1019, 0.082050, 35
1029, 0.082824, 48
1039, 0.083600, 48
1049, 0.084403, 52
1059, 0.085194, 39
1069, 0.085985, 51
1079, 0.086749, 48
1089, 0.087548, 45
1099, 0.088335, 54
1109, 0.089118, 76
1119, 0.089890, 37
1129, 0.090672, 51
1139, 0.091444, 42
1149, 0.092223, 39
1159, 0.092995, 34
1169, 0.093771, 42
1179, 0.094565, 37
1189, 0.095326, 41
1199, 0.096118, 43
1209, 0.096886, 40
1219, 0.097656, 34
1229, 0.098437, 33
1239, 0.099211, 34
1249, 0.099988, 32
1259, 0.100777, 39
1269, 0.101544, 32
1279, 0.102321, 34
1289, 0.103105, 40
1299, 0.103894, 35
1309, 0.104674, 36
1319, 0.105468, 38
1329, 0.106250, 42
1339, 0.107022, 100
1349, 0.107825, 69
1359, 0.108600, 45
1369, 0.109371, 48
1379, 0.110151, 45
1389, 0.110926, 56
1399, 0.111704, 45
1409, 0.112477, 40
1419, 0.113249, 52
1429, 0.114033, 51
1439, 0.114821, 39
1449, 0.115608, 39
1459, 0.116393, 39
1469, 0.117178, 38
1479, 0.117971, 35
1489, 0.118720, 44
1499, 0.119510, 31
1509, 0.120281, 58
1519, 0.121062, 47
1529, 0.121834, 52
1539, 0.122605, 60
1549, 0.123369, 42
1559, 0.124131, 41
1569, 0.124911, 39
1579, 0.125673, 67
1589, 0.126434, 41
1599, 0.127204, 59
1609, 0.127983, 52
1619, 0.128755, 36
1629, 0.129526, 37
1639, 0.130311, 38
1649, 0.131071, 38
1659, 0.131851, 35
1669, 0.132611, 32
1679, 0.133379, 35
1689, 0.134154, 39
1699, 0.134925, 42
1709, 0.135699, 37
1719, 0.136463, 41
1729, 0.137251, 42
1739, 0.138023, 53
1749, 0.138791, 40
1759, 0.139578, 31
1769, 0.140337, 35
1779, 0.141084, 38
1789, 0.141863, 37
1799, 0.142635, 37
1809, 0.143410, 73
1819, 0.144181, 53
1829, 0.144960, 44
1839, 0.145727, 72
1849, 0.146504, 54
1859, 0.147267, 45
1869, 0.148035, 57
1879, 0.148820, 52
1889, 0.149578, 50
1899, 0.150337, 44
1909, 0.151101, 51
1919, 0.151871, 43
1929, 0.152627, 36
1939, 0.153403, 45
1949, 0.154153, 41
1959, 0.154930, 40
1969, 0.155700, 39
1979, 0.156455, 43
1989, 0.157217, 44
1999, 0.157984, 36
2009, 0.158744, 40
2019, 0.159483, 43
2029, 0.160260, 38
2039, 0.161031, 36
2049, 0.161793, 43
2059, 0.162531, 36
2069, 0.163318, 40
2079, 0.164077, 50
2089, 0.164829, 41
2099, 0.165559, 40
2109, 0.166356, 39
2119, 0.167147, 69
2129, 0.167907, 43
2139, 0.168683, 68
2149, 0.169459, 48
2159, 0.170233, 41
2169, 0.170990, 43
2179, 0.171753, 58
2189, 0.172501, 50
2199, 0.173292, 44
2209, 0.174020, 44
2219, 0.174799, 56
2229, 0.175560, 40
2239, 0.176316, 87
2249, 0.177074, 62
2259, 0.177856, 52
2269, 0.178619, 42
2279, 0.179376, 47
2289, 0.180139, 53
2299, 0.180894, 57
2309, 0.181638, 59
2319, 0.182410, 48
2329, 0.183178, 56
2339, 0.183953, 58
2349, 0.184701, 47
2359, 0.185471, 57
2369, 0.186227, 76
2379, 0.186977, 60
2389, 0.187722, 60
2399, 0.188513, 65
2409, 0.189265, 48
2419, 0.190052, 58
2429, 0.190810, 56
2439, 0.191576, 50
2449, 0.192307, 70
2459, 0.193093, 60
2469, 0.193845, 69
2479, 0.194620, 63
2489, 0.195387, 69
2499, 0.196160, 51
2509, 0.196915, 53
2519, 0.197669, 54
2529, 0.198436, 59
2539, 0.199172, 70
2549, 0.199936, 48
2559, 0.200681, 54
2569, 0.201446, 64
2579, 0.202178, 77
2589, 0.202959, 72
2599, 0.203693, 71
2609, 0.204452, 61
2619, 0.205198, 69
2629, 0.205964, 59
2639, 0.206735, 55
2649, 0.207495, 67
2659, 0.208246, 63
2669, 0.209000, 71
2679, 0.209781, 62
2689, 0.210553, 68
2699, 0.211298, 63
2709, 0.212075, 57
2719, 0.212861, 51
2729, 0.213605, 56
2739, 0.214363, 52
2749, 0.215098, 47
2759, 0.215882, 67
2769, 0.216622, 65
2779, 0.217369, 45
2789, 0.218127, 55
2799, 0.218880, 45
2809, 0.219649, 44
2819, 0.220373, 48
2829, 0.221145, 48
2839, 0.221890, 53
2849, 0.222645, 45
2859, 0.223400, 45
2869, 0.224148, 49
2879, 0.224909, 43
2889, 0.225651, 46
2899, 0.226415, 41
2909, 0.227162, 49
2919, 0.227940, 45
2929, 0.228682, 47
2939, 0.229459, 48
2949, 0.230202, 53
2959, 0.230947, 41
2969, 0.231739, 53
2979, 0.232496, 53
2989, 0.233271, 44
2999, 0.234045, 46
3009, 0.234835, 47
3019, 0.235592, 44
3029, 0.236337, 43
3039, 0.237103, 40
3049, 0.237871, 45
3059, 0.238647, 46
3069, 0.239391, 49
3079, 0.240158, 43
3089, 0.240914, 50
3099, 0.241652, 40
3109, 0.242422, 39
3119, 0.243161, 50
3129, 0.243939, 48
3139, 0.244680, 44
3149, 0.245457, 48
3159, 0.246219, 53
3169, 0.246974, 45
3179, 0.247738, 235
3189, 0.248474, 2996
3199, 0.249235, 205
3209, 0.250001, 56
3219, 0.250762, 40
3229, 0.251510, 39
3239, 0.252251, 39
3249, 0.253005, 49
3259, 0.253775, 38
3269, 0.254537, 39
3279, 0.255274, 38
3289, 0.256038, 39
3299, 0.256780, 39
3309, 0.257531, 39
3319, 0.258303, 44
3329, 0.259034, 40
3339, 0.259763, 43
3349, 0.260534, 43
3359, 0.261282, 40
3369, 0.262035, 40
3379, 0.262766, 42
3389, 0.263516, 40
3399, 0.264285, 48
3409, 0.265018, 50
3419, 0.265780, 44
3429, 0.266515, 41
3439, 0.267261, 47
3449, 0.268024, 41
3459, 0.268769, 48
3469, 0.269562, 43
3479, 0.270287, 54
3489, 0.271064, 45
3499, 0.271813, 43
3509, 0.272580, 45
3519, 0.273336, 48
3529, 0.274055, 44
3539, 0.274812, 43
3549, 0.275571, 43
3559, 0.276306, 46
3569, 0.277067, 42
3579, 0.277800, 47
3589, 0.278578, 47
3599, 0.279312, 47
3609, 0.280060, 68
3619, 0.280821, 75
3629, 0.281560, 54
3639, 0.282319, 61
3649, 0.283069, 58
3659, 0.283822, 57
3669, 0.284589, 48
3679, 0.285331, 49
3689, 0.286080, 49
3699, 0.286833, 59
3709, 0.287600, 52
3719, 0.288348, 45
3729, 0.289091, 54
3739, 0.289836, 49
3749, 0.290601, 50
3759, 0.291335, 46
3769, 0.292093, 54
3779, 0.292847, 49
3789, 0.293574, 51
3799, 0.294336, 48
3809, 0.295080, 54
