Step, Coverage [%], Step time [ns]
9, 0.000181, 10
19, 0.000761, 10
29, 0.001705, 10
39, 0.002801, 10
49, 0.003732, 10
59, 0.004598, 15
69, 0.005491, 10
79, 0.006350, 10
89, 0.007204, 10
99, 0.008059, 10
109, 0.008899, 10
119, 0.009774, 10
129, 0.010604, 16
139, 0.011427, 10
149, 0.012288, 10
159, 0.013118, 10
169, 0.013953, 13
179, 0.014778, 13
189, 0.015616, 10
199, 0.016471, 19
209, 0.017304, 13
219, 0.018128, 13
229, 0.018943, 11
239, 0.019779, 14
249, 0.020610, 26
259, 0.021428, 18
269, 0.022262, 14
279, 0.023073, 10
289, 0.023885, 13
299, 0.024687, 14
309, 0.025506, 24
319, 0.026325, 11
329, 0.027132, 11
339, 0.027960, 13
349, 0.028771, 11
359, 0.029571, 14
369, 0.030386, 14
379, 0.031193, 11
389, 0.031999, 14
399, 0.032809, 14
409, 0.033625, 11
419, 0.034440, 14
429, 0.035231, 11
439, 0.036027, 11
449, 0.036822, 11
459, 0.037633, 11
469, 0.038444, 11
479, 0.039230, 11
489, 0.040013, 11
499, 0.040814, 11
509, 0.041624, 11
519, 0.042426, 11
529, 0.043230, 11
539, 0.044039, 11
549, 0.044866, 14
559, 0.045663, 11
569, 0.046490, 14
579, 0.047299, 14
589, 0.048080, 12
599, 0.048880, 12
609, 0.049671, 14
619, 0.050467, 12
629, 0.051264, 15
639, 0.052072, 15
649, 0.052856, 12
659, 0.053646, 15
669, 0.054438, 12
679, 0.055212, 12
689, 0.056027, 15
699, 0.056820, 15
709, 0.057592, 15
719, 0.058388, 12
729, 0.059170, 15
739, 0.059951, 15
749, 0.060737, 12
759, 0.061546, 15
769, 0.062324, 15
779, 0.063093, 15
789, 0.063905, 12
799, 0.064701, 15
809, 0.065498, 15
819, 0.066292, 15
829, 0.067092, 13
839, 0.067906, 15
849, 0.068688, 15
859, 0.069473, 15
869, 0.070282, 13
879, 0.071059, 33
889, 0.071867, 20
899, 0.072660, 16
909, 0.073455, 19
919, 0.074239, 16
929, 0.075017, 13
939, 0.075801, 16
949, 0.076573, 16
959, 0.077368, 16
969, 0.078150, 13
979, 0.078933, 16
989, 0.079703, 19
999, 0.080465, 17
1009, 0.081252, 16
1019, 0.082050, 16
1029, 0.082824, 13
1039, 0.083600, 16
1049, 0.084403, 16
1059, 0.085194, 16
1069, 0.085985, 16
1079, 0.086749, 13
1089, 0.087548, 16
1099, 0.088335, 19
1109, 0.089118, 17
1119, 0.089890, 16
1129, 0.090672, 16
1139, 0.091444, 14
1149, 0.092223, 16
1159, 0.092995, 16
1169, 0.093771, 14
1179, 0.094565, 14
1189, 0.095326, 14
1199, 0.096118, 16
1209, 0.096886, 16
1219, 0.097656, 16
1229, 0.098437, 14
1239, 0.099211, 16
1249, 0.099988, 16
1259, 0.100777, 17
1269, 0.101544, 20
1279, 0.102321, 18
1289, 0.103105, 17
1299, 0.103894, 17
1309, 0.104674, 14
1319, 0.105468, 14
1329, 0.106250, 14
1339, 0.107022, 17
1349, 0.107825, 14
1359, 0.108600, 16
1369, 0.109371, 20
1379, 0.110151, 18
1389, 0.110926, 17
1399, 0.111704, 17
1409, 0.112477, 17
1419, 0.113249, 17
1429, 0.114033, 17
1439, 0.114821, 15
1449, 0.115608, 17
1459, 0.116393, 20
1469, 0.117178, 18
1479, 0.117971, 17
1489, 0.118720, 17
1499, 0.119510, 17
1509, 0.120281, 18
1519, 0.121062, 17
1529, 0.121834, 15
1539, 0.122605, 24
1549, 0.123369, 15
1559, 0.124131, 17
1569, 0.124911, 18
1579, 0.125673, 18
1589, 0.126434, 21
1599, 0.127204, 19
1609, 0.127983, 18
1619, 0.128755, 18
1629, 0.129526, 17
1639, 0.130311, 18
1649, 0.131071, 15
1659, 0.131851, 15
1669, 0.132611, 15
1679, 0.133379, 18
1689, 0.134154, 21
1699, 0.134925, 19
1709, 0.135699, 18
1719, 0.136463, 18
1729, 0.137251, 18
1739, 0.138023, 21
1749, 0.138791, 19
1759, 0.139578, 18
1769, 0.140337, 18
1779, 0.141084, 18
1789, 0.141863, 18
1799, 0.142635, 16
1809, 0.143410, 18
1819, 0.144181, 25
1829, 0.144960, 16
1839, 0.145727, 18
1849, 0.146504, 19
1859, 0.147267, 20
1869, 0.148035, 27
1879, 0.148820, 19
1889, 0.149578, 19
1899, 0.150337, 19
1909, 0.151101, 16
1919, 0.151871, 19
1929, 0.152627, 25
1939, 0.153403, 19
1949, 0.154153, 19
1959, 0.154930, 17
1969, 0.155700, 17
1979, 0.156455, 17
1989, 0.157217, 17
1999, 0.157984, 19
2009, 0.158744, 22
2019, 0.159483, 20
2029, 0.160260, 31
2039, 0.161031, 23
2049, 0.161793, 20
2059, 0.162531, 19
2069, 0.163318, 20
2079, 0.164077, 19
2089, 0.164829, 20
2099, 0.165559, 24
2109, 0.166356, 20
2119, 0.167147, 19
2129, 0.167907, 19
2139, 0.168683, 20
2149, 0.169459, 20
2159, 0.170233, 19
2169, 0.170990, 22
2179, 0.171753, 20
2189, 0.172501, 19
2199, 0.173292, 20
2209, 0.174020, 19
2219, 0.174799, 23
2229, 0.175560, 25
2239, 0.176316, 21
2249, 0.177074, 21
2259, 0.177856, 21
2269, 0.178619, 22
2279, 0.179376, 26
2289, 0.180139, 27
2299, 0.180894, 26
2309, 0.181638, 22
2319, 0.182410, 29
2329, 0.183178, 24
2339, 0.183953, 23
2349, 0.184701, 23
2359, 0.185471, 27
2369, 0.186227, 29
2379, 0.186977, 24
2389, 0.187722, 20
2399, 0.188513, 28
2409, 0.189265, 23
2419, 0.190052, 23
2429, 0.190810, 21
2439, 0.191576, 30
2449, 0.192307, 23
2459, 0.193093, 23
2469, 0.193845, 26
2479, 0.194620, 25
2489, 0.195387, 22
2499, 0.196160, 24
2509, 0.196915, 22
2519, 0.197669, 20
2529, 0.198436, 25
2539, 0.199172, 30
2549, 0.199936, 25
2559, 0.200681, 24
2569, 0.201446, 30
2579, 0.202178, 24
2589, 0.202959, 24
2599, 0.203693, 32
2609, 0.204452, 24
2619, 0.205198, 25
2629, 0.205964, 30
2639, 0.206735, 25
2649, 0.207495, 24
2659, 0.208246, 29
2669, 0.209000, 26
2679, 0.209781, 34
2689, 0.210553, 25
2699, 0.211298, 26
2709, 0.212075, 27
2719, 0.212861, 25
2729, 0.213605, 31
2739, 0.214363, 24
2749, 0.215098, 24
2759, 0.215882, 25
2769, 0.216622, 27
2779, 0.217369, 26
2789, 0.218127, 31
2799, 0.218880, 25
2809, 0.219649, 42
2819, 0.220373, 28
2829, 0.221145, 36
2839, 0.221890, 32
2849, 0.222645, 52
2859, 0.223400, 30
2869, 0.224148, 30
2879, 0.224909, 28
2889, 0.225651, 26
2899, 0.226415, 28
2909, 0.227162, 36
2919, 0.227940, 29
2929, 0.228682, 32
2939, 0.229459, 29
2949, 0.230202, 30
2959, 0.230947, 29
2969, 0.231739, 27
2979, 0.232496, 32
2989, 0.233271, 25
2999, 0.234045, 34
3009, 0.234835, 29
3019, 0.235592, 33
3029, 0.236337, 28
3039, 0.237103, 33
3049, 0.237871, 26
3059, 0.238647, 32
3069, 0.239391, 29
3079, 0.240158, 35
3089, 0.240914, 29
3099, 0.241652, 26
3109, 0.242422, 28
3119, 0.243161, 29
3129, 0.243939, 29
3139, 0.244680, 28
3149, 0.245457, 46
3159, 0.246219, 31
3169, 0.246974, 27
3179, 0.247738, 41
3189, 0.248474, 27
3199, 0.249235, 29
3209, 0.250001, 37
3219, 0.250762, 26
3229, 0.251510, 35
3239, 0.252251, 37
3249, 0.253005, 26
3259, 0.253775, 34
3269, 0.254537, 25
3279, 0.255274, 34
3289, 0.256038, 26
3299, 0.256780, 33
3309, 0.257531, 23
3319, 0.258303, 27
3329, 0.259034, 29
3339, 0.259763, 23
3349, 0.260534, 27
3359, 0.261282, 29
3369, 0.262035, 25
3379, 0.262766, 34
3389, 0.263516, 26
3399, 0.264285, 37
3409, 0.265018, 27
3419, 0.265780, 29
3429, 0.266515, 35
3439, 0.267261, 26
3449, 0.268024, 39
3459, 0.268769, 36
3469, 0.269562, 26
3479, 0.270287, 29
3489, 0.271064, 32
3499, 0.271813, 40
3509, 0.272580, 73
3519, 0.273336, 36
3529, 0.274055, 28
3539, 0.274812, 32
3549, 0.275571, 28
3559, 0.276306, 35
3569, 0.277067, 31
3579, 0.277800, 31
3589, 0.278578, 34
3599, 0.279312, 28
3609, 0.280060, 33
3619, 0.280821, 58
3629, 0.281560, 31
3639, 0.282319, 34
3649, 0.283069, 28
3659, 0.283822, 29
3669, 0.284589, 30
3679, 0.285331, 30
3689, 0.286080, 26
3699, 0.286833, 29
3709, 0.287600, 25
3719, 0.288348, 26
3729, 0.289091, 44
3739, 0.289836, 31
3749, 0.290601, 34
3759, 0.291335, 29
3769, 0.292093, 32
3779, 0.292847, 44
3789, 0.293574, 31
3799, 0.294336, 35
3809, 0.295080, 33
3819, 0.295831, 32
3829, 0.296569, 35
3839, 0.297318, 35
3849, 0.298075, 30
3859, 0.298819, 34
3869, 0.299554, 32
3879, 0.300306, 33
3889, 0.301044, 33
3899, 0.301813, 30
3909, 0.302566, 33
3919, 0.303305, 31
3929, 0.304076, 34
3939, 0.304834, 34
3949, 0.305561, 35
3959, 0.306330, 33
3969, 0.307073, 34
3979, 0.307825, 33
3989, 0.308597, 35
3999, 0.309334, 37
4009, 0.310118, 34
4019, 0.310863, 35
4029, 0.311604, 38
4039, 0.312401, 31
4049, 0.313161, 26
4059, 0.313902, 33
4069, 0.314666, 42
4079, 0.315400, 32
4089, 0.316153, 35
4099, 0.316889, 30
4109, 0.317607, 32
4119, 0.318388, 48
4129, 0.319120, 31
4139, 0.319879, 35
4149, 0.320643, 32
4159, 0.321405, 38
4169, 0.322154, 36
4179, 0.322918, 37
