Step, Coverage [%], Step time [ns]
9, 0.000181, 24
19, 0.000761, 29
29, 0.001705, 23
39, 0.002801, 23
49, 0.003732, 24
59, 0.004598, 20
69, 0.005491, 24
79, 0.006350, 33
89, 0.007204, 28
99, 0.008059, 28
109, 0.008899, 23
119, 0.009774, 25
129, 0.010604, 23
139, 0.011427, 29
149, 0.012288, 26
159, 0.013118, 23
169, 0.013953, 29
179, 0.014778, 24
189, 0.015616, 25
199, 0.016471, 31
209, 0.017304, 22
219, 0.018128, 32
229, 0.018943, 26
239, 0.019779, 27
249, 0.020610, 29
259, 0.021428, 28
269, 0.022262, 27
279, 0.023073, 24
289, 0.023885, 24
299, 0.024687, 26
309, 0.025506, 69
319, 0.026325, 26
329, 0.027132, 26
339, 0.027960, 27
349, 0.028771, 25
359, 0.029571, 24
369, 0.030386, 28
379, 0.031193, 24
389, 0.031999, 29
399, 0.032809, 29
409, 0.033625, 31
419, 0.034440, 30
429, 0.035231, 29
439, 0.036027, 29
449, 0.036822, 33
459, 0.037633, 29
469, 0.038444, 33
479, 0.039230, 37
489, 0.040013, 42
499, 0.040814, 28
509, 0.041624, 33
519, 0.042426, 26
529, 0.043230, 39
539, 0.044039, 35
549, 0.044866, 31
559, 0.045663, 31
569, 0.046490, 33
579, 0.047299, 40
589, 0.048080, 29
599, 0.048880, 35
609, 0.049671, 32
619, 0.050467, 35
629, 0.051264, 43
639, 0.052072, 36
649, 0.052856, 33
659, 0.053646, 36
669, 0.054438, 33
679, 0.055212, 39
689, 0.056027, 37
699, 0.056820, 35
709, 0.057592, 36
719, 0.058388, 33
729, 0.059170, 40
739, 0.059951, 37
749, 0.060737, 40
759, 0.061546, 36
769, 0.062324, 35
779, 0.063093, 39
789, 0.063905, 38
799, 0.064701, 41
809, 0.065498, 44
819, 0.066292, 34
829, 0.067092, 37
839, 0.067906, 40
849, 0.068688, 53
859, 0.069473, 38
869, 0.070282, 38
879, 0.071059, 41
889, 0.071867, 55
899, 0.072660, 43
909, 0.073455, 43
919, 0.074239, 42
929, 0.075017, 47
939, 0.075801, 40
949, 0.076573, 46
959, 0.077368, 44
969, 0.078150, 42
979, 0.078933, 41
989, 0.079703, 51
999, 0.080465, 42
1009, 0.081252, 42
1019, 0.082050, 51
1029, 0.082824, 37
1039, 0.083600, 40
1049, 0.084403, 40
1059, 0.085194, 35
1069, 0.085985, 47
1079, 0.086749, 59
