Step, Coverage [%], Step time [ns]
9, -0.000000, 405
19, -0.000000, 93
29, -0.000000, 93
39, -0.000000, 94
49, -0.000000, 94
59, -0.000000, 95
69, -0.000000, 96
79, -0.000000, 96
89, -0.000000, 97
99, -0.000000, 98
109, -0.000000, 98
119, -0.000000, 98
129, -0.000000, 99
139, -0.000000, 99
149, -0.000000, 100
159, -0.000000, 100
169, -0.000000, 101
179, -0.000000, 100
189, -0.000000, 102
199, -0.000000, 103
209, -0.000000, 103
219, -0.000000, 104
229, -0.000000, 105
239, -0.000000, 104
249, -0.000000, 105
259, -0.000000, 105
269, -0.000000, 106
279, -0.000000, 106
289, -0.000000, 107
299, -0.000000, 107
309, -0.000000, 108
319, -0.000000, 109
329, -0.000000, 109
339, -0.000000, 109
349, -0.000000, 111
359, -0.000000, 112
369, -0.000000, 112
379, -0.000000, 113
389, -0.000000, 113
399, -0.000000, 114
409, -0.000000, 115
419, -0.000000, 115
429, -0.000000, 114
439, -0.000000, 113
449, -0.000000, 111
459, -0.000000, 110
469, -0.000000, 111
479, -0.000000, 112
489, -0.000000, 113
499, -0.000000, 114
509, -0.000000, 113
519, -0.000000, 112
529, -0.000000, 111
539, -0.000000, 111
549, -0.000000, 109
559, -0.000000, 108
569, -0.000000, 108
579, -0.000000, 109
589, -0.000000, 108
599, -0.000000, 108
609, -0.000000, 108
619, -0.000000, 109
629, -0.000000, 110
639, -0.000000, 111
649, -0.000000, 111
659, -0.000000, 111
669, -0.000000, 111
679, -0.000000, 111
689, -0.000000, 111
699, -0.000000, 111
709, -0.000000, 111
719, -0.000000, 111
729, -0.000000, 111
739, -0.000000, 111
749, -0.000000, 111
759, -0.000000, 111
769, -0.000000, 111
779, -0.000000, 111
789, -0.000000, 111
799, -0.000000, 111
809, -0.000000, 111
819, -0.000000, 111
829, -0.000000, 110
839, -0.000000, 110
849, -0.000000, 111
859, -0.000000, 110
869, -0.000000, 108
879, -0.000000, 107
889, -0.000000, 107
899, -0.000000, 107
909, -0.000000, 107
919, -0.000000, 107
929, -0.000000, 106
939, -0.000000, 105
949, -0.000000, 105
959, -0.000000, 106
969, -0.000000, 108
979, -0.000000, 109
989, -0.000000, 110
999, -0.000000, 111
1009, -0.000000, 112
1019, -0.000000, 113
1029, -0.000000, 114
1039, -0.000000, 115
1049, -0.000000, 115
1059, -0.000000, 114
1069, -0.000000, 112
1079, -0.000000, 111
1089, -0.000000, 110
1099, -0.000000, 107
1109, -0.000000, 106
1119, -0.000000, 105
1129, -0.000000, 105
1139, -0.000000, 106
1149, -0.000000, 107
1159, -0.000000, 107
1169, -0.000000, 108
1179, -0.000000, 107
1189, -0.000000, 107
1199, -0.000000, 107
1209, -0.000000, 108
1219, -0.000000, 108
1229, -0.000000, 110
1239, -0.000000, 110
1249, -0.000000, 110
1259, -0.000000, 110
1269, -0.000000, 110
1279, -0.000000, 109
1289, -0.000000, 110
1299, -0.000000, 110
1309, -0.000000, 111
1319, -0.000000, 112
1329, -0.000000, 113
1339, -0.000000, 114
1349, -0.000000, 114
1359, -0.000000, 114
1369, -0.000000, 114
1379, -0.000000, 114
1389, -0.000000, 112
1399, -0.000000, 110
1409, -0.000000, 109
1419, -0.000000, 109
1429, -0.000000, 109
1439, -0.000000, 109
1449, -0.000000, 109
1459, -0.000000, 109
1469, -0.000000, 109
1479, -0.000000, 107
1489, -0.000000, 107
1499, -0.000000, 107
1509, -0.000000, 108
1519, -0.000000, 109
1529, -0.000000, 109
1539, -0.000000, 109
1549, -0.000000, 110
1559, -0.000000, 111
1569, -0.000000, 110
1579, -0.000000, 109
1589, -0.000000, 109
1599, -0.000000, 107
1609, -0.000000, 106
1619, -0.000000, 104
1629, -0.000000, 104
1639, -0.000000, 104
1649, -0.000000, 105
1659, -0.000000, 106
1669, -0.000000, 107
1679, -0.000000, 107
1689, -0.000000, 108
1699, -0.000000, 109
1709, -0.000000, 109
1719, -0.000000, 109
1729, -0.000000, 109
1739, -0.000000, 109
1749, -0.000000, 109
1759, -0.000000, 108
1769, -0.000000, 107
1779, -0.000000, 106
1789, -0.000000, 106
1799, -0.000000, 106
1809, -0.000000, 106
1819, -0.000000, 106
1829, -0.000000, 107
1839, -0.000000, 108
1849, -0.000000, 109
1859, -0.000000, 110
1869, -0.000000, 111
1879, -0.000000, 111
1889, -0.000000, 113
1899, -0.000000, 113
1909, -0.000000, 113
1919, -0.000000, 113
1929, -0.000000, 111
1939, -0.000000, 109
1949, -0.000000, 108
1959, -0.000000, 106
1969, -0.000000, 105
1979, -0.000000, 103
1989, -0.000000, 103
1999, -0.000000, 103
2009, -0.000000, 103
2019, -0.000000, 103
2029, -0.000000, 103
2039, -0.000000, 103
2049, -0.000000, 104
2059, -0.000000, 105
2069, -0.000000, 106
2079, -0.000000, 107
2089, -0.000000, 108
2099, -0.000000, 108
2109, -0.000000, 109
2119, -0.000000, 108
2129, -0.000000, 108
2139, -0.000000, 108
2149, -0.000000, 109
2159, -0.000000, 110
2169, -0.000000, 110
2179, -0.000000, 110
2189, -0.000000, 110
2199, -0.000000, 110
2209, -0.000000, 110
2219, -0.000000, 108
2229, -0.000000, 107
2239, -0.000000, 108
2249, -0.000000, 109
2259, -0.000000, 108
2269, -0.000000, 110
2279, -0.000000, 109
2289, -0.000000, 108
2299, -0.000000, 107
2309, -0.000000, 107
2319, -0.000000, 107
2329, -0.000000, 107
2339, -0.000000, 109
2349, -0.000000, 110
2359, -0.000000, 110
2369, -0.000000, 109
2379, -0.000000, 108
2389, -0.000000, 106
2399, -0.000000, 105
2409, -0.000000, 105
2419, -0.000000, 106
2429, -0.000000, 107
2439, -0.000000, 108
2449, -0.000000, 108
2459, -0.000000, 109
2469, -0.000000, 110
2479, -0.000000, 109
2489, -0.000000, 108
2499, -0.000000, 107
2509, -0.000000, 107
2519, -0.000000, 107
2529, -0.000000, 108
2539, -0.000000, 108
2549, -0.000000, 107
2559, -0.000000, 107
2569, -0.000000, 108
2579, -0.000000, 110
2589, -0.000000, 109
2599, -0.000000, 108
2609, -0.000000, 108
2619, -0.000000, 107
2629, -0.000000, 107
2639, -0.000000, 107
2649, -0.000000, 107
2659, -0.000000, 107
2669, -0.000000, 108
2679, -0.000000, 109
2689, -0.000000, 110
2699, -0.000000, 112
2709, -0.000000, 111
2719, -0.000000, 111
2729, -0.000000, 108
2739, -0.000000, 107
2749, -0.000000, 105
2759, -0.000000, 104
2769, -0.000000, 104
2779, -0.000000, 104
2789, -0.000000, 106
2799, -0.000000, 107
2809, -0.000000, 108
2819, -0.000000, 109
2829, -0.000000, 109
2839, -0.000000, 108
2849, -0.000000, 107
2859, -0.000000, 107
2869, -0.000000, 106
2879, -0.000000, 106
2889, -0.000000, 105
2899, -0.000000, 104
2909, -0.000000, 105
2919, -0.000000, 104
2929, -0.000000, 104
2939, -0.000000, 104
2949, -0.000000, 104
2959, -0.000000, 106
2969, -0.000000, 105
2979, -0.000000, 105
2989, -0.000000, 106
2999, -0.000000, 107
3009, -0.000000, 108
3019, -0.000000, 108
3029, -0.000000, 108
3039, -0.000000, 109
3049, -0.000000, 109
3059, -0.000000, 108
3069, -0.000000, 109
3079, -0.000000, 109
3089, -0.000000, 107
3099, -0.000000, 106
3109, -0.000000, 104
3119, -0.000000, 103
3129, -0.000000, 104
3139, -0.000000, 103
3149, -0.000000, 103
3159, -0.000000, 103
3169, -0.000000, 103
3179, -0.000000, 104
3189, -0.000000, 104
3199, -0.000000, 105
3209, -0.000000, 105
3219, -0.000000, 105
3229, -0.000000, 105
3239, -0.000000, 106
3249, -0.000000, 106
3259, -0.000000, 107
3269, -0.000000, 106
3279, -0.000000, 105
3289, -0.000000, 104
3299, -0.000000, 103
3309, -0.000000, 103
3319, -0.000000, 104
