Step, Coverage [%], Step time [ns]
9, -0.000000, 349
19, -0.000000, 48
29, -0.000000, 47
39, -0.000000, 46
49, -0.000000, 45
59, -0.000000, 46
69, -0.000000, 46
79, -0.000000, 46
89, -0.000000, 46
99, -0.000000, 46
109, -0.000000, 46
119, -0.000000, 46
129, -0.000000, 46
139, -0.000000, 46
149, -0.000000, 47
159, -0.000000, 47
169, -0.000000, 47
179, -0.000000, 47
189, -0.000000, 47
199, -0.000000, 47
209, -0.000000, 47
219, -0.000000, 48
229, -0.000000, 48
239, -0.000000, 48
249, -0.000000, 48
259, -0.000000, 48
269, -0.000000, 49
279, -0.000000, 48
289, -0.000000, 48
299, -0.000000, 48
309, -0.000000, 49
319, -0.000000, 48
329, -0.000000, 49
339, -0.000000, 49
349, -0.000000, 49
359, -0.000000, 49
369, -0.000000, 50
379, -0.000000, 49
389, -0.000000, 49
399, -0.000000, 50
409, -0.000000, 50
419, -0.000000, 50
429, -0.000000, 50
439, -0.000000, 50
449, -0.000000, 50
459, -0.000000, 50
469, -0.000000, 50
479, -0.000000, 50
489, -0.000000, 51
499, -0.000000, 51
509, -0.000000, 51
519, -0.000000, 51
529, -0.000000, 51
539, -0.000000, 51
549, -0.000000, 52
559, -0.000000, 52
569, -0.000000, 53
579, -0.000000, 52
589, -0.000000, 52
599, -0.000000, 53
609, -0.000000, 53
619, -0.000000, 53
629, -0.000000, 53
639, -0.000000, 54
649, -0.000000, 54
659, -0.000000, 54
669, -0.000000, 54
679, -0.000000, 54
689, -0.000000, 55
699, -0.000000, 55
709, -0.000000, 55
719, -0.000000, 56
729, -0.000000, 56
739, -0.000000, 56
749, -0.000000, 56
759, -0.000000, 56
769, -0.000000, 57
779, -0.000000, 57
789, -0.000000, 57
799, -0.000000, 57
809, -0.000000, 58
819, -0.000000, 57
829, -0.000000, 58
839, -0.000000, 58
849, -0.000000, 58
859, -0.000000, 58
869, -0.000000, 59
879, -0.000000, 59
889, -0.000000, 60
899, -0.000000, 60
909, -0.000000, 60
919, -0.000000, 61
929, -0.000000, 61
939, -0.000000, 62
949, -0.000000, 62
959, -0.000000, 62
969, -0.000000, 62
979, -0.000000, 63
989, -0.000000, 63
999, -0.000000, 64
1009, -0.000000, 65
1019, -0.000000, 64
1029, -0.000000, 65
1039, -0.000000, 64
1049, -0.000000, 64
