Step, Coverage [%], Step time [ns]
9, 0.000724, 23
19, 0.003044, 20
29, 0.006820, 12
39, 0.011204, 13
49, 0.014928, 24
59, 0.018392, 11
69, 0.021964, 9
79, 0.025400, 11
89, 0.028816, 11
99, 0.032236, 10
109, 0.035596, 10
119, 0.039096, 11
129, 0.042416, 9
139, 0.045708, 11
149, 0.049152, 11
159, 0.052472, 9
169, 0.055812, 10
179, 0.059112, 11
189, 0.062464, 10
199, 0.065884, 17
209, 0.069216, 9
219, 0.072512, 11
229, 0.075772, 10
239, 0.079116, 11
249, 0.082440, 10
259, 0.085712, 10
269, 0.089048, 12
279, 0.092292, 10
289, 0.095540, 12
299, 0.098748, 10
309, 0.102024, 10
319, 0.105300, 10
329, 0.108528, 11
339, 0.111840, 17
349, 0.115084, 11
359, 0.118284, 11
369, 0.121544, 11
379, 0.124772, 11
389, 0.127996, 12
399, 0.131236, 11
409, 0.134500, 11
419, 0.137760, 12
429, 0.140924, 12
439, 0.144108, 13
449, 0.147288, 12
459, 0.150532, 12
469, 0.153776, 12
479, 0.156920, 23
489, 0.160052, 12
499, 0.163256, 12
509, 0.166496, 11
519, 0.169704, 12
529, 0.172920, 12
539, 0.176156, 13
549, 0.179464, 12
559, 0.182652, 13
569, 0.185960, 13
579, 0.189196, 12
589, 0.192320, 13
599, 0.195520, 13
609, 0.198684, 13
619, 0.201868, 13
629, 0.205056, 13
639, 0.208288, 2757
649, 0.211424, 197
659, 0.214584, 19
669, 0.217752, 22
679, 0.220848, 19
689, 0.224108, 21
699, 0.227280, 22
709, 0.230368, 24
719, 0.233552, 20
729, 0.236680, 17
739, 0.239804, 33
749, 0.242948, 20
759, 0.246184, 19
769, 0.249296, 19
779, 0.252372, 19
789, 0.255620, 20
799, 0.258804, 20
809, 0.261992, 19
819, 0.265168, 25
829, 0.268368, 20
839, 0.271624, 20
849, 0.274752, 19
859, 0.277892, 19
869, 0.281128, 17
879, 0.284236, 17
889, 0.287468, 17
899, 0.290640, 17
909, 0.293820, 22
919, 0.296956, 17
929, 0.300068, 17
939, 0.303204, 17
949, 0.306292, 17
959, 0.309472, 17
969, 0.312600, 17
979, 0.315732, 17
989, 0.318812, 17
999, 0.321860, 17
1009, 0.325008, 18
1019, 0.328200, 17
1029, 0.331296, 18
1039, 0.334400, 19
1049, 0.337612, 18
1059, 0.340776, 18
1069, 0.343940, 18
1079, 0.346996, 18
1089, 0.350192, 18
1099, 0.353340, 19
1109, 0.356472, 18
1119, 0.359560, 18
1129, 0.362688, 18
1139, 0.365776, 18
1149, 0.368892, 18
1159, 0.371980, 18
1169, 0.375084, 18
1179, 0.378260, 18
1189, 0.381304, 18
1199, 0.384472, 18
1209, 0.387544, 19
1219, 0.390624, 18
