Step, Coverage [%], Step time [ns]
9, 0.000724, 7
19, 0.003044, 10
29, 0.006820, 7
39, 0.011204, 10
49, 0.014928, 13
59, 0.018392, 10
69, 0.021964, 7
79, 0.025400, 11
89, 0.028816, 8
99, 0.032236, 11
109, 0.035596, 8
119, 0.039096, 8
129, 0.042416, 8
139, 0.045708, 8
149, 0.049152, 8
159, 0.052472, 8
169, 0.055812, 9
179, 0.059112, 9
189, 0.062464, 9
199, 0.065884, 9
209, 0.069216, 9
219, 0.072512, 22
229, 0.075772, 9
239, 0.079116, 9
249, 0.082440, 9
259, 0.085712, 9
269, 0.089048, 9
279, 0.092292, 9
289, 0.095540, 10
299, 0.098748, 10
309, 0.102024, 10
319, 0.105300, 10
329, 0.108528, 10
339, 0.111840, 12
349, 0.115084, 10
359, 0.118284, 10
369, 0.121544, 10
379, 0.124772, 16
389, 0.127996, 11
399, 0.131236, 10
409, 0.134500, 11
419, 0.137760, 11
429, 0.140924, 11
439, 0.144108, 11
449, 0.147288, 11
459, 0.150532, 11
469, 0.153776, 11
479, 0.156920, 11
489, 0.160052, 11
499, 0.163256, 11
509, 0.166496, 11
519, 0.169704, 12
529, 0.172920, 12
539, 0.176156, 12
549, 0.179464, 12
559, 0.182652, 12
569, 0.185960, 12
579, 0.189196, 2438
589, 0.192320, 49
599, 0.195520, 173
609, 0.198684, 17
619, 0.201868, 17
629, 0.205056, 16
639, 0.208288, 15
649, 0.211424, 14
659, 0.214584, 14
669, 0.217752, 14
679, 0.220848, 14
689, 0.224108, 14
699, 0.227280, 14
709, 0.230368, 14
719, 0.233552, 14
729, 0.236680, 14
739, 0.239804, 15
749, 0.242948, 15
759, 0.246184, 15
769, 0.249296, 15
779, 0.252372, 15
789, 0.255620, 15
799, 0.258804, 15
809, 0.261992, 15
819, 0.265168, 15
829, 0.268368, 15
839, 0.271624, 16
849, 0.274752, 16
859, 0.277892, 16
869, 0.281128, 16
879, 0.284236, 16
889, 0.287468, 16
899, 0.290640, 16
909, 0.293820, 16
919, 0.296956, 16
929, 0.300068, 16
939, 0.303204, 16
949, 0.306292, 17
959, 0.309472, 17
969, 0.312600, 17
979, 0.315732, 16
989, 0.318812, 16
999, 0.321860, 16
1009, 0.325008, 16
1019, 0.328200, 16
1029, 0.331296, 16
1039, 0.334400, 16
1049, 0.337612, 17
1059, 0.340776, 17
1069, 0.343940, 17
1079, 0.346996, 17
1089, 0.350192, 17
1099, 0.353340, 17
1109, 0.356472, 17
1119, 0.359560, 17
