Step, Coverage [%], Step time [ns]
9, 0.000724, 1826
19, 0.003044, 109
29, 0.006820, 21
39, 0.011204, 22
49, 0.014928, 21
59, 0.018392, 21
69, 0.021964, 20
79, 0.025400, 19
89, 0.028816, 19
99, 0.032236, 19
109, 0.035596, 19
119, 0.039096, 19
129, 0.042416, 19
139, 0.045708, 20
149, 0.049152, 20
159, 0.052472, 20
169, 0.055812, 21
179, 0.059112, 21
189, 0.062464, 21
199, 0.065884, 21
209, 0.069216, 22
219, 0.072512, 22
229, 0.075772, 22
239, 0.079116, 23
249, 0.082440, 23
259, 0.085712, 23
269, 0.089048, 24
279, 0.092292, 24
289, 0.095540, 24
299, 0.098748, 24
309, 0.102024, 25
319, 0.105300, 26
329, 0.108528, 25
339, 0.111840, 26
349, 0.115084, 26
359, 0.118284, 26
369, 0.121544, 27
379, 0.124772, 26
389, 0.127996, 26
399, 0.131236, 26
409, 0.134500, 27
419, 0.137760, 27
429, 0.140924, 27
439, 0.144108, 27
449, 0.147288, 28
459, 0.150532, 28
469, 0.153776, 28
479, 0.156920, 29
489, 0.160052, 29
499, 0.163256, 29
509, 0.166496, 29
519, 0.169704, 30
529, 0.172920, 30
539, 0.176156, 30
549, 0.179464, 31
559, 0.182652, 31
569, 0.185960, 31
579, 0.189196, 32
589, 0.192320, 32
599, 0.195520, 32
609, 0.198684, 32
619, 0.201868, 33
629, 0.205056, 33
639, 0.208288, 33
649, 0.211424, 34
659, 0.214584, 34
669, 0.217752, 35
679, 0.220848, 35
689, 0.224108, 35
699, 0.227280, 35
709, 0.230368, 36
719, 0.233552, 37
729, 0.236680, 36
739, 0.239804, 2214
749, 0.242948, 119
759, 0.246184, 42
769, 0.249296, 41
779, 0.252372, 39
789, 0.255620, 39
799, 0.258804, 39
809, 0.261992, 40
819, 0.265168, 40
829, 0.268368, 40
839, 0.271624, 41
849, 0.274752, 41
859, 0.277892, 48
869, 0.281128, 45
879, 0.284236, 42
889, 0.287468, 49
899, 0.290640, 48
909, 0.293820, 43
919, 0.296956, 43
929, 0.300068, 49
939, 0.303204, 48
949, 0.306292, 47
959, 0.309472, 48
969, 0.312600, 46
979, 0.315732, 44
989, 0.318812, 45
999, 0.321860, 48
1009, 0.325008, 51
1019, 0.328200, 45
1029, 0.331296, 46
1039, 0.334400, 50
1049, 0.337612, 49
1059, 0.340776, 53
1069, 0.343940, 52
1079, 0.346996, 49
1089, 0.350192, 53
1099, 0.353340, 56
1109, 0.356472, 50
1119, 0.359560, 58
1129, 0.362688, 54
1139, 0.365776, 56
1149, 0.368892, 54
1159, 0.371980, 2247
1169, 0.375084, 56
1179, 0.378260, 53
1189, 0.381304, 52
1199, 0.384472, 60
1209, 0.387544, 55
1219, 0.390624, 55
1229, 0.393748, 58
1239, 0.396844, 53
1249, 0.399952, 53
1259, 0.403108, 55
1269, 0.406176, 59
1279, 0.409284, 56
1289, 0.412420, 60
1299, 0.415576, 59
1309, 0.418696, 61
1319, 0.421872, 64
1329, 0.425000, 61
1339, 0.428088, 62
1349, 0.431300, 68
1359, 0.434400, 64
1369, 0.437484, 61
1379, 0.440604, 73
1389, 0.443704, 60
1399, 0.446816, 66
1409, 0.449908, 64
1419, 0.452996, 60
1429, 0.456132, 75
1439, 0.459284, 64
1449, 0.462432, 68
1459, 0.465572, 68
1469, 0.468712, 74
1479, 0.471884, 2251
1489, 0.474880, 77
1499, 0.478040, 63
1509, 0.481124, 69
1519, 0.484248, 67
1529, 0.487336, 66
1539, 0.490420, 67
1549, 0.493476, 65
1559, 0.496524, 69
1569, 0.499644, 66
1579, 0.502692, 67
1589, 0.505736, 65
1599, 0.508816, 67
1609, 0.511932, 73
1619, 0.515020, 81
1629, 0.518104, 82
1639, 0.521244, 89
1649, 0.524284, 68
1659, 0.527404, 73
1669, 0.530444, 72
1679, 0.533516, 73
1689, 0.536616, 77
1699, 0.539700, 70
1709, 0.542796, 79
1719, 0.545852, 74
1729, 0.549004, 76
1739, 0.552092, 77
1749, 0.555164, 2250
1759, 0.558312, 156
1769, 0.561348, 81
1779, 0.564336, 87
1789, 0.567452, 74
1799, 0.570540, 79
1809, 0.573640, 73
1819, 0.576724, 73
1829, 0.579840, 74
1839, 0.582908, 74
1849, 0.586016, 77
1859, 0.589068, 81
1869, 0.592140, 79
1879, 0.595280, 79
1889, 0.598312, 74
1899, 0.601348, 82
1909, 0.604404, 74
1919, 0.607484, 79
1929, 0.610508, 80
1939, 0.613612, 80
1949, 0.616612, 82
1959, 0.619720, 82
1969, 0.622800, 85
1979, 0.625820, 83
1989, 0.628868, 86
1999, 0.631936, 2270
2009, 0.634976, 172
2019, 0.637932, 89
2029, 0.641040, 97
2039, 0.644124, 97
2049, 0.647172, 95
2059, 0.650124, 88
2069, 0.653272, 96
2079, 0.656308, 92
2089, 0.659316, 92
2099, 0.662236, 92
2109, 0.665424, 94
2119, 0.668588, 92
2129, 1.000000, 73
2139, 0.674732, 90
2149, 0.677836, 88
2159, 0.680932, 88
2169, 0.683960, 101
2179, 0.687012, 90
2189, 0.690004, 95
2199, 0.693168, 98
2209, 0.696080, 97
2219, 0.699196, 2303
2229, 1.000000, 73
2239, 0.705264, 90
2249, 0.708296, 98
2259, 0.711424, 101
2269, 0.714476, 93
2279, 0.717504, 98
2289, 0.720556, 102
2299, 1.000000, 73
2309, 0.726552, 94
2319, 0.729640, 98
2329, 0.732712, 101
2339, 0.735812, 103
2349, 0.738804, 100
2359, 0.741884, 97
2369, 1.000000, 75
2379, 0.747908, 98
2389, 0.750888, 95
2399, 0.754052, 97
2409, 0.757060, 95
2419, 0.760208, 101
2429, 0.763240, 2280
2439, 1.000000, 77
2449, 0.769228, 108
2459, 0.772372, 101
2469, 0.775380, 100
2479, 0.778480, 103
2489, 0.781548, 97
2499, 0.784640, 100
2509, 1.000000, 75
2519, 0.790676, 96
2529, 0.793744, 98
2539, 0.796688, 102
2549, 0.799744, 98
2559, 0.802724, 101
2569, 0.805588, 99
2579, 1.000000, 79
2589, 0.810892, 101
2599, 0.813260, 101
2609, 0.815528, 102
2619, 0.817672, 107
2629, 0.819850, 2242
2639, 0.821978, 182
2649, 1.000000, 77
2659, 0.826026, 110
2669, 0.828011, 99
2679, 0.830027, 99
2689, 0.832051, 100
2699, 0.833917, 108
2709, 0.835928, 111
2719, 1.000000, 81
2729, 0.839771, 104
2739, 0.841679, 99
2749, 0.843521, 153
2759, 0.845409, 2883
2769, 0.847232, 129
2779, 0.849093, 115
2789, 1.000000, 85
2799, 0.852775, 103
2809, 0.854653, 102
2819, 0.856489, 102
2829, 0.858230, 100
2839, 0.859915, 97
2849, 0.861557, 99
2859, 1.000000, 78
2869, 0.864777, 104
2879, 0.866399, 98
2889, 0.868021, 99
2899, 0.869529, 103
2909, 0.871113, 104
2919, 0.872719, 105
2929, 1.000000, 78
2939, 0.875864, 106
2949, 0.877499, 2299
2959, 0.879123, 179
2969, 0.880878, 103
2979, 0.882547, 100
2989, 0.884101, 117
2999, 1.000000, 83
3009, 0.887192, 105
3019, 0.888673, 129
3029, 0.890066, 105
3039, 0.891453, 109
3049, 0.892895, 110
3059, 0.894289, 115
3069, 1.000000, 87
3079, 0.897016, 116
3089, 0.898311, 116
3099, 0.899646, 107
3109, 0.901055, 119
3119, 0.902391, 109
3129, 0.903827, 111
3139, 1.000000, 86
3149, 0.906561, 2284
3159, 0.907947, 101
3169, 0.909365, 112
3179, 0.910877, 100
3189, 0.912355, 100
3199, 0.913912, 99
3209, 1.000000, 78
3219, 0.916972, 111
3229, 0.918492, 101
3239, 0.920025, 101
3249, 0.921605, 100
3259, 0.923287, 103
3269, 0.925048, 100
3279, 1.000000, 79
3289, 0.928496, 100
3299, 0.930265, 101
3309, 0.931997, 105
3319, 0.933760, 112
