Step, Coverage [%], Step time [ns]
9, -0.000000, 325
19, -0.000000, 79
29, -0.000000, 72
39, -0.000000, 72
49, -0.000000, 69
59, -0.000000, 68
69, -0.000000, 68
79, -0.000000, 68
89, -0.000000, 67
99, -0.000000, 67
109, -0.000000, 67
119, -0.000000, 67
129, -0.000000, 67
139, -0.000000, 67
149, -0.000000, 67
159, -0.000000, 67
169, -0.000000, 67
179, -0.000000, 67
189, -0.000000, 67
199, -0.000000, 67
209, -0.000000, 67
219, -0.000000, 67
229, -0.000000, 67
239, -0.000000, 67
249, -0.000000, 67
259, -0.000000, 67
269, -0.000000, 67
279, -0.000000, 67
289, -0.000000, 67
299, -0.000000, 67
309, -0.000000, 67
319, -0.000000, 67
329, -0.000000, 67
339, -0.000000, 66
349, -0.000000, 66
359, -0.000000, 66
369, -0.000000, 66
379, -0.000000, 66
389, -0.000000, 66
399, -0.000000, 66
409, -0.000000, 66
419, -0.000000, 66
429, -0.000000, 66
439, -0.000000, 66
449, -0.000000, 66
459, -0.000000, 66
469, -0.000000, 66
479, -0.000000, 66
489, -0.000000, 66
499, -0.000000, 66
509, -0.000000, 66
519, -0.000000, 66
529, -0.000000, 66
539, -0.000000, 66
549, -0.000000, 66
559, -0.000000, 65
569, -0.000000, 65
579, -0.000000, 65
589, -0.000000, 65
599, -0.000000, 65
609, -0.000000, 65
619, -0.000000, 65
629, -0.000000, 65
639, -0.000000, 65
649, -0.000000, 65
659, -0.000000, 65
669, -0.000000, 65
679, -0.000000, 65
689, -0.000000, 65
699, -0.000000, 65
709, -0.000000, 65
719, -0.000000, 64
729, -0.000000, 64
739, -0.000000, 64
749, -0.000000, 64
759, -0.000000, 64
769, -0.000000, 64
779, -0.000000, 64
789, -0.000000, 64
799, -0.000000, 64
809, -0.000000, 64
819, -0.000000, 64
829, -0.000000, 64
839, -0.000000, 64
849, -0.000000, 64
859, -0.000000, 64
869, -0.000000, 64
879, -0.000000, 64
889, -0.000000, 64
899, -0.000000, 64
909, -0.000000, 64
919, -0.000000, 64
929, -0.000000, 64
939, -0.000000, 64
949, -0.000000, 63
959, -0.000000, 63
969, -0.000000, 63
979, -0.000000, 63
989, -0.000000, 63
999, -0.000000, 63
1009, -0.000000, 63
1019, -0.000000, 63
1029, -0.000000, 63
1039, -0.000000, 63
1049, -0.000000, 63
1059, -0.000000, 63
1069, -0.000000, 63
1079, -0.000000, 63
1089, -0.000000, 63
1099, -0.000000, 63
1109, -0.000000, 63
1119, -0.000000, 63
1129, -0.000000, 63
1139, -0.000000, 63
1149, -0.000000, 63
1159, -0.000000, 62
1169, -0.000000, 62
1179, -0.000000, 62
1189, -0.000000, 62
1199, -0.000000, 62
1209, -0.000000, 62
1219, -0.000000, 62
1229, -0.000000, 62
1239, -0.000000, 62
1249, -0.000000, 62
1259, -0.000000, 62
1269, -0.000000, 62
1279, -0.000000, 62
1289, -0.000000, 62
1299, -0.000000, 62
1309, -0.000000, 62
1319, -0.000000, 62
1329, -0.000000, 62
1339, -0.000000, 62
1349, -0.000000, 62
1359, -0.000000, 62
1369, -0.000000, 62
1379, -0.000000, 61
1389, -0.000000, 61
1399, -0.000000, 61
1409, -0.000000, 61
1419, -0.000000, 61
1429, -0.000000, 61
1439, -0.000000, 61
1449, -0.000000, 61
1459, -0.000000, 61
1469, -0.000000, 61
1479, -0.000000, 61
1489, -0.000000, 61
1499, -0.000000, 61
1509, -0.000000, 61
1519, -0.000000, 61
1529, -0.000000, 61
1539, -0.000000, 61
1549, -0.000000, 61
1559, -0.000000, 61
1569, -0.000000, 61
1579, -0.000000, 61
1589, -0.000000, 61
1599, -0.000000, 60
1609, -0.000000, 60
1619, -0.000000, 60
1629, -0.000000, 60
1639, -0.000000, 60
1649, -0.000000, 60
1659, -0.000000, 60
1669, -0.000000, 60
1679, -0.000000, 60
1689, -0.000000, 60
1699, -0.000000, 60
1709, -0.000000, 60
1719, -0.000000, 60
1729, -0.000000, 60
1739, -0.000000, 60
1749, -0.000000, 60
1759, -0.000000, 60
1769, -0.000000, 60
1779, -0.000000, 60
1789, -0.000000, 60
1799, -0.000000, 60
1809, -0.000000, 59
1819, -0.000000, 59
1829, -0.000000, 59
1839, -0.000000, 59
1849, -0.000000, 59
1859, -0.000000, 59
1869, -0.000000, 59
1879, -0.000000, 59
1889, -0.000000, 59
1899, -0.000000, 59
1909, -0.000000, 59
1919, -0.000000, 59
1929, -0.000000, 59
1939, -0.000000, 59
1949, -0.000000, 59
1959, -0.000000, 59
1969, -0.000000, 59
1979, -0.000000, 59
1989, -0.000000, 59
1999, -0.000000, 59
2009, -0.000000, 59
2019, -0.000000, 59
2029, -0.000000, 59
2039, -0.000000, 59
2049, -0.000000, 59
2059, -0.000000, 59
2069, -0.000000, 59
2079, -0.000000, 59
2089, -0.000000, 59
2099, -0.000000, 59
2109, -0.000000, 59
2119, -0.000000, 59
2129, -0.000000, 59
2139, -0.000000, 58
2149, -0.000000, 58
