Step, Coverage [%], Step time [ns], Transition time [ns], Find ac time [ns]
9, -1.000000, 11773425, 87703, 0, 0
19, -1.000000, 2470961, 152474, 0, 0
29, -1.000000, 2630959, 136131, 0, 0
39, -1.000000, 3165161, 244824, 0, 0
49, -1.000000, 3055137, 188747, 0, 0
59, -1.000000, 3243757, 226741, 0, 0
69, -1.000000, 3197183, 236017, 0, 0
79, -1.000000, 3343188, 248546, 0, 0
89, -1.000000, 3365381, 258578, 0, 0
99, -1.000000, 3378463, 273748, 0, 0
109, -1.000000, 3652057, 268488, 0, 0
119, -1.000000, 4163748, 289638, 0, 0
129, -1.000000, 4457647, 381009, 0, 0
139, -1.000000, 4659888, 357187, 0, 0
149, -1.000000, 4785732, 389281, 0, 0
159, -1.000000, 4968579, 413742, 0, 0
169, -1.000000, 5057205, 411867, 0, 0
179, -1.000000, 5173350, 470877, 0, 0
189, -1.000000, 5251521, 448195, 0, 0
199, -1.000000, 5300467, 454737, 0, 0
209, -1.000000, 5469064, 472277, 0, 0
219, -1.000000, 5587872, 468202, 0, 0
229, -1.000000, 5541583, 456644, 0, 0
239, -1.000000, 5416626, 491871, 0, 0
249, -1.000000, 5558149, 501580, 0, 0
259, -1.000000, 5714852, 518793, 0, 0
269, -1.000000, 5918268, 517247, 0, 0
279, -1.000000, 6174423, 547306, 0, 0
289, -1.000000, 6226673, 567653, 0, 0
299, -1.000000, 6414158, 577895, 0, 0
309, -1.000000, 6553556, 608634, 0, 0
319, -1.000000, 6872372, 635123, 0, 0
329, -1.000000, 7027013, 632999, 0, 0
339, -1.000000, 7141827, 643744, 0, 0
349, -1.000000, 7465933, 670246, 0, 0
359, -1.000000, 7405028, 685145, 0, 0
369, -1.000000, 7513467, 691016, 0, 0
379, -1.000000, 7638823, 704129, 0, 0
389, -1.000000, 7730876, 713441, 0, 0
399, -1.000000, 8036217, 914004, 0, 0
409, -1.000000, 7892010, 730993, 0, 0
419, -1.000000, 8128248, 757710, 0, 0
429, -1.000000, 8366351, 784454, 0, 0
439, -1.000000, 8452578, 791922, 0, 0
449, -1.000000, 8679259, 812624, 0, 0
459, -1.000000, 8846540, 832874, 0, 0
469, -1.000000, 8950855, 827171, 0, 0
479, -1.000000, 9056172, 808768, 0, 0
489, -1.000000, 8691393, 805693, 0, 0
499, -1.000000, 8880011, 836812, 0, 0
509, -1.000000, 8998450, 840239, 0, 0
519, -1.000000, 9029318, 840832, 0, 0
529, -1.000000, 9171797, 845797, 0, 0
539, -1.000000, 9260942, 845029, 0, 0
549, -1.000000, 9379528, 871082, 0, 0
559, -1.000000, 9557506, 903755, 0, 0
569, -1.000000, 9691712, 919213, 0, 0
579, -1.000000, 9781645, 917162, 0, 0
589, -1.000000, 9952470, 929454, 0, 0
