Step, Coverage [%], Step time [ns], Transition time [ns], Find ac time [ns]
9, 0.000724, 5525976, 95858, 454009, 4985385
19, 0.003044, 5658203, 123942, 462314, 4985385
29, 0.006820, 5875299, 124177, 471127, 4985385
39, 0.011204, 5812657, 124880, 451888, 4985385
49, 0.014928, 5797360, 125890, 453960, 4985385
59, 0.018392, 5877566, 134527, 454836, 4985385
69, 0.021964, 6026660, 158485, 454952, 4985385
79, 0.025400, 6204207, 182416, 454774, 4985385
89, 0.028816, 6498357, 206026, 480724, 4985385
99, 0.032236, 6767526, 239376, 452676, 4985385
109, 0.035596, 7251679, 294376, 458995, 4985385
119, 0.039096, 7776157, 321753, 459414, 4985385
129, 0.042416, 7755559, 323600, 455992, 4985385
139, 0.045708, 7830107, 332113, 457585, 4985385
149, 0.049152, 13355260, 290246, 449665, 4985385
159, 0.052472, 7472414, 308934, 459150, 4985385
169, 0.055812, 7655719, 323531, 453466, 4985385
179, 0.059112, 7710296, 330689, 447480, 4985385
189, 0.062464, 8068053, 393684, 449055, 4985385
199, 0.065884, 8936472, 457160, 452755, 4985385
209, 0.069216, 9202254, 479688, 451652, 4985385
219, 0.072512, 9173618, 472756, 449153, 4985385
229, 0.075772, 9300362, 481983, 452773, 4985385
239, 0.079116, 9380129, 489699, 450095, 4985385
249, 0.082440, 9305752, 489526, 449381, 4985385
259, 0.085712, 9484593, 497132, 447098, 4985385
269, 0.089048, 9430108, 501499, 450096, 4985385
279, 0.092292, 9566085, 508162, 450882, 4985385
289, 0.095540, 9590286, 511621, 460451, 4985385
299, 0.098748, 9761866, 522858, 472624, 4985385
309, 0.102024, 9786367, 533641, 446766, 4985385
319, 0.105300, 21614003, 546001, 6285508, 4985385
329, 0.108528, 9879205, 542604, 447904, 4985385
339, 0.111840, 10083135, 550351, 464529, 4985385
349, 0.115084, 10203216, 573512, 447874, 4985385
359, 0.118284, 10300044, 599611, 452693, 4985385
369, 0.121544, 10519555, 604604, 451102, 4985385
379, 0.124772, 10629296, 607274, 448340, 4985385
389, 0.127996, 10624001, 627532, 455437, 4985385
399, 0.131236, 10972627, 659081, 447510, 4985385
409, 0.134500, 11364525, 719839, 446306, 4985385
419, 0.137760, 11587873, 714545, 453984, 4985385
429, 0.140924, 11642440, 723857, 446809, 4985385
439, 0.144108, 11687237, 727602, 461773, 4985385
449, 0.147288, 11705734, 742454, 443759, 4985385
459, 0.150532, 24520591, 734867, 476864, 4985385
469, 0.153776, 11832744, 749090, 447014, 4985385
479, 0.156920, 11941177, 760465, 447017, 4985385
489, 0.160052, 12036334, 765673, 446261, 4985385
499, 0.163256, 12148625, 777822, 464463, 4985385
509, 0.166496, 12262926, 797231, 477219, 4985385
519, 0.169704, 12376612, 810019, 447042, 4985385
529, 0.172920, 12567800, 828932, 447068, 4985385
539, 0.176156, 12674722, 839795, 447482, 4985385
549, 0.179464, 12864092, 845498, 449507, 4985385
559, 0.182652, 13247771, 915345, 448371, 4985385
569, 0.185960, 13609502, 875029, 451762, 4985385
579, 0.189196, 13880146, 944147, 447903, 4985385
589, 0.192320, 13847758, 953920, 446883, 4985385
599, 0.195520, 13888618, 951868, 448521, 4985385
609, 0.198684, 14024752, 965587, 453857, 4985385
619, 0.201868, 14124229, 974446, 448353, 4985385
629, 0.205056, 14244439, 976963, 447247, 4985385
639, 0.208288, 14232469, 986186, 446435, 4985385
649, 0.211424, 14312408, 978327, 458327, 4985385
659, 0.214584, 14306804, 984722, 449102, 4985385
669, 0.217752, 14417722, 991928, 447927, 4985385
679, 0.220848, 14530833, 1013111, 454574, 4985385
689, 0.224108, 14611927, 1022519, 462890, 4985385
699, 0.227280, 14744409, 1030954, 445956, 4985385
709, 0.230368, 14819902, 1060039, 449249, 4985385
719, 0.233552, 15179572, 1077069, 446303, 4985385
729, 0.236680, 15318923, 1081500, 455047, 4985385
739, 0.239804, 15447700, 1118553, 456603, 4985385
749, 0.242948, 15502526, 1113480, 446436, 4985385
759, 0.246184, 15793462, 1134895, 449860, 4985385
769, 0.249296, 15828813, 1141932, 447957, 4985385
779, 0.252372, 15940484, 1150244, 447807, 4985385
789, 0.255620, 16137483, 1174299, 448755, 4985385
799, 0.258804, 17407048, 1209338, 610779, 4985385
809, 0.261992, 20529910, 1225854, 631924, 4985385
819, 0.265168, 21756075, 1235267, 536849, 4985385
829, 0.268368, 19820607, 1267525, 535365, 4985385
839, 0.271624, 21422548, 1264154, 521347, 4985385
849, 0.274752, 19316648, 1253921, 503000, 4985385
859, 0.277892, 19785195, 1268794, 492973, 4985385
869, 0.281128, 20224073, 1301895, 484151, 4985385
879, 0.284236, 19909307, 1301304, 479742, 4985385
889, 0.287468, 20317325, 1319405, 472325, 4985385
899, 0.290640, 19923877, 1323161, 466500, 4985385
909, 0.293820, 19892938, 1328819, 464819, 4985385
919, 0.296956, 19820090, 1345928, 470926, 4985385
929, 0.300068, 20197557, 1341693, 466523, 4985385
939, 0.303204, 23226241, 1376481, 465355, 4985385
949, 0.306292, 21923408, 1385760, 467458, 4985385
959, 0.309472, 21116687, 1460927, 469221, 4985385
969, 0.312600, 21791564, 1449195, 464482, 4985385
979, 0.315732, 22059260, 1473218, 465315, 4985385
989, 0.318812, 24519970, 1466320, 3064951, 4985385
999, 0.321860, 25259881, 1477415, 487649, 4985385
1009, 0.325008, 22261098, 1497664, 463771, 4985385
1019, 0.328200, 20774079, 1498903, 468896, 4985385
1029, 0.331296, 22127664, 1553526, 466246, 4985385
1039, 0.334400, 22157699, 1515290, 476243, 4985385
1049, 0.337612, 22031080, 1551531, 466669, 4985385
1059, 0.340776, 22320745, 1535156, 465232, 4985385
1069, 0.343940, 25060164, 1571078, 3432984, 4985385
1079, 0.346996, 23821221, 1550770, 492676, 4985385
1089, 0.350192, 22386758, 1552657, 464715, 4985385
1099, 0.353340, 27145386, 1577259, 467961, 4985385
1109, 0.356472, 23776797, 1604332, 464322, 4985385
1119, 0.359560, 23054582, 1620477, 1592840, 4985385
1129, 0.362688, 21891484, 1623100, 469828, 4985385
1139, 0.365776, 22123064, 1634550, 494122, 4985385
1149, 0.368892, 25571941, 1667488, 467340, 4985385
1159, 0.371980, 24273189, 1663760, 467330, 4985385
1169, 0.375084, 23374302, 1681483, 469181, 4985385
1179, 0.378260, 23284162, 1691069, 1461640, 4985385
1189, 0.381304, 23940242, 1706214, 477286, 4985385
1199, 0.384472, 22598050, 1730724, 465452, 4985385
1209, 0.387544, 24465554, 1751690, 475219, 4985385
1219, 0.390624, 24451177, 1751622, 464789, 4985385
1229, 0.393748, 30383904, 1781389, 465643, 4985385
1239, 0.396844, 23474893, 1778542, 465001, 4985385
1249, 0.399952, 24469662, 1782474, 474017, 4985385
1259, 0.403108, 26932410, 1787212, 2705449, 4985385
1269, 0.406176, 24546210, 1816561, 465782, 4985385
1279, 0.409284, 24846315, 1830849, 468074, 4985385
1289, 0.412420, 27788260, 1839799, 465939, 4985385
1299, 0.415576, 27614072, 1853112, 469941, 4985385
1309, 0.418696, 24900266, 1874919, 471500, 4985385
1319, 0.421872, 24779366, 1873120, 466029, 4985385
1329, 0.425000, 29620944, 1873056, 5336377, 4985385
1339, 0.428088, 25100909, 1939479, 463830, 4985385
1349, 0.431300, 26378424, 1915090, 463157, 4985385
1359, 0.434400, 25765564, 1944984, 1640329, 4985385
1369, 0.437484, 24853359, 1958544, 469090, 4985385
1379, 0.440604, 27908566, 1949259, 471544, 4985385
1389, 0.443704, 29536294, 1961246, 473338, 4985385
1399, 0.446816, 25140507, 1988360, 465437, 4985385
1409, 0.449908, 27294957, 2028982, 467235, 4985385
1419, 0.452996, 28328240, 2039467, 490727, 4985385
1429, 0.456132, 27620314, 2052120, 464418, 4985385
1439, 0.459284, 34939635, 2059309, 469173, 4985385
1449, 0.462432, 25561146, 2047846, 474903, 4985385
1459, 0.465572, 30753937, 2062099, 2881549, 4985385
1469, 0.468712, 27659543, 2062667, 463710, 4985385
1479, 0.471884, 27059176, 2101453, 468011, 4985385
1489, 0.474880, 33679930, 2121882, 466713, 4985385
1499, 0.478040, 27277433, 2096287, 468363, 4985385
1509, 0.481124, 29474113, 2124132, 485697, 4985385
1519, 0.484248, 27822313, 2146402, 468383, 4985385
1529, 0.487336, 29861234, 2162021, 478843, 4985385
1539, 0.490420, 28036004, 2240857, 477009, 4985385
1549, 0.493476, 33305292, 2219539, 468476, 4985385
1559, 0.496524, 27518644, 2274915, 468418, 4985385
1569, 0.499644, 29374014, 2238085, 2003027, 4985385
1579, 0.502692, 27958568, 2240394, 467020, 4985385
1589, 0.505736, 28192622, 2250458, 466527, 4985385
1599, 0.508816, 34063522, 2272257, 479257, 4985385
1609, 0.511932, 31702320, 2276123, 2935386, 4985385
1619, 0.515020, 29556990, 2266028, 467289, 4985385
1629, 0.518104, 29151377, 2308657, 1260518, 4985385
1639, 0.521244, 28440255, 2312749, 473662, 4985385
