Step, Coverage [%], Step time [ns], Transition time [ns], Find ac time [ns]
9, 0.000724, 17818463, 531492, 603371, 0
19, 0.003044, 13375065, 1470456, 594453, 0
29, 0.006820, 12012514, 448962, 589271, 0
39, 0.011204, 12214640, 703373, 597883, 0
49, 0.014928, 14269963, 933413, 590198, 0
59, 0.018392, 15704078, 1044962, 596826, 0
69, 0.021964, 18389206, 1239653, 599874, 0
79, 0.025400, 20336072, 2067041, 596294, 0
89, 0.028816, 21536885, 1583976, 602841, 0
99, 0.032236, 23041239, 1739744, 606958, 0
109, 0.035596, 24833541, 1948476, 626771, 0
119, 0.039096, 26364247, 2075912, 604797, 0
129, 0.042416, 31482432, 2057010, 595576, 0
139, 0.045708, 27704945, 2217942, 604786, 0
149, 0.049152, 29003286, 2381532, 600072, 0
159, 0.052472, 31363117, 2876808, 596817, 0
169, 0.055812, 32278937, 2722711, 599009, 0
179, 0.059112, 44746773, 2576354, 606686, 0
189, 0.062464, 32400835, 2699591, 591634, 0
199, 0.065884, 34033160, 2851240, 604239, 0
209, 0.069216, 35263822, 2930852, 596906, 0
219, 0.072512, 37098439, 3124306, 603701, 0
229, 0.075772, 40816572, 3081252, 591961, 0
239, 0.079116, 38012711, 3220329, 592212, 0
249, 0.082440, 39206274, 3401090, 599443, 0
259, 0.085712, 40602878, 3505198, 600092, 0
269, 0.089048, 41697071, 3688433, 602949, 0
279, 0.092292, 43005563, 3735777, 590994, 0
289, 0.095540, 44226030, 3860266, 598076, 0
299, 0.098748, 45871840, 4000309, 589338, 0
309, 0.102024, 47335823, 4127806, 594266, 0
319, 0.105300, 47953964, 4276763, 592413, 0
329, 0.108528, 49370490, 4379408, 591281, 0
339, 0.111840, 50697789, 4574124, 598256, 0
349, 0.115084, 51936968, 4643077, 592759, 0
359, 0.118284, 53432171, 4815300, 593809, 0
369, 0.121544, 54497113, 4884661, 605638, 0
379, 0.124772, 56020915, 5038983, 597047, 0
389, 0.127996, 57107181, 5171491, 595143, 0
399, 0.131236, 58576970, 5359266, 605899, 0
409, 0.134500, 59887569, 5466448, 606187, 0
419, 0.137760, 60931454, 5522949, 594139, 0
429, 0.140924, 62232934, 5622040, 594949, 0
439, 0.144108, 63605487, 5800549, 596399, 0
449, 0.147288, 64757301, 5902741, 596255, 0
459, 0.150532, 65955032, 6059425, 613767, 0
469, 0.153776, 67285341, 6186219, 597360, 0
479, 0.156920, 68329563, 6231758, 596184, 0
489, 0.160052, 72140641, 6419464, 599073, 0
499, 0.163256, 73299265, 6563778, 2926781, 0
509, 0.166496, 74596902, 6612052, 600459, 0
519, 0.169704, 75252955, 6771376, 607251, 0
529, 0.172920, 78720853, 6922207, 601050, 0
539, 0.176156, 83573158, 7066887, 605854, 0
549, 0.179464, 89729538, 7138503, 3275699, 0
559, 0.182652, 80093189, 7266579, 1306997, 0
569, 0.185960, 85055840, 7478286, 621165, 0
579, 0.189196, 83938764, 7560875, 606904, 0
589, 0.192320, 84811283, 7695173, 618729, 0
599, 0.195520, 88899282, 7820998, 601492, 0
