Step, Coverage [%], Step time [ns], Transition time [ns], Find ac time [ns]
9, 0.000724, 17684558, 94889, 622873, 0
19, 0.003044, 11189310, 123871, 553534, 0
29, 0.006820, 7584087, 124362, 612855, 0
39, 0.011204, 11323356, 125593, 4256653, 0
49, 0.014928, 7087197, 137964, 540892, 0
59, 0.018392, 7668662, 156174, 544939, 0
69, 0.021964, 7643024, 178750, 651893, 0
79, 0.025400, 7962423, 194127, 641827, 0
89, 0.028800, 11697148, 224020, 575752, 0
99, 0.032232, 8348658, 252262, 612973, 0
109, 0.035596, 12408668, 309094, 581805, 0
119, 0.039080, 9172471, 328570, 582797, 0
129, 0.042404, 12775626, 335908, 547167, 0
139, 0.045684, 9105235, 340180, 550482, 0
149, 0.049108, 12820447, 343214, 560245, 0
159, 0.052464, 9332546, 365495, 539815, 0
169, 0.055804, 13141528, 386943, 669162, 0
179, 0.059104, 17948829, 438637, 629580, 0
189, 0.062460, 9634614, 427425, 580501, 0
199, 0.065884, 10474358, 503791, 618456, 0
209, 0.069212, 13889623, 521647, 3715907, 0
219, 0.072472, 10884704, 515359, 614057, 0
229, 0.075756, 14182435, 522292, 603335, 0
239, 0.079092, 13477966, 530308, 2971921, 0
249, 0.082388, 11052121, 531057, 642796, 0
259, 0.085688, 14572656, 536233, 532644, 0
269, 0.089016, 11082605, 538901, 530110, 0
279, 0.092256, 14636099, 551381, 531629, 0
289, 0.095512, 14316635, 553633, 533241, 0
299, 0.098720, 11271764, 560843, 529014, 0
309, 0.101976, 19452779, 508108, 523867, 0
319, 0.105272, 13688615, 530866, 549381, 0
329, 0.108500, 11323810, 553761, 533138, 0
339, 0.111820, 11376945, 550299, 525719, 0
349, 0.115068, 15636656, 568972, 630321, 0
359, 0.118268, 14583575, 590475, 523989, 0
369, 0.121536, 11641238, 604975, 540450, 0
379, 0.124764, 15530003, 607832, 625591, 0
389, 0.127976, 14875646, 643352, 614611, 0
399, 0.131212, 12426548, 919392, 522621, 0
409, 0.134488, 15717678, 736863, 627923, 0
419, 0.137744, 35237817, 723921, 535670, 0
429, 0.140912, 16092044, 723985, 628670, 0
439, 0.144096, 12878256, 740829, 523239, 0
449, 0.147268, 15059834, 753001, 618332, 0
459, 0.150516, 16801118, 755981, 574761, 0
469, 0.153760, 16014797, 765105, 572447, 0
479, 0.156908, 13466105, 767277, 668560, 0
489, 0.160044, 16293662, 795331, 548035, 0
499, 0.163248, 16949874, 807136, 582384, 0
509, 0.166488, 17331481, 828435, 588581, 0
519, 0.169692, 17291294, 824702, 519275, 0
