Step, Coverage [%], Step time [ns], Transition time [ns], Find ac time [ns]
9, 0.000000, 816558469, 61484096, 0, 0
19, 0.000000, 615298875, 61490321, 0, 0
29, 0.000000, 615790174, 61805624, 0, 0
39, 0.000000, 627528802, 63368998, 0, 0
49, 0.000000, 648470020, 65894459, 0, 0
59, 0.000000, 660279821, 66223385, 0, 0
69, 0.000000, 680765122, 69784077, 0, 0
79, 0.000000, 684715917, 66674447, 0, 0
89, 0.000000, 681680835, 69472434, 0, 0
99, 0.000000, 707820424, 71436773, 0, 0
109, 0.000000, 688099663, 67773621, 0, 0
119, 0.000000, 691024126, 69877662, 0, 0
129, 0.000000, 713491266, 71174008, 0, 0
139, 0.000000, 707936155, 71756206, 0, 0
149, 0.000000, 719271895, 73278625, 0, 0
159, 0.000000, 728223297, 70238755, 0, 0
169, 0.000000, 700947878, 71740208, 0, 0
179, 0.000000, 733042198, 73905528, 0, 0
189, 0.000000, 719983859, 69827128, 0, 0
199, 0.000000, 724998842, 74887924, 0, 0
209, 0.000000, 749254359, 72933757, 0, 0
219, 0.000000, 702108489, 71161894, 0, 0
229, 0.000000, 733875086, 75340293, 0, 0
239, 0.000000, 752691558, 71565469, 0, 0
249, 0.000000, 698151029, 70561230, 0, 0
259, 0.000000, 728483483, 73942178, 0, 0
269, 0.000000, 765503666, 77853414, 0, 0
279, 0.000000, 749878779, 71159662, 0, 0
289, 0.000000, 723983440, 73974704, 0, 0
299, 0.000000, 764472870, 76695136, 0, 0
309, 0.000000, 728981709, 69999663, 0, 0
319, 0.000000, 728472761, 75256798, 0, 0
329, 0.000000, 735264715, 70950054, 0, 0
339, 0.000000, 737794142, 75323777, 0, 0
349, 0.000000, 734314759, 71361022, 0, 0
359, 0.000000, 729393821, 73958239, 0, 0
369, 0.000000, 747437765, 73934861, 0, 0
379, 0.000000, 749865304, 75383787, 0, 0
389, 0.000000, 744380783, 72855357, 0, 0
399, 0.000000, 736162193, 75408539, 0, 0
409, 0.000000, 735569864, 69960675, 0, 0
419, 0.000000, 713360361, 73453694, 0, 0
429, 0.000000, 755286987, 75902084, 0, 0
439, 0.000000, 723738601, 69381560, 0, 0
449, 0.000000, 710481690, 73316746, 0, 0
459, 0.000000, 748258904, 76543411, 0, 0
469, 0.000000, 760280863, 73926294, 0, 0
479, 0.000000, 724614120, 73999708, 0, 0
489, 0.000000, 738261827, 74172438, 0, 0
499, 0.000000, 755319638, 75382160, 0, 0
509, 0.000000, 725669807, 73437030, 0, 0
519, 0.000000, 745867084, 73852586, 0, 0
529, 0.000000, 760490808, 76804266, 0, 0
539, 0.000000, 753275477, 76539100, 0, 0
549, 0.000000, 743043275, 71307009, 0, 0
559, 0.000000, 729113147, 75335236, 0, 0
569, 0.000000, 759019598, 75324621, 0, 0
579, 0.000000, 724424305, 73863860, 0, 0
589, 0.000000, 755260409, 76566671, 0, 0
599, 0.000000, 733988329, 71307629, 0, 0
609, 0.000000, 731556880, 75348401, 0, 0
619, 0.000000, 774764496, 78368418, 0, 0
629, 0.000000, 752427066, 71735225, 0, 0
639, 0.000000, 699679210, 70238487, 0, 0
649, 0.000000, 729555090, 75301800, 0, 0
659, 0.000000, 766507845, 77008179, 0, 0
669, 0.000000, 756813740, 72509560, 0, 0
679, 0.000000, 724471739, 73963216, 0, 0
689, 0.000000, 760139706, 76995004, 0, 0
699, 0.000000, 752093524, 75311987, 0, 0
709, 0.000000, 767951489, 75353522, 0, 0
719, 0.000000, 734542741, 73971765, 0, 0
