Step, Coverage [%], Step time [ns], Transition time [ns], Find ac time [ns]
9, -1.000000, 304801998, 1603374, 0, 0
19, -1.000000, 50887620, 2254530, 0, 0
29, -1.000000, 57432201, 2647433, 0, 0
39, -1.000000, 63708302, 3362911, 0, 0
49, -1.000000, 70780372, 4087247, 0, 0
59, -1.000000, 77819590, 4764863, 0, 0
69, -1.000000, 84281569, 5453157, 0, 0
79, -1.000000, 91084740, 6184926, 0, 0
89, -1.000000, 98333692, 6858021, 0, 0
99, -1.000000, 105378810, 7620308, 0, 0
109, -1.000000, 111986970, 8362267, 0, 0
119, -1.000000, 118785115, 9040870, 0, 0
129, -1.000000, 125783429, 9698722, 0, 0
139, -1.000000, 132660762, 10396344, 0, 0
149, -1.000000, 139652748, 11225352, 0, 0
159, -1.000000, 146590988, 11903361, 0, 0
169, -1.000000, 153033625, 12501486, 0, 0
179, -1.000000, 159924125, 13161905, 0, 0
189, -1.000000, 166256067, 13812795, 0, 0
199, -1.000000, 174155831, 14701930, 0, 0
209, -1.000000, 181954863, 15476714, 0, 0
219, -1.000000, 189972774, 16211036, 0, 0
229, -1.000000, 198256090, 17054143, 0, 0
239, -1.000000, 206014836, 17939630, 0, 0
249, -1.000000, 215131825, 18843408, 0, 0
259, -1.000000, 223527856, 19595204, 0, 0
269, -1.000000, 233061368, 20500277, 0, 0
279, -1.000000, 241084863, 21481952, 0, 0
289, -1.000000, 251061863, 22374578, 0, 0
299, -1.000000, 260678117, 23373464, 0, 0
309, -1.000000, 272627755, 24547097, 0, 0
319, -1.000000, 281891168, 25572860, 0, 0
329, -1.000000, 296405290, 26849487, 0, 0
339, -1.000000, 304402664, 28007449, 0, 0
349, -1.000000, 320300909, 29304842, 0, 0
359, -1.000000, 334037792, 30580819, 0, 0
369, -1.000000, 334549962, 30392265, 0, 0
379, -1.000000, 343281248, 31572988, 0, 0
389, -1.000000, 351753564, 32266314, 0, 0
399, -1.000000, 351239095, 31423389, 0, 0
409, -1.000000, 355160602, 32849393, 0, 0
419, -1.000000, 374807298, 35416980, 0, 0
429, -1.000000, 391164525, 36682713, 0, 0
439, -1.000000, 398629273, 36188029, 0, 0
449, -1.000000, 392270662, 35972834, 0, 0
459, -1.000000, 392007922, 36521759, 0, 0
469, -1.000000, 410546568, 39263168, 0, 0
479, -1.000000, 430900045, 40682477, 0, 0
489, -1.000000, 436104953, 40903662, 0, 0
499, -1.000000, 450244048, 42008990, 0, 0
509, -1.000000, 444321387, 41061835, 0, 0
519, -1.000000, 453295591, 43202209, 0, 0
529, -1.000000, 468249501, 44634237, 0, 0
539, -1.000000, 484973105, 46546234, 0, 0
549, -1.000000, 496456540, 46114597, 0, 0
559, -1.000000, 486687105, 45406810, 0, 0
569, -1.000000, 474222215, 44655637, 0, 0
579, -1.000000, 496491947, 47785244, 0, 0
589, -1.000000, 522086962, 50266434, 0, 0
599, -1.000000, 540285591, 51330671, 0, 0
609, -1.000000, 543874990, 50912258, 0, 0
619, -1.000000, 540806104, 51660794, 0, 0
629, -1.000000, 538675052, 50719798, 0, 0
639, -1.000000, 553350980, 53351794, 0, 0
649, -1.000000, 576980163, 54397963, 0, 0
659, -1.000000, 571300984, 54882239, 0, 0
669, -1.000000, 591334848, 56986772, 0, 0
679, -1.000000, 594742588, 55500076, 0, 0
689, -1.000000, 583864475, 56333221, 0, 0
699, -1.000000, 614257986, 59293351, 0, 0
709, -1.000000, 624930360, 59021718, 0, 0
719, -1.000000, 621488876, 60874953, 0, 0
729, -1.000000, 639435103, 60539547, 0, 0
739, -1.000000, 643134557, 62502116, 0, 0
749, -1.000000, 658575663, 63182568, 0, 0
759, -1.000000, 644689955, 60403458, 0, 0
769, -1.000000, 648719021, 63322699, 0, 0
779, -1.000000, 680707120, 65813465, 0, 0
789, -1.000000, 664892918, 64077794, 0, 0
799, -1.000000, 693732508, 67226500, 0, 0
809, -1.000000, 703757006, 66783262, 0, 0
819, -1.000000, 707413085, 68780138, 0, 0
829, -1.000000, 718257552, 68424598, 0, 0
839, -1.000000, 714517144, 69175980, 0, 0
849, -1.000000, 724728914, 69343673, 0, 0
859, -1.000000, 703426146, 68098043, 0, 0
869, -1.000000, 734227078, 71694397, 0, 0
879, -1.000000, 757676307, 72016374, 0, 0
889, -1.000000, 734822469, 72017941, 0, 0
899, -1.000000, 772312701, 75223118, 0, 0
909, -1.000000, 785788635, 75971654, 0, 0
919, -1.000000, 763033820, 73841237, 0, 0
929, -1.000000, 793180676, 77531094, 0, 0
939, -1.000000, 795081294, 75237523, 0, 0
949, -1.000000, 797435848, 77706159, 0, 0
959, -1.000000, 806441587, 76054694, 0, 0
969, -1.000000, 804651714, 79277578, 0, 0
979, -1.000000, 836972315, 81455900, 0, 0
