Step, Coverage [%], Step time [ns], Transition time [ns], Find ac time [ns]
9, 0.000724, 10887366, 138238, 922637, 99983584
19, 0.003044, 12307358, 487884, 937608, 99983584
29, 0.006820, 15866480, 843689, 925375, 99983584
39, 0.011204, 20441523, 1332943, 924487, 99983584
49, 0.014928, 24883346, 1718390, 947964, 99983584
59, 0.018392, 28930075, 2178343, 926402, 99983584
69, 0.021964, 32913743, 2540704, 937443, 99983584
79, 0.025400, 37102163, 2946648, 928312, 99983584
89, 0.028816, 40883019, 3300399, 931688, 99983584
99, 0.032236, 44779307, 3753877, 930372, 99983584
109, 0.035596, 48602151, 4089487, 935912, 99983584
119, 0.039096, 53246424, 4485052, 1017282, 99983584
129, 0.042416, 57010805, 4847830, 967281, 99983584
139, 0.045708, 60212228, 5194419, 937481, 99983584
149, 0.049152, 63667951, 5661165, 915739, 99983584
159, 0.052472, 67462961, 6012267, 923134, 99983584
169, 0.055812, 71293203, 6428545, 939358, 99983584
179, 0.059112, 74771730, 6752405, 920920, 99983584
189, 0.062464, 78390172, 7105315, 918806, 99983584
199, 0.065884, 82096099, 7440945, 923796, 99983584
209, 0.069216, 85725245, 7815268, 927650, 99983584
219, 0.072512, 89456932, 8154846, 921938, 99983584
229, 0.075772, 93132847, 8549014, 946245, 99983584
239, 0.079116, 96648442, 8934970, 924410, 99983584
249, 0.082440, 100155205, 9224893, 922842, 99983584
259, 0.085712, 103580264, 9585147, 928946, 99983584
269, 0.089048, 109244802, 9923597, 3064431, 99983584
279, 0.092292, 113207249, 10339406, 957924, 99983584
289, 0.095540, 119070521, 10716850, 930083, 99983584
299, 0.098748, 124788708, 10966313, 931527, 99983584
309, 0.102024, 128626361, 11371368, 929858, 99983584
319, 0.105300, 129726923, 11805093, 932940, 99983584
329, 0.108528, 136522708, 12276640, 2162832, 99983584
339, 0.111840, 135248760, 12716218, 933976, 99983584
349, 0.115084, 141221688, 13125359, 936711, 99983584
359, 0.118284, 146082824, 13620088, 1905587, 99983584
369, 0.121544, 151549889, 14150066, 946476, 99983584
379, 0.124772, 152985615, 14569812, 2406243, 99983584
389, 0.127996, 166227444, 15054890, 955593, 99983584
399, 0.131236, 161966567, 15337345, 943148, 99983584
409, 0.134500, 172438397, 15916283, 1191706, 99983584
419, 0.137760, 171470581, 16338493, 974961, 99983584
429, 0.140924, 175915030, 16375093, 947534, 99983584
439, 0.144108, 181556864, 17139068, 953409, 99983584
449, 0.147288, 195198045, 17695274, 2649349, 99983584
459, 0.150532, 204107173, 18212892, 4979538, 99983584
469, 0.153776, 199096041, 18653329, 955724, 99983584
479, 0.156920, 203363595, 19277930, 956318, 99983584
489, 0.160052, 203924044, 19827732, 958248, 99983584
499, 0.163256, 210240875, 20314751, 959472, 99983584
509, 0.166496, 217078513, 20818315, 968816, 99983584
519, 0.169704, 225079292, 21637627, 964464, 99983584
529, 0.172920, 233737258, 21534882, 959933, 99983584
539, 0.176156, 231487413, 22340671, 963235, 99983584
549, 0.179464, 243646813, 22809160, 963989, 99983584
559, 0.182652, 243673578, 23606512, 975134, 99983584
569, 0.185960, 251191348, 24153303, 971230, 99983584
579, 0.189196, 263303160, 23485420, 980750, 99983584
589, 0.192320, 250344761, 23844285, 968341, 99983584
599, 0.195520, 253350589, 24532274, 970272, 99983584
609, 0.198684, 264023092, 25761942, 972818, 99983584
619, 0.201868, 273193102, 26310663, 3107477, 99983584
629, 0.205056, 278833693, 27469971, 976541, 99983584
639, 0.208288, 289893759, 27732379, 976016, 99983584
649, 0.211424, 291090346, 27295512, 971601, 99983584
659, 0.214584, 282423305, 26966521, 973276, 99983584
669, 0.217752, 280644922, 27320214, 982293, 99983584
679, 0.220848, 292961167, 28037067, 977318, 99983584
689, 0.224108, 302917470, 29216030, 982217, 99983584
699, 0.227280, 311400192, 30206168, 985037, 99983584
709, 0.230368, 314330642, 30691551, 984847, 99983584
719, 0.233552, 317183293, 30424778, 979141, 99983584
729, 0.236680, 322928121, 32045654, 2678451, 99983584
739, 0.239804, 341990260, 31906921, 12025066, 99983584
749, 0.242948, 337931445, 30771104, 12395133, 99983584
759, 0.246184, 332792829, 30374358, 5521083, 99983584
769, 0.249296, 318424236, 31282929, 2150125, 99983584
779, 0.252372, 329163615, 32646786, 984849, 99983584
789, 0.255620, 345542588, 33921863, 999540, 99983584
799, 0.258804, 366668087, 35791783, 987613, 99983584
809, 0.261992, 368472760, 35242932, 988436, 99983584
819, 0.265168, 357098775, 34199336, 993985, 99983584
829, 0.268368, 354622273, 33982558, 988833, 99983584
839, 0.271624, 363467834, 36011039, 2669066, 99983584
849, 0.274752, 380081006, 37228756, 2642069, 99983584
859, 0.277892, 396348606, 36970190, 990711, 99983584
869, 0.281128, 389776683, 38254236, 2045246, 99983584
879, 0.284236, 401830674, 36183307, 1679240, 99983584
889, 0.287468, 384986028, 37435837, 6040315, 99983584
899, 0.290640, 410108942, 40247319, 1007349, 99983584
909, 0.293820, 413295030, 40680056, 993338, 99983584
919, 0.296956, 417212538, 41064060, 994937, 99983584
929, 0.300068, 412078974, 38917901, 994475, 99983584
939, 0.303204, 405481626, 40118013, 1014498, 99983584
949, 0.306292, 421298068, 41705552, 996113, 99983584
959, 0.309472, 426756238, 40201323, 997756, 99983584
969, 0.312600, 426829672, 38445633, 8410109, 99983584
979, 0.315732, 403145078, 38483729, 4912815, 99983584
989, 0.318812, 401939172, 39109799, 990859, 99983584
999, 0.321860, 415557545, 40987546, 996707, 99983584
1009, 0.325008, 436560590, 43015220, 1014029, 99983584
1019, 0.328200, 458689213, 45284242, 2196512, 99983584
1029, 0.331296, 464089964, 45648504, 1005454, 99983584
1039, 0.334400, 468276627, 46128725, 1006497, 99983584
1049, 0.337612, 477197842, 45752517, 1929425, 99983584
1059, 0.340776, 473015646, 46247488, 1006030, 99983584
1069, 0.343940, 485880947, 45402424, 1006531, 99983584
1079, 0.346996, 464875606, 46542679, 1005447, 99983584
1089, 0.350192, 488022418, 47302412, 1011283, 99983584
1099, 0.353340, 496362643, 47803112, 1010989, 99983584
1109, 0.356472, 484214362, 47143984, 1005968, 99983584
1119, 0.359560, 491827118, 48154821, 3414050, 99983584
1129, 0.362688, 493834445, 47892736, 1035735, 99983584
1139, 0.365776, 504353928, 48260389, 7590204, 99983584
1149, 0.368892, 497874735, 49640260, 1007565, 99983584
1159, 0.371980, 514663047, 48290283, 5600207, 99983584
1169, 0.375084, 495867596, 49641961, 1004401, 99983584
1179, 0.378260, 512298646, 50752247, 1015333, 99983584
1189, 0.381304, 528194259, 52438253, 1018850, 99983584
1199, 0.384472, 524950515, 49617447, 1008886, 99983584
1209, 0.387544, 522344807, 52070375, 1014877, 99983584
1219, 0.390624, 541349253, 52193561, 1016028, 99983584
1229, 0.393748, 522881053, 50910813, 2865788, 99983584
1239, 0.396844, 535604145, 53462863, 1016514, 99983584
1249, 0.399952, 550287178, 52827767, 1012207, 99983584
1259, 0.403108, 533471478, 50507385, 1014040, 99983584
1269, 0.406176, 541027389, 53569049, 2898534, 99983584
1279, 0.409284, 559717848, 54472900, 1022188, 99983584
1289, 0.412420, 554296478, 53295188, 2693212, 99983584
1299, 0.415576, 554684634, 55716656, 1022246, 99983584
1309, 0.418696, 575023687, 55570775, 4132308, 99983584
1319, 0.421872, 541674028, 52704692, 1014620, 99983584
1329, 0.425000, 558411986, 55875043, 1017705, 99983584
1339, 0.428088, 593331656, 57128763, 1369378, 99983584
1349, 0.431300, 574914094, 55246043, 1019658, 99983584
1359, 0.434400, 572449239, 57183085, 1063661, 99983584
1369, 0.437484, 591227012, 59083142, 1025727, 99983584
1379, 0.440604, 611992162, 60309893, 1019885, 99983584
1389, 0.443704, 614050447, 57291075, 1023435, 99983584
1399, 0.446816, 575827043, 56542958, 1022210, 99983584
1409, 0.449908, 597504340, 59393843, 5634010, 99983584
1419, 0.452996, 611568663, 61911654, 1021433, 99983584
1429, 0.456132, 628874322, 62634010, 1024904, 99983584
1439, 0.459284, 629878183, 60563897, 1029690, 99983584
1449, 0.462432, 593855909, 59579116, 1022269, 99983584
1459, 0.465572, 625238786, 62307284, 4371073, 99983584
1469, 0.468712, 624287651, 58816211, 1029687, 99983584
1479, 0.471884, 627017051, 62911796, 1028860, 99983584
1489, 0.474880, 656358965, 63941564, 2854301, 99983584
1499, 0.478040, 658471270, 64066701, 1034621, 99983584
1509, 0.481124, 674931247, 65700260, 10371218, 99983584
1519, 0.484248, 653882899, 60116848, 1024866, 99983584
1529, 0.487336, 631279393, 62811628, 2105679, 99983584
1539, 0.490420, 662164798, 65887640, 1042665, 99983584
1549, 0.493476, 666860400, 63496746, 1033595, 99983584
1559, 0.496524, 653915980, 66056564, 1031017, 99983584
1569, 0.499644, 675369078, 66500215, 1034231, 99983584
1579, 0.502692, 660844733, 65856435, 1027995, 99983584
1589, 0.505736, 681142779, 64484908, 1042372, 99983584
1599, 0.508816, 661710177, 67005636, 1033263, 99983584
