Step, Coverage [%], Step time [ns], Transition time [ns], Find ac time [ns]
9, 0.000724, 6452936, 124814, 517332, 20303504
19, 0.003044, 6433313, 125397, 517408, 20303504
29, 0.006820, 6890241, 213036, 547473, 20303504
39, 0.011204, 10698757, 368214, 524479, 20303504
49, 0.014928, 9062603, 422600, 538680, 20303504
59, 0.018392, 13440976, 607856, 524093, 20303504
69, 0.021964, 13623171, 630918, 2825769, 20303504
79, 0.025400, 16345348, 605867, 521388, 20303504
89, 0.028816, 14313690, 687829, 521023, 20303504
99, 0.032236, 14576415, 779264, 524042, 20303504
109, 0.035596, 16372730, 873764, 533679, 20303504
119, 0.039096, 14087075, 926186, 524540, 20303504
129, 0.042416, 14644493, 981903, 522608, 20303504
139, 0.045708, 15360921, 1114662, 523580, 20303504
149, 0.049152, 16320399, 1143270, 531701, 20303504
159, 0.052472, 16974687, 1188131, 523403, 20303504
169, 0.055812, 17385123, 1249717, 525032, 20303504
179, 0.059112, 30414723, 1227726, 12998274, 20303504
189, 0.062464, 17525310, 1252153, 519985, 20303504
199, 0.065884, 18255142, 1356491, 520577, 20303504
209, 0.069216, 18731247, 1353266, 533092, 20303504
219, 0.072512, 19277042, 1429385, 541044, 20303504
229, 0.075772, 19823300, 1488378, 534388, 20303504
239, 0.079116, 20915301, 1619122, 540530, 20303504
249, 0.082440, 21533874, 1639281, 519970, 20303504
259, 0.085712, 27428591, 1618586, 6215804, 20303504
269, 0.089048, 21677411, 1700404, 519413, 20303504
279, 0.092292, 22133363, 1722001, 518972, 20303504
289, 0.095540, 22731240, 1799799, 519902, 20303504
299, 0.098748, 23265850, 1839735, 538151, 20303504
309, 0.102024, 23954743, 1875583, 526256, 20303504
319, 0.105300, 24683067, 1971988, 598273, 20303504
329, 0.108528, 25554826, 2001177, 625016, 20303504
339, 0.111840, 25992055, 2060372, 647600, 20303504
349, 0.115084, 26616187, 2125540, 525384, 20303504
359, 0.118284, 41625721, 2165680, 534176, 20303504
369, 0.121544, 30130633, 2254538, 620226, 20303504
379, 0.124772, 31565243, 2309851, 636539, 20303504
389, 0.127996, 31868701, 2329235, 582054, 20303504
399, 0.131236, 34383907, 2397335, 3148007, 20303504
409, 0.134500, 39611164, 2441846, 2897612, 20303504
419, 0.137760, 33059987, 2508876, 536316, 20303504
429, 0.140924, 35180453, 2629965, 628727, 20303504
439, 0.144108, 33972690, 2645478, 1660200, 20303504
449, 0.147288, 32462218, 2691490, 547054, 20303504
459, 0.150532, 39067960, 2732708, 584276, 20303504
469, 0.153776, 35456982, 2809462, 531145, 20303504
479, 0.156920, 36876800, 2851602, 552249, 20303504
489, 0.160052, 37068612, 2901008, 3136321, 20303504
499, 0.163256, 36977690, 2941972, 526216, 20303504
509, 0.166496, 43002435, 3072157, 2271761, 20303504
519, 0.169704, 43358821, 3064975, 5634124, 20303504
529, 0.172920, 40440961, 3177221, 550194, 20303504
539, 0.176156, 40578678, 3175066, 597482, 20303504
549, 0.179464, 44900781, 3266571, 599117, 20303504
559, 0.182652, 39816939, 3321163, 605882, 20303504
569, 0.185960, 45111772, 3414136, 632870, 20303504
579, 0.189196, 42666360, 3403004, 615726, 20303504
589, 0.192320, 41233892, 3473327, 667084, 20303504
599, 0.195520, 40884735, 3530361, 529749, 20303504
609, 0.198684, 48383305, 3603578, 621602, 20303504
619, 0.201868, 44163985, 3624769, 536219, 20303504
629, 0.205056, 51046191, 3690750, 2720266, 20303504
639, 0.208288, 44695335, 3742271, 641065, 20303504
649, 0.211424, 49387389, 3800010, 613081, 20303504
659, 0.214584, 50519233, 3877972, 549733, 20303504
669, 0.217752, 52252848, 3881954, 532619, 20303504
679, 0.220848, 48657610, 3939207, 527750, 20303504
689, 0.224108, 46220383, 3995218, 609339, 20303504
699, 0.227280, 50938090, 4052168, 2107256, 20303504
709, 0.230368, 52371722, 4133393, 665579, 20303504
719, 0.233552, 58604640, 4147692, 531610, 20303504
729, 0.236680, 49718403, 4301880, 615861, 20303504
739, 0.239804, 53963669, 4325699, 548596, 20303504
749, 0.242948, 55121610, 4326637, 530209, 20303504
759, 0.246184, 56469447, 4428563, 2806901, 20303504
769, 0.249296, 52802512, 4453247, 640824, 20303504
779, 0.252372, 58291414, 4547663, 642028, 20303504
789, 0.255620, 54362949, 4596038, 526423, 20303504
799, 0.258804, 61068901, 4628081, 531290, 20303504
809, 0.261992, 58981082, 4699735, 5059386, 20303504
819, 0.265168, 59322451, 4739544, 6708330, 20303504
829, 0.268368, 53802860, 4811221, 529972, 20303504
839, 0.271624, 56283815, 4878912, 536522, 20303504
849, 0.274752, 60142525, 4951122, 544883, 20303504
859, 0.277892, 59548758, 5071524, 527911, 20303504
869, 0.281128, 62002706, 5014442, 647626, 20303504
879, 0.284236, 70052128, 5146332, 5619582, 20303504
889, 0.287468, 63650663, 5186734, 529302, 20303504
899, 0.290640, 70531526, 5195834, 585440, 20303504
909, 0.293820, 67398222, 5209771, 2290139, 20303504
919, 0.296956, 69357215, 5341467, 531241, 20303504
929, 0.300068, 63077299, 5313267, 622443, 20303504
939, 0.303204, 74949316, 5391219, 10480175, 20303504
949, 0.306292, 72370022, 5484673, 631442, 20303504
959, 0.309472, 69024387, 5507038, 541893, 20303504
969, 0.312600, 80874718, 5619944, 580867, 20303504
979, 0.315732, 70006148, 5627546, 2367733, 20303504
989, 0.318812, 75767878, 5700475, 624404, 20303504
999, 0.321860, 73600440, 5721496, 534693, 20303504
1009, 0.325008, 75175339, 5804755, 4078880, 20303504
1019, 0.328200, 69566803, 5853649, 567481, 20303504
1029, 0.331296, 86452514, 5966696, 1123071, 20303504
1039, 0.334400, 87255909, 5882895, 4615362, 20303504
1049, 0.337612, 75400164, 5998596, 2061575, 20303504
1059, 0.340776, 76182910, 6120521, 533364, 20303504
1069, 0.343940, 77357723, 6195410, 539286, 20303504
1079, 0.346996, 77705984, 6245054, 5126117, 20303504
1089, 0.350192, 89797151, 6318646, 681602, 20303504
1099, 0.353340, 108381657, 6415617, 5376823, 20303504
1109, 0.356472, 77399996, 6583062, 533920, 20303504
1119, 0.359560, 80798179, 6731238, 532999, 20303504
1129, 0.362688, 80618882, 6735647, 549614, 20303504
1139, 0.365776, 105132992, 6650790, 11969802, 20303504
1149, 0.368892, 76406509, 6649051, 2439802, 20303504
1159, 0.371980, 93537585, 6595536, 532545, 20303504
1169, 0.375084, 108340253, 6908737, 21152497, 20303504
1179, 0.378260, 87090406, 6887740, 6636285, 20303504
1189, 0.381304, 95201119, 7014063, 538926, 20303504
1199, 0.384472, 87059379, 7074543, 578113, 20303504
1209, 0.387544, 90170376, 7138538, 533284, 20303504
1219, 0.390624, 92109070, 7211361, 3000835, 20303504
1229, 0.393748, 86999651, 7232204, 536931, 20303504
1239, 0.396844, 88246551, 7296386, 537712, 20303504
1249, 0.399952, 109016886, 7316343, 11679360, 20303504
1259, 0.403108, 82576769, 7335593, 661167, 20303504
1269, 0.406176, 99247095, 7284375, 2100722, 20303504
1279, 0.409284, 81090535, 7282828, 1558102, 20303504
1289, 0.412420, 84723953, 7319123, 5949299, 20303504
1299, 0.415576, 96479805, 7382094, 3829305, 20303504
1309, 0.418696, 98673511, 7484718, 2029768, 20303504
1319, 0.421872, 92068711, 7537811, 2472421, 20303504
1329, 0.425000, 89082918, 7525473, 640753, 20303504
1339, 0.428088, 83581421, 7627585, 658334, 20303504
1349, 0.431300, 87963099, 7616064, 3110044, 20303504
1359, 0.434400, 94623732, 7657722, 530917, 20303504
1369, 0.437484, 94681186, 7930183, 2953886, 20303504
1379, 0.440604, 103553482, 8071000, 536260, 20303504
1389, 0.443704, 95882228, 8030160, 2346206, 20303504
1399, 0.446816, 94076784, 8059586, 538003, 20303504
1409, 0.449908, 101720295, 8185676, 538851, 20303504
1419, 0.452996, 109441693, 8136045, 2843110, 20303504
1429, 0.456132, 101605932, 8076913, 554803, 20303504
1439, 0.459284, 107513458, 8218652, 2121316, 20303504
1449, 0.462432, 110577877, 8211929, 3148001, 20303504
1459, 0.465572, 112190545, 8255867, 536003, 20303504
1469, 0.468712, 101660962, 8520054, 544652, 20303504
1479, 0.471884, 97690464, 8610160, 536413, 20303504
1489, 0.474880, 100730058, 8764900, 539029, 20303504
1499, 0.478040, 110181758, 8950410, 1193460, 20303504
1509, 0.481124, 102670790, 9051487, 3543665, 20303504
1519, 0.484248, 100112886, 9040232, 539937, 20303504
1529, 0.487336, 101561563, 9086459, 5451354, 20303504
1539, 0.490420, 119314105, 9131940, 9379491, 20303504
1549, 0.493476, 119075180, 9244174, 4353925, 20303504
1559, 0.496524, 114082271, 9195179, 536989, 20303504
1569, 0.499644, 111758296, 9269189, 5014426, 20303504
1579, 0.502692, 117995127, 9412355, 537787, 20303504
1589, 0.505736, 121091050, 9403141, 617394, 20303504
1599, 0.508816, 119740498, 9127443, 2311725, 20303504
1609, 0.511932, 108790669, 9220920, 1019178, 20303504
1619, 0.515020, 100548878, 9240729, 575602, 20303504
1629, 0.518104, 127201864, 9379996, 558586, 20303504
1639, 0.521244, 112405576, 9238403, 1813069, 20303504
1649, 0.524284, 105140016, 9211340, 532730, 20303504
1659, 0.527404, 100538318, 9328022, 604558, 20303504
1669, 0.530444, 110299351, 9533720, 627464, 20303504
1679, 0.533516, 107381266, 9470874, 535856, 20303504
1689, 0.536616, 108563920, 9516056, 559824, 20303504
1699, 0.539700, 110451228, 9597808, 3473769, 20303504
