Step, Coverage [%], Step time [ns], Transition time [ns], Find ac time [ns]
9, 0.000724, 56338551, 3038703, 1425363, 0
19, 0.003044, 37169490, 2689714, 1429831, 0
29, 0.006820, 36726586, 2106937, 1437511, 0
39, 0.011204, 48076107, 3370505, 3848641, 0
49, 0.014928, 61635086, 3935242, 2259653, 0
59, 0.018392, 66970789, 4819328, 1427249, 0
69, 0.021964, 67240474, 5729895, 1436174, 0
79, 0.025400, 76571533, 6247189, 1395320, 0
89, 0.028816, 79567769, 6799065, 1418990, 0
99, 0.032236, 85324501, 7282424, 1401162, 0
109, 0.035596, 90343032, 7950096, 1406226, 0
119, 0.039096, 97962031, 8759850, 1407211, 0
129, 0.042416, 105392706, 9468034, 1395511, 0
139, 0.045708, 113082679, 10155994, 1403723, 0
149, 0.049152, 120118665, 10973107, 1410321, 0
159, 0.052472, 127990500, 11929423, 1404277, 0
169, 0.055812, 135382287, 12464866, 1424218, 0
179, 0.059112, 142453879, 13172417, 1411680, 0
189, 0.062464, 149664447, 13912561, 1416288, 0
199, 0.065884, 156946922, 14639987, 1415893, 0
209, 0.069216, 164139916, 15339676, 1422480, 0
219, 0.072512, 171641185, 16090397, 1437697, 0
229, 0.075772, 178471329, 16697819, 1416153, 0
239, 0.079116, 185509623, 17527187, 1416806, 0
249, 0.082440, 192739999, 18150533, 1435214, 0
259, 0.085712, 199788063, 18932951, 1420508, 0
269, 0.089048, 209039859, 19747859, 1446170, 0
279, 0.092292, 219272717, 20677273, 1426827, 0
289, 0.095540, 227294589, 21477371, 1423685, 0
299, 0.098748, 246109042, 21951173, 3778098, 0
309, 0.102024, 241049310, 22737161, 3139629, 0
319, 0.105300, 250239310, 23711581, 1419951, 0
329, 0.108528, 268476179, 24890615, 1429467, 0
339, 0.111840, 269865508, 25908175, 1430878, 0
349, 0.115084, 280047775, 26788090, 1992783, 0
359, 0.118284, 292614951, 28032092, 1451636, 0
369, 0.121544, 304043267, 29393160, 1435837, 0
379, 0.124772, 311937233, 29956692, 1433486, 0
389, 0.127996, 326653803, 31896817, 1446253, 0
399, 0.131236, 353622057, 32536629, 1451923, 0
409, 0.134500, 353828459, 33670740, 1471729, 0
419, 0.137760, 362155782, 34946492, 1459706, 0
429, 0.140924, 382826444, 37081441, 3409353, 0
439, 0.144108, 395761433, 38310549, 1482418, 0
449, 0.147288, 392980657, 36456074, 4336013, 0
459, 0.150532, 387469797, 36557288, 1461252, 0
469, 0.153776, 402208271, 38061031, 3827515, 0
479, 0.156920, 416459308, 40835196, 1479414, 0
489, 0.160052, 418892618, 40019483, 1476113, 0
499, 0.163256, 427794471, 41596292, 1478686, 0
509, 0.166496, 449661844, 45038554, 1492126, 0
519, 0.169704, 483030910, 46913964, 1490456, 0
529, 0.172920, 472641223, 45152242, 1490942, 0
539, 0.176156, 479044048, 45880143, 1485971, 0
549, 0.179464, 468106448, 46295139, 2972502, 0
559, 0.182652, 498444301, 49343162, 1503869, 0
569, 0.185960, 511615047, 49506884, 1504432, 0
579, 0.189196, 501731671, 47339696, 6318934, 0
589, 0.192320, 499455485, 48640743, 1488995, 0
599, 0.195520, 522551583, 51708774, 1505332, 0
609, 0.198684, 555251245, 55012127, 3768794, 0
619, 0.201868, 552017151, 53229557, 1527842, 0
629, 0.205056, 531056292, 51670000, 1552336, 0
639, 0.208288, 555385923, 55344039, 1512310, 0
649, 0.211424, 591010444, 56067784, 1515742, 0
659, 0.214584, 560639754, 53881669, 1507475, 0
669, 0.217752, 578935879, 57634718, 6483984, 0
679, 0.220848, 597575440, 59695160, 1521956, 0
689, 0.224108, 613497453, 60202347, 1513009, 0
699, 0.227280, 604885309, 58024930, 2957273, 0
709, 0.230368, 613279714, 60985669, 1540648, 0
719, 0.233552, 636797285, 61308782, 1524732, 0
729, 0.236680, 607788187, 60900090, 1502578, 0
739, 0.239804, 639801089, 61972293, 1521575, 0
749, 0.242948, 645917964, 64052497, 1520439, 0
759, 0.246184, 654388776, 62859533, 1523149, 0
769, 0.249296, 661114088, 65872749, 1534855, 0
779, 0.252372, 677501822, 64777409, 2204704, 0
789, 0.255620, 677847416, 67406459, 1526372, 0
799, 0.258804, 712110217, 69854188, 4652034, 0
809, 0.261992, 693796215, 63472846, 1508191, 0
819, 0.265168, 673373350, 66902495, 1534033, 0
829, 0.268368, 717573459, 72659273, 4341604, 0
839, 0.271624, 755478600, 74516607, 1539480, 0
849, 0.274752, 766425870, 72389740, 1534014, 0
859, 0.277892, 711261384, 69660223, 1525328, 0
869, 0.281128, 747672691, 74641651, 1539059, 0
879, 0.284236, 774073668, 74386195, 1545052, 0
889, 0.287468, 766983095, 75254530, 1531469, 0
899, 0.290640, 796760596, 80142980, 1539480, 0
909, 0.293820, 825338898, 75349256, 6843027, 0
919, 0.296956, 745425669, 73946967, 1552011, 0
929, 0.300068, 786650811, 79338012, 3259197, 0
939, 0.303204, 833134834, 79724356, 1566844, 0
949, 0.306292, 823065423, 81277001, 1567161, 0
959, 0.309472, 859906830, 84819877, 1543461, 0
969, 0.312600, 848017162, 79898576, 1553678, 0
979, 0.315732, 835473900, 83480766, 5545914, 0
989, 0.318812, 871060607, 87467154, 1551451, 0
999, 0.321860, 870086506, 82667662, 1556378, 0
1009, 0.325008, 861274619, 85406763, 1962945, 0
1019, 0.328200, 891706019, 90054111, 1559702, 0
1029, 0.331296, 888860480, 85789211, 3111908, 0
1039, 0.334400, 871783495, 86541773, 1562879, 0
1049, 0.337612, 908681837, 90842239, 1563980, 0
1059, 0.340776, 926523526, 85509773, 13139714, 0
1069, 0.343940, 858938492, 85677105, 1561438, 0
1079, 0.346996, 891385675, 89751860, 1562892, 0
1089, 0.350192, 949844350, 95760086, 1564703, 0
1099, 0.353340, 971031535, 92222462, 1572543, 0
1109, 0.356472, 950763776, 93691480, 3173906, 0
1119, 0.359560, 959593978, 96535380, 1570446, 0
1129, 0.362688, 964866673, 92495186, 1561655, 0
1139, 0.365776, 980127065, 96105775, 1574358, 0
1149, 0.368892, 998814903, 95084414, 1581727, 0
1159, 0.371980, 963101921, 97879360, 6713293, 0
1169, 0.375084, 1001361407, 98578598, 1568279, 0
1179, 0.378260, 995084869, 99460474, 1581531, 0
