Step, Coverage [%], Step time [ns], Transition time [ns], Find ac time [ns]
9, 0.000724, 189364369, 960914, 2743943, 0
19, 0.003044, 33518413, 552170, 2750589, 0
29, 0.006820, 36774643, 952754, 2748690, 0
39, 0.011204, 40737088, 1542310, 2729753, 0
49, 0.014928, 47867586, 1814228, 2679953, 0
59, 0.018392, 47526599, 2275440, 2682801, 0
69, 0.021964, 51546039, 2650046, 2698920, 0
79, 0.025400, 68261609, 2967647, 2615206, 0
89, 0.028800, 57985972, 3296902, 2615024, 0
99, 0.032232, 61290418, 3689669, 2642386, 0
109, 0.035596, 64846852, 4068754, 2615128, 0
119, 0.039080, 68675270, 4421425, 2609053, 0
129, 0.042404, 72590686, 4835603, 2607764, 0
139, 0.045684, 76014716, 5187977, 2616563, 0
149, 0.049108, 79770063, 5532705, 2613388, 0
159, 0.052464, 83563495, 5942321, 2582863, 0
169, 0.055804, 87023120, 6338965, 2580546, 0
179, 0.059104, 90939658, 6772245, 2580698, 0
189, 0.062460, 94350715, 7014180, 2567192, 0
199, 0.065884, 98081745, 7465577, 2560653, 0
209, 0.069212, 101567886, 7764844, 2581639, 0
219, 0.072472, 105440691, 8260551, 2576738, 0
229, 0.075756, 108790451, 8504000, 2592575, 0
239, 0.079092, 112381078, 8909740, 2553516, 0
249, 0.082388, 116122020, 9269361, 2567190, 0
259, 0.085688, 119448983, 9568855, 2558595, 0
269, 0.089016, 123104136, 9969754, 2524820, 0
279, 0.092256, 128555180, 10409047, 2552760, 0
289, 0.095512, 133997707, 10705713, 2548460, 0
299, 0.098720, 134526179, 10941749, 2538978, 0
309, 0.101976, 143922784, 11387572, 2559616, 0
319, 0.105272, 152170079, 11928077, 2523983, 0
329, 0.108500, 150939863, 12392523, 2547809, 0
339, 0.111820, 151638266, 12723901, 2551843, 0
349, 0.115068, 156882220, 13084972, 2567901, 0
359, 0.118268, 165799235, 13608727, 2541640, 0
369, 0.121536, 170326812, 14026953, 2560022, 0
379, 0.124764, 175045995, 14531815, 5040774, 0
389, 0.127976, 184497119, 15112495, 7872074, 0
399, 0.131212, 198288007, 15317035, 4943571, 0
