Step, Coverage [%], Step time [ns], Transition time [ns], Find ac time [ns]
9, -1.000000, 367392885, 4235127, 0, 0
19, -1.000000, 43740356, 4747850, 0, 0
29, -1.000000, 53551486, 5594171, 0, 0
39, -1.000000, 62577911, 6678017, 0, 0
49, -1.000000, 73185442, 7554328, 0, 0
59, -1.000000, 80935308, 8412664, 0, 0
69, -1.000000, 89243473, 9168429, 0, 0
79, -1.000000, 97114842, 10006499, 0, 0
89, -1.000000, 105380660, 10840818, 0, 0
99, -1.000000, 113563585, 11693355, 0, 0
109, -1.000000, 121397762, 12477913, 0, 0
119, -1.000000, 130157762, 13331932, 0, 0
129, -1.000000, 138381113, 14069633, 0, 0
139, -1.000000, 146747581, 14954473, 0, 0
149, -1.000000, 155123801, 16076436, 0, 0
159, -1.000000, 164003250, 17163376, 0, 0
169, -1.000000, 172171728, 17806865, 0, 0
179, -1.000000, 181434913, 18622952, 0, 0
189, -1.000000, 190610640, 19480971, 0, 0
199, -1.000000, 200388688, 20465604, 0, 0
209, -1.000000, 209769659, 21345438, 0, 0
219, -1.000000, 219073864, 22319678, 0, 0
229, -1.000000, 229815226, 23326004, 0, 0
239, -1.000000, 241198099, 24588247, 0, 0
249, -1.000000, 253697782, 26029354, 0, 0
259, -1.000000, 267732553, 27413039, 0, 0
269, -1.000000, 283339138, 28904182, 0, 0
279, -1.000000, 298721054, 30678885, 0, 0
289, -1.000000, 312778599, 31628827, 0, 0
299, -1.000000, 320923101, 32410931, 0, 0
309, -1.000000, 329535928, 33433943, 0, 0
319, -1.000000, 338147901, 34201474, 0, 0
329, -1.000000, 346490301, 35008470, 0, 0
339, -1.000000, 354773074, 35838948, 0, 0
349, -1.000000, 363253495, 36749157, 0, 0
359, -1.000000, 372028584, 37517667, 0, 0
369, -1.000000, 380453951, 38384931, 0, 0
379, -1.000000, 388599770, 39197494, 0, 0
389, -1.000000, 397138888, 40039937, 0, 0
399, -1.000000, 405271363, 40926813, 0, 0
409, -1.000000, 413564658, 41788720, 0, 0
419, -1.000000, 422433303, 42607556, 0, 0
429, -1.000000, 430498299, 43344044, 0, 0
439, -1.000000, 438783221, 44217923, 0, 0
449, -1.000000, 447877427, 45385631, 0, 0
459, -1.000000, 455705855, 45899384, 0, 0
469, -1.000000, 463659109, 46756217, 0, 0
479, -1.000000, 467640110, 47922227, 0, 0
489, -1.000000, 481093835, 48433879, 0, 0
499, -1.000000, 488788208, 49184639, 0, 0
509, -1.000000, 493594801, 49462049, 0, 0
519, -1.000000, 506143079, 50928114, 0, 0
529, -1.000000, 513884283, 51668290, 0, 0
539, -1.000000, 515590276, 50974305, 0, 0
549, -1.000000, 503798941, 51414463, 0, 0
559, -1.000000, 521531501, 52366471, 0, 0
569, -1.000000, 530705809, 54089795, 0, 0
