Step, Coverage [%], Step time [ns], Transition time [ns], Find ac time [ns]
9, 0.000000, 489128674, 36450468, 0, 0
19, 0.000000, 365101324, 36443867, 0, 0
29, 0.000000, 365185203, 36484725, 0, 0
39, 0.000000, 365022664, 36465874, 0, 0
49, 0.000000, 364916732, 36444135, 0, 0
59, 0.000000, 364874174, 36437309, 0, 0
69, 0.000000, 365017006, 36595949, 0, 0
79, 0.000000, 368999104, 37180092, 0, 0
89, 0.000000, 373361036, 37526675, 0, 0
99, 0.000000, 379289932, 38028593, 0, 0
109, 0.000000, 385108787, 38605301, 0, 0
119, 0.000000, 389994880, 39095922, 0, 0
129, 0.000000, 396709927, 40105035, 0, 0
139, 0.000000, 403363057, 40690553, 0, 0
149, 0.000000, 412848861, 41377080, 0, 0
159, 0.000000, 409981261, 40132244, 0, 0
169, 0.000000, 406796099, 40875097, 0, 0
179, 0.000000, 413367226, 41329683, 0, 0
189, 0.000000, 414549965, 41507460, 0, 0
199, 0.000000, 422400222, 41654903, 0, 0
209, 0.000000, 412764700, 41446055, 0, 0
219, 0.000000, 417226125, 42002841, 0, 0
229, 0.000000, 417043860, 41497860, 0, 0
239, 0.000000, 422461634, 42507099, 0, 0
249, 0.000000, 430072871, 43145117, 0, 0
259, 0.000000, 424650838, 42492877, 0, 0
269, 0.000000, 431705121, 43819563, 0, 0
279, 0.000000, 446962652, 45293184, 0, 0
289, 0.000000, 450269901, 43873478, 0, 0
299, 0.000000, 427794788, 42482458, 0, 0
309, 0.000000, 433545501, 43803611, 0, 0
319, 0.000000, 447207015, 45351216, 0, 0
329, 0.000000, 457069424, 45651787, 0, 0
339, 0.000000, 448216649, 44580662, 0, 0
349, 0.000000, 440548319, 43830812, 0, 0
359, 0.000000, 445070251, 43797724, 0, 0
369, 0.000000, 435607417, 43817789, 0, 0
379, 0.000000, 448877919, 45670839, 0, 0
389, 0.000000, 461505932, 46458158, 0, 0
399, 0.000000, 458267539, 43863217, 0, 0
409, 0.000000, 432504305, 42321026, 0, 0
419, 0.000000, 422952640, 42423601, 0, 0
429, 0.000000, 434047412, 43830211, 0, 0
439, 0.000000, 450856982, 45628570, 0, 0
449, 0.000000, 459772507, 45651643, 0, 0
459, 0.000000, 454661353, 45051440, 0, 0
469, 0.000000, 439568289, 44398969, 0, 0
479, 0.000000, 453144887, 45625402, 0, 0
489, 0.000000, 454734939, 45163125, 0, 0
499, 0.000000, 438268536, 42497318, 0, 0
509, 0.000000, 435092504, 44105152, 0, 0
519, 0.000000, 450712013, 45351661, 0, 0
529, 0.000000, 455055236, 45662730, 0, 0
539, 0.000000, 455844644, 44683100, 0, 0
549, 0.000000, 433814261, 42292504, 0, 0
559, 0.000000, 431136958, 43749505, 0, 0
569, 0.000000, 443559752, 44610528, 0, 0
579, 0.000000, 454754813, 45591072, 0, 0
589, 0.000000, 461968936, 46487858, 0, 0
599, 0.000000, 452337016, 43802030, 0, 0
609, 0.000000, 435310374, 43774485, 0, 0
619, 0.000000, 439841843, 43804998, 0, 0
629, 0.000000, 439054888, 44372578, 0, 0
639, 0.000000, 448895744, 45376683, 0, 0
649, 0.000000, 452914821, 44617961, 0, 0
659, 0.000000, 438055622, 42954812, 0, 0
669, 0.000000, 440567605, 44644062, 0, 0
679, 0.000000, 455681330, 45630229, 0, 0
689, 0.000000, 451196761, 44025483, 0, 0
699, 0.000000, 438017974, 44627803, 0, 0
709, 0.000000, 446981643, 44633199, 0, 0
719, 0.000000, 447096395, 44641508, 0, 0
729, 0.000000, 447177910, 44634681, 0, 0
739, 0.000000, 442500283, 43803970, 0, 0
749, 0.000000, 447871073, 45346908, 0, 0
759, 0.000000, 449669052, 44669206, 0, 0
769, 0.000000, 447194030, 44661315, 0, 0
779, 0.000000, 456348069, 46458892, 0, 0
789, 0.000000, 465293686, 46430986, 0, 0
799, 0.000000, 443299101, 42498589, 0, 0
809, 0.000000, 429497067, 43836013, 0, 0
819, 0.000000, 441840369, 44647754, 0, 0
829, 0.000000, 454703302, 45814951, 0, 0
839, 0.000000, 461379578, 45064576, 0, 0
849, 0.000000, 441352794, 43755314, 0, 0
859, 0.000000, 440612377, 44637873, 0, 0
869, 0.000000, 454177250, 45640492, 0, 0
879, 0.000000, 452839756, 44656110, 0, 0
889, 0.000000, 442496795, 44661414, 0, 0
899, 0.000000, 454126176, 46276780, 0, 0
909, 0.000000, 462479978, 45616343, 0, 0
919, 0.000000, 456761147, 45634364, 0, 0
929, 0.000000, 454922848, 44653722, 0, 0
939, 0.000000, 450481363, 45324813, 0, 0
949, 0.000000, 447798561, 43793333, 0, 0
959, 0.000000, 438371183, 43768823, 0, 0
969, 0.000000, 438361110, 43793528, 0, 0
979, 0.000000, 446902689, 45626615, 0, 0
989, 0.000000, 461457882, 46436280, 0, 0
999, 0.000000, 464885094, 46294956, 0, 0
1009, 0.000000, 443133485, 43399556, 0, 0
1019, 0.000000, 441943452, 44658353, 0, 0
1029, 0.000000, 453461783, 45355510, 0, 0
1039, 0.000000, 430263315, 42518312, 0, 0
1049, 0.000000, 432484559, 43848800, 0, 0
1059, 0.000000, 446871073, 45237738, 0, 0
1069, 0.000000, 452799371, 44639397, 0, 0
1079, 0.000000, 439481299, 43818661, 0, 0
1089, 0.000000, 444385859, 44662928, 0, 0
1099, 0.000000, 447176634, 44817573, 0, 0
1109, 0.000000, 456654062, 45618146, 0, 0
1119, 0.000000, 449584039, 44651627, 0, 0
1129, 0.000000, 446997894, 44610201, 0, 0
1139, 0.000000, 446973683, 44610556, 0, 0
1149, 0.000000, 448092564, 45325710, 0, 0
1159, 0.000000, 455311108, 45642595, 0, 0
1169, 0.000000, 462680902, 45639309, 0, 0
1179, 0.000000, 457081188, 45658125, 0, 0
1189, 0.000000, 448147808, 43643870, 0, 0
1199, 0.000000, 442592316, 44645277, 0, 0
1209, 0.000000, 457591308, 46487891, 0, 0
1219, 0.000000, 465186948, 46441506, 0, 0
1229, 0.000000, 453473864, 43812146, 0, 0
1239, 0.000000, 428226163, 42880262, 0, 0
1249, 0.000000, 440877361, 44635271, 0, 0
1259, 0.000000, 455528388, 45627390, 0, 0
1269, 0.000000, 454805053, 45329685, 0, 0
1279, 0.000000, 454234477, 45327941, 0, 0
1289, 0.000000, 457015042, 45649450, 0, 0
1299, 0.000000, 443406752, 43171669, 0, 0
1309, 0.000000, 443722523, 44636526, 0, 0
