Step, Coverage [%], Step time [ns], Transition time [ns], Find ac time [ns]
9, 0.000000, 365868422, 7590104, 0, 0
19, 0.000000, 71138619, 6894535, 0, 0
29, 0.000000, 68944367, 6885899, 0, 0
39, 0.000000, 68352468, 6570654, 0, 0
49, 0.000000, 65788664, 6568584, 0, 0
59, 0.000000, 65693809, 6561877, 0, 0
69, 0.000000, 65634909, 6559133, 0, 0
79, 0.000000, 65591349, 6560814, 0, 0
89, 0.000000, 65551563, 6545577, 0, 0
99, 0.000000, 65510929, 6551036, 0, 0
109, 0.000000, 65478714, 6547705, 0, 0
119, 0.000000, 65431231, 6540557, 0, 0
129, 0.000000, 65373342, 6532201, 0, 0
139, 0.000000, 65325631, 6528499, 0, 0
149, 0.000000, 65274249, 6521248, 0, 0
159, 0.000000, 65236590, 6518485, 0, 0
169, 0.000000, 65190165, 6510634, 0, 0
179, 0.000000, 65168338, 6516129, 0, 0
189, 0.000000, 65118025, 6506298, 0, 0
199, 0.000000, 65089669, 6504766, 0, 0
209, 0.000000, 65050092, 6502186, 0, 0
219, 0.000000, 64998755, 6496305, 0, 0
229, 0.000000, 64946976, 6493281, 0, 0
239, 0.000000, 64904921, 6488722, 0, 0
249, 0.000000, 64859372, 6479772, 0, 0
259, 0.000000, 64812433, 6474105, 0, 0
269, 0.000000, 64782773, 6473239, 0, 0
279, 0.000000, 64721933, 6466654, 0, 0
289, 0.000000, 64671547, 6462388, 0, 0
299, 0.000000, 64645545, 6461452, 0, 0
309, 0.000000, 64579364, 6453845, 0, 0
319, 0.000000, 64765373, 6478447, 0, 0
329, 0.000000, 64799734, 6468144, 0, 0
339, 0.000000, 65047394, 6530503, 0, 0
349, 0.000000, 65272990, 6518633, 0, 0
359, 0.000000, 65147905, 6545157, 0, 0
369, 0.000000, 65481155, 6542385, 0, 0
379, 0.000000, 65443750, 6540862, 0, 0
389, 0.000000, 65430950, 6553666, 0, 0
399, 0.000000, 65855133, 6585313, 0, 0
409, 0.000000, 65772919, 6571413, 0, 0
419, 0.000000, 65832553, 6614883, 0, 0
429, 0.000000, 66121867, 6606448, 0, 0
439, 0.000000, 66262794, 6653045, 0, 0
449, 0.000000, 66487248, 6642998, 0, 0
459, 0.000000, 66578825, 6690100, 0, 0
469, 0.000000, 66923588, 6689387, 0, 0
479, 0.000000, 66859973, 6683597, 0, 0
489, 0.000000, 67007501, 6732976, 0, 0
499, 0.000000, 67301999, 6726714, 0, 0
509, 0.000000, 67095593, 6704345, 0, 0
519, 0.000000, 67399746, 6754071, 0, 0
529, 0.000000, 67439798, 6692012, 0, 0
539, 0.000000, 67528159, 6791226, 0, 0
549, 0.000000, 67903631, 6782130, 0, 0
559, 0.000000, 67780473, 6774906, 0, 0
569, 0.000000, 67727761, 6768110, 0, 0
579, 0.000000, 67696806, 6762361, 0, 0
589, 0.000000, 67635319, 6760656, 0, 0
599, 0.000000, 67458161, 6713603, 0, 0
609, 0.000000, 67105150, 6707095, 0, 0
619, 0.000000, 66602244, 6642330, 0, 0
629, 0.000000, 66430782, 6637813, 0, 0
639, 0.000000, 67161439, 6737036, 0, 0
649, 0.000000, 67346711, 6724116, 0, 0
659, 0.000000, 67394462, 6722530, 0, 0
669, 0.000000, 67296847, 6767839, 0, 0
679, 0.000000, 67645621, 6758462, 0, 0
689, 0.000000, 67433485, 6734367, 0, 0
699, 0.000000, 67476573, 6806777, 0, 0
709, 0.000000, 68029690, 6799553, 0, 0
719, 0.000000, 67903800, 6784744, 0, 0
729, 0.000000, 68181155, 6843183, 0, 0
739, 0.000000, 68406882, 6834457, 0, 0
749, 0.000000, 68586982, 6878569, 0, 0
759, 0.000000, 68759793, 6869725, 0, 0
769, 0.000000, 68560726, 6849921, 0, 0
779, 0.000000, 68517986, 6847629, 0, 0
789, 0.000000, 68464603, 6844180, 0, 0
799, 0.000000, 68223306, 6802758, 0, 0
809, 0.000000, 68008541, 6795329, 0, 0
819, 0.000000, 68173694, 6842572, 0, 0
829, 0.000000, 68382342, 6836590, 0, 0
839, 0.000000, 68634012, 6875528, 0, 0
849, 0.000000, 68602929, 6811908, 0, 0
859, 0.000000, 68064446, 6805556, 0, 0
869, 0.000000, 68101932, 6858127, 0, 0
879, 0.000000, 68578988, 6853232, 0, 0
889, 0.000000, 68656326, 6910936, 0, 0
899, 0.000000, 69089130, 6901109, 0, 0
909, 0.000000, 69276952, 6941562, 0, 0
919, 0.000000, 69369610, 6918876, 0, 0
929, 0.000000, 69823173, 6984180, 0, 0
939, 0.000000, 69476067, 6910615, 0, 0
949, 0.000000, 70254710, 7030081, 0, 0
959, 0.000000, 70166627, 7001429, 0, 0
969, 0.000000, 70009770, 6998892, 0, 0
979, 0.000000, 69935454, 6992432, 0, 0
989, 0.000000, 69844797, 6942549, 0, 0
999, 0.000000, 68943055, 6890910, 0, 0
1009, 0.000000, 68784520, 6867503, 0, 0
1019, 0.000000, 68488185, 6833438, 0, 0
1029, 0.000000, 68338190, 6817782, 0, 0
1039, 0.000000, 68092118, 6717372, 0, 0
1049, 0.000000, 66853224, 6712158, 0, 0
1059, 0.000000, 67183836, 6752492, 0, 0
1069, 0.000000, 67509945, 6744524, 0, 0
1079, 0.000000, 67521129, 6803531, 0, 0
1089, 0.000000, 68029279, 6799431, 0, 0
