Step, Coverage [%], Step time [ns], Transition time [ns], Find ac time [ns]
9, 0.000000, 16417149, 253639, 0, 0
19, 0.000000, 2536026, 253877, 0, 0
29, 0.000000, 2533125, 253284, 0, 0
39, 0.000000, 2531960, 253076, 0, 0
49, 0.000000, 2529976, 252680, 0, 0
59, 0.000000, 2527672, 251168, 0, 0
69, 0.000000, 2524458, 251667, 0, 0
79, 0.000000, 2522990, 253109, 0, 0
89, 0.000000, 2524591, 252624, 0, 0
99, 0.000000, 2523033, 252694, 0, 0
109, 0.000000, 2519759, 252032, 0, 0
119, 0.000000, 2521316, 253098, 0, 0
129, 0.000000, 2516285, 252792, 0, 0
139, 0.000000, 2511187, 249786, 0, 0
149, 0.000000, 2514302, 252105, 0, 0
159, 0.000000, 2514060, 250046, 0, 0
169, 0.000000, 2510337, 250883, 0, 0
179, 0.000000, 2500605, 250057, 0, 0
189, 0.000000, 2506204, 249253, 0, 0
199, 0.000000, 2500893, 249387, 0, 0
209, 0.000000, 2494584, 248763, 0, 0
219, 0.000000, 2496191, 250792, 0, 0
229, 0.000000, 2499420, 250769, 0, 0
239, 0.000000, 2495589, 250186, 0, 0
249, 0.000000, 2496113, 250339, 0, 0
259, 0.000000, 2495547, 250523, 0, 0
269, 0.000000, 2494553, 250866, 0, 0
279, 0.000000, 2489114, 250224, 0, 0
289, 0.000000, 2483064, 246537, 0, 0
299, 0.000000, 2478589, 248084, 0, 0
309, 0.000000, 2481547, 247023, 0, 0
319, 0.000000, 2476414, 248034, 0, 0
329, 0.000000, 2477590, 247587, 0, 0
339, 0.000000, 2472821, 248265, 0, 0
349, 0.000000, 2480475, 247536, 0, 0
359, 0.000000, 2467743, 246518, 0, 0
369, 0.000000, 2470757, 247879, 0, 0
379, 0.000000, 2467541, 247336, 0, 0
389, 0.000000, 2464972, 247675, 0, 0
399, 0.000000, 2460856, 246352, 0, 0
409, 0.000000, 2460891, 244717, 0, 0
419, 0.000000, 2458033, 245960, 0, 0
429, 0.000000, 2459190, 246854, 0, 0
439, 0.000000, 2459159, 244735, 0, 0
449, 0.000000, 2453515, 245039, 0, 0
459, 0.000000, 2453591, 246811, 0, 0
469, 0.000000, 2448940, 243991, 0, 0
479, 0.000000, 2450015, 245225, 0, 0
489, 0.000000, 2443614, 244507, 0, 0
499, 0.000000, 2444989, 244590, 0, 0
509, 0.000000, 2445166, 244634, 0, 0
519, 0.000000, 2443562, 245288, 0, 0
529, 0.000000, 2438306, 244817, 0, 0
539, 0.000000, 2436173, 243541, 0, 0
549, 0.000000, 2434850, 242774, 0, 0
559, 0.000000, 2432690, 244077, 0, 0
569, 0.000000, 2433865, 242178, 0, 0
579, 0.000000, 2247713, 218758, 0, 0
589, 0.000000, 2213423, 221605, 0, 0
599, 0.000000, 2210786, 222227, 0, 0
609, 0.000000, 2202037, 220255, 0, 0
619, 0.000000, 2204279, 222173, 0, 0
629, 0.000000, 2206250, 220578, 0, 0
639, 0.000000, 2199824, 220623, 0, 0
649, 0.000000, 2198824, 221423, 0, 0
659, 0.000000, 2197669, 220227, 0, 0
669, 0.000000, 2200405, 219874, 0, 0
679, 0.000000, 2196407, 219351, 0, 0
689, 0.000000, 2201586, 219607, 0, 0
699, 0.000000, 2194209, 220399, 0, 0
709, 0.000000, 2193422, 218472, 0, 0
719, 0.000000, 2192108, 217214, 0, 0
729, 0.000000, 2191142, 218175, 0, 0
739, 0.000000, 2188569, 218937, 0, 0
749, 0.000000, 2189697, 219704, 0, 0
759, 0.000000, 2192274, 220653, 0, 0
769, 0.000000, 2183728, 217417, 0, 0
779, 0.000000, 2179329, 218139, 0, 0
789, 0.000000, 2185898, 219663, 0, 0
799, 0.000000, 2185368, 218962, 0, 0
809, 0.000000, 2181844, 217292, 0, 0
819, 0.000000, 2179625, 216978, 0, 0
829, 0.000000, 2175785, 216545, 0, 0
839, 0.000000, 2174784, 217893, 0, 0
849, 0.000000, 2175031, 218465, 0, 0
859, 0.000000, 2174568, 217676, 0, 0
869, 0.000000, 2164571, 216318, 0, 0
879, 0.000000, 2161480, 215884, 0, 0
889, 0.000000, 2165782, 217911, 0, 0
899, 0.000000, 2164338, 216634, 0, 0
909, 0.000000, 2163723, 218009, 0, 0
919, 0.000000, 2161490, 215220, 0, 0
929, 0.000000, 2160497, 215412, 0, 0
939, 0.000000, 2160598, 215710, 0, 0
949, 0.000000, 2155629, 215269, 0, 0
959, 0.000000, 2156352, 215497, 0, 0
969, 0.000000, 2151877, 216164, 0, 0
979, 0.000000, 2150838, 216589, 0, 0
989, 0.000000, 2150603, 215983, 0, 0
999, 0.000000, 2143813, 213630, 0, 0
1009, 0.000000, 2142520, 213885, 0, 0
1019, 0.000000, 2144157, 214022, 0, 0
1029, 0.000000, 2140433, 214743, 0, 0
1039, 0.000000, 2137526, 211530, 0, 0
1049, 0.000000, 2125263, 211873, 0, 0
1059, 0.000000, 2121325, 211114, 0, 0
1069, 0.000000, 2121481, 212960, 0, 0
1079, 0.000000, 2117576, 210919, 0, 0
1089, 0.000000, 2111775, 212047, 0, 0
1099, 0.000000, 2113030, 210659, 0, 0
1109, 0.000000, 2106787, 210284, 0, 0
1119, 0.000000, 2109071, 211379, 0, 0
1129, 0.000000, 2109773, 209701, 0, 0
1139, 0.000000, 2110602, 211089, 0, 0
1149, 0.000000, 2109700, 210963, 0, 0
1159, 0.000000, 2098201, 209818, 0, 0
1169, 0.000000, 2104783, 209511, 0, 0
1179, 0.000000, 2097063, 209053, 0, 0
1189, 0.000000, 2096428, 210254, 0, 0
1199, 0.000000, 2104133, 210281, 0, 0
1209, 0.000000, 2095729, 210534, 0, 0
1219, 0.000000, 2092516, 209910, 0, 0
1229, 0.000000, 2094957, 208222, 0, 0
1239, 0.000000, 2090663, 209094, 0, 0
1249, 0.000000, 2093220, 209730, 0, 0
1259, 0.000000, 2086246, 209068, 0, 0
1269, 0.000000, 2086441, 208160, 0, 0
1279, 0.000000, 2083538, 207448, 0, 0
1289, 0.000000, 2081523, 208377, 0, 0
1299, 0.000000, 2081364, 207865, 0, 0
1309, 0.000000, 2077072, 206849, 0, 0
1319, 0.000000, 2080295, 208068, 0, 0
1329, 0.000000, 2078421, 207378, 0, 0
1339, 0.000000, 2067686, 206581, 0, 0
1349, 0.000000, 2067934, 207340, 0, 0
1359, 0.000000, 2074177, 207054, 0, 0
1369, 0.000000, 2068331, 207678, 0, 0
1379, 0.000000, 2070392, 207280, 0, 0
1389, 0.000000, 2066203, 204678, 0, 0
1399, 0.000000, 1940211, 189686, 0, 0
1409, 0.000000, 1894925, 189189, 0, 0
1419, 0.000000, 1899477, 189774, 0, 0
1429, 0.000000, 1900191, 189983, 0, 0
1439, 0.000000, 1896697, 188889, 0, 0
1449, 0.000000, 1889366, 189363, 0, 0
1459, 0.000000, 1890852, 188485, 0, 0
1469, 0.000000, 1892467, 189058, 0, 0
1479, 0.000000, 1888996, 188965, 0, 0
1489, 0.000000, 1886591, 188064, 0, 0
1499, 0.000000, 1892351, 187175, 0, 0
1509, 0.000000, 1889947, 189397, 0, 0
1519, 0.000000, 1888933, 188161, 0, 0
1529, 0.000000, 1881421, 188514, 0, 0
1539, 0.000000, 1879849, 187176, 0, 0
1549, 0.000000, 1885928, 188347, 0, 0
1559, 0.000000, 1881633, 189022, 0, 0
1569, 0.000000, 1882186, 186019, 0, 0
1579, 0.000000, 1882393, 189173, 0, 0
1589, 0.000000, 1879734, 188570, 0, 0
1599, 0.000000, 1872738, 188209, 0, 0
1609, 0.000000, 1876031, 188381, 0, 0
1619, 0.000000, 1871277, 186321, 0, 0
1629, 0.000000, 1869571, 186105, 0, 0
1639, 0.000000, 1871074, 187365, 0, 0
1649, 0.000000, 1867743, 186082, 0, 0
1659, 0.000000, 1865896, 187340, 0, 0
1669, 0.000000, 1861784, 185521, 0, 0
1679, 0.000000, 1863272, 187008, 0, 0
1689, 0.000000, 1864320, 186520, 0, 0
1699, 0.000000, 1865165, 186570, 0, 0
1709, 0.000000, 1863403, 185050, 0, 0
1719, 0.000000, 1859648, 186926, 0, 0
1729, 0.000000, 1858642, 185396, 0, 0
1739, 0.000000, 1859473, 186242, 0, 0
1749, 0.000000, 1851430, 186512, 0, 0
1759, 0.000000, 1855575, 185445, 0, 0
1769, 0.000000, 1853639, 185998, 0, 0
1779, 0.000000, 1853167, 185579, 0, 0
1789, 0.000000, 1848412, 184770, 0, 0
1799, 0.000000, 1849894, 186179, 0, 0
1809, 0.000000, 1846263, 185558, 0, 0
1819, 0.000000, 1845867, 185215, 0, 0
1829, 0.000000, 1844180, 183981, 0, 0
1839, 0.000000, 1838632, 184635, 0, 0
1849, 0.000000, 1841675, 183936, 0, 0
1859, 0.000000, 1840037, 183163, 0, 0
1869, 0.000000, 1839655, 183564, 0, 0
1879, 0.000000, 1836227, 184290, 0, 0
1889, 0.000000, 1836046, 182764, 0, 0
1899, 0.000000, 1837346, 183708, 0, 0
1909, 0.000000, 1829500, 182143, 0, 0
1919, 0.000000, 1832368, 182755, 0, 0
1929, 0.000000, 1828471, 182767, 0, 0
1939, 0.000000, 1822650, 181792, 0, 0
1949, 0.000000, 1821481, 182556, 0, 0
1959, 0.000000, 1816423, 181732, 0, 0
1969, 0.000000, 1820587, 180092, 0, 0
1979, 0.000000, 1818856, 180267, 0, 0
1989, 0.000000, 1816262, 182167, 0, 0
1999, 0.000000, 1813789, 181976, 0, 0
2009, 0.000000, 1812256, 181185, 0, 0
2019, 0.000000, 1811137, 181010, 0, 0
2029, 0.000000, 1805469, 180178, 0, 0
2039, 0.000000, 1810885, 180918, 0, 0
2049, 0.000000, 1803566, 180202, 0, 0
2059, 0.000000, 1805594, 181408, 0, 0
2069, 0.000000, 1806295, 180994, 0, 0
2079, 0.000000, 1803779, 180191, 0, 0
2089, 0.000000, 1799646, 179753, 0, 0
2099, 0.000000, 1797412, 179863, 0, 0
2109, 0.000000, 1796264, 180190, 0, 0
2119, 0.000000, 1796784, 180150, 0, 0
2129, 0.000000, 1796942, 178790, 0, 0
2139, 0.000000, 1796116, 179825, 0, 0
2149, 0.000000, 1793652, 179880, 0, 0
2159, 0.000000, 1785261, 177186, 0, 0
2169, 0.000000, 1789193, 178121, 0, 0
2179, 0.000000, 1788403, 178214, 0, 0
2189, 0.000000, 1784905, 178698, 0, 0
2199, 0.000000, 1780695, 179327, 0, 0
2209, 0.000000, 1780201, 179036, 0, 0
2219, 0.000000, 1776257, 178747, 0, 0
2229, 0.000000, 1781290, 177825, 0, 0
2239, 0.000000, 1776193, 178343, 0, 0
2249, 0.000000, 1771926, 177074, 0, 0
2259, 0.000000, 1773480, 176364, 0, 0
2269, 0.000000, 1773714, 178314, 0, 0
2279, 0.000000, 1767510, 176208, 0, 0
2289, 0.000000, 1774877, 178113, 0, 0
2299, 0.000000, 1719147, 167182, 0, 0
2309, 0.000000, 1670942, 168370, 0, 0
2319, 0.000000, 1667879, 167858, 0, 0
2329, 0.000000, 1661143, 167583, 0, 0
2339, 0.000000, 1662280, 166380, 0, 0
2349, 0.000000, 1666592, 167616, 0, 0
2359, 0.000000, 1657249, 167237, 0, 0
2369, 0.000000, 1664915, 166663, 0, 0
2379, 0.000000, 1659998, 165076, 0, 0
2389, 0.000000, 1652586, 165048, 0, 0
2399, 0.000000, 1655538, 166438, 0, 0
2409, 0.000000, 1655756, 166887, 0, 0
2419, 0.000000, 1653606, 164863, 0, 0
2429, 0.000000, 1649914, 164808, 0, 0
2439, 0.000000, 1654928, 166347, 0, 0
2449, 0.000000, 1646511, 163411, 0, 0
2459, 0.000000, 1648686, 165485, 0, 0
2469, 0.000000, 1643951, 162952, 0, 0
2479, 0.000000, 1647487, 164510, 0, 0
2489, 0.000000, 1644879, 165722, 0, 0
2499, 0.000000, 1645377, 165246, 0, 0
2509, 0.000000, 1637781, 163089, 0, 0
2519, 0.000000, 1634835, 163839, 0, 0
2529, 0.000000, 1638282, 165423, 0, 0
2539, 0.000000, 1636032, 162926, 0, 0
2549, 0.000000, 1637388, 164620, 0, 0
2559, 0.000000, 1638219, 163895, 0, 0
2569, 0.000000, 1631687, 162652, 0, 0
2579, 0.000000, 1631679, 164284, 0, 0
2589, 0.000000, 1623664, 162593, 0, 0
2599, 0.000000, 1618459, 161330, 0, 0
2609, 0.000000, 1627451, 163772, 0, 0
2619, 0.000000, 1628383, 163515, 0, 0
2629, 0.000000, 1619882, 163282, 0, 0
2639, 0.000000, 1622897, 162932, 0, 0
2649, 0.000000, 1614917, 160811, 0, 0
2659, 0.000000, 1618570, 162398, 0, 0
2669, 0.000000, 1613564, 161968, 0, 0
2679, 0.000000, 1610701, 160654, 0, 0
2689, 0.000000, 1615019, 162463, 0, 0
2699, 0.000000, 1611288, 162472, 0, 0
2709, 0.000000, 1607476, 161972, 0, 0
2719, 0.000000, 1607644, 162103, 0, 0
2729, 0.000000, 1611857, 162047, 0, 0
2739, 0.000000, 1604904, 161917, 0, 0
2749, 0.000000, 1605749, 161187, 0, 0
2759, 0.000000, 1594948, 159578, 0, 0
2769, 0.000000, 1604837, 160303, 0, 0
2779, 0.000000, 1597004, 160574, 0, 0
2789, 0.000000, 1599243, 161066, 0, 0
2799, 0.000000, 1599728, 159096, 0, 0
2809, 0.000000, 1597291, 159798, 0, 0
2819, 0.000000, 1595347, 160520, 0, 0
2829, 0.000000, 1594762, 158790, 0, 0
2839, 0.000000, 1591715, 160474, 0, 0
2849, 0.000000, 1591773, 160231, 0, 0
2859, 0.000000, 1590805, 158636, 0, 0
2869, 0.000000, 1599110, 159962, 0, 0
2879, 0.000000, 1585135, 158568, 0, 0
2889, 0.000000, 1584029, 157759, 0, 0
2899, 0.000000, 1580901, 157930, 0, 0
2909, 0.000000, 1589567, 157836, 0, 0
2919, 0.000000, 1581193, 158814, 0, 0
2929, 0.000000, 1579933, 158828, 0, 0
2939, 0.000000, 1575039, 159595, 0, 0
2949, 0.000000, 1574638, 156495, 0, 0
2959, 0.000000, 1577328, 159190, 0, 0
2969, 0.000000, 1577662, 157126, 0, 0
2979, 0.000000, 1575058, 158709, 0, 0
2989, 0.000000, 1574054, 156888, 0, 0
2999, 0.000000, 1573978, 157757, 0, 0
3009, 0.000000, 1569111, 157000, 0, 0
3019, 0.000000, 1567180, 155515, 0, 0
3029, 0.000000, 1572747, 158894, 0, 0
3039, 0.000000, 1562732, 158491, 0, 0
3049, 0.000000, 1572068, 158946, 0, 0
3059, 0.000000, 1575008, 157384, 0, 0
3069, 0.000000, 1569814, 157221, 0, 0
3079, 0.000000, 1569690, 158069, 0, 0
3089, 0.000000, 1565128, 157389, 0, 0
3099, 0.000000, 1565838, 155313, 0, 0
3109, 0.000000, 1564687, 156216, 0, 0
3119, 0.000000, 1567801, 156089, 0, 0
3129, 0.000000, 1566742, 155971, 0, 0
3139, 0.000000, 1563466, 154452, 0, 0
3149, 0.000000, 1562185, 156376, 0, 0
3159, 0.000000, 1554813, 154999, 0, 0
3169, 0.000000, 1560743, 156479, 0, 0
3179, 0.000000, 1562213, 156539, 0, 0
3189, 0.000000, 1553690, 155566, 0, 0
3199, 0.000000, 1555978, 155890, 0, 0
3209, 0.000000, 1558452, 154667, 0, 0
3219, 0.000000, 1555776, 155417, 0, 0
3229, 0.000000, 1556141, 155024, 0, 0
3239, 0.000000, 1552290, 155627, 0, 0
3249, 0.000000, 1552826, 156237, 0, 0
3259, 0.000000, 1554709, 153974, 0, 0
3269, 0.000000, 1549812, 153186, 0, 0
3279, 0.000000, 1544203, 153524, 0, 0
3289, 0.000000, 1555781, 156213, 0, 0
3299, 0.000000, 1541192, 154426, 0, 0
3309, 0.000000, 1544599, 154153, 0, 0
3319, 0.000000, 1539982, 153727, 0, 0
3329, 0.000000, 1542126, 153681, 0, 0
3339, 0.000000, 1541088, 154134, 0, 0
3349, 0.000000, 1544068, 156296, 0, 0
3359, 0.000000, 1536418, 153037, 0, 0
3369, 0.000000, 1535871, 153350, 0, 0
3379, 0.000000, 1534856, 153498, 0, 0
3389, 0.000000, 1539610, 155025, 0, 0
3399, 0.000000, 1538426, 153770, 0, 0
3409, 0.000000, 1533494, 152866, 0, 0
3419, 0.000000, 1535954, 153659, 0, 0
3429, 0.000000, 1535886, 153372, 0, 0
3439, 0.000000, 1530236, 154203, 0, 0
3449, 0.000000, 1534158, 153759, 0, 0
3459, 0.000000, 1525853, 152721, 0, 0
3469, 0.000000, 1535185, 156138, 0, 0
3479, 0.000000, 1532109, 152270, 0, 0
3489, 0.000000, 1530219, 152885, 0, 0
3499, 0.000000, 1526154, 151934, 0, 0
3509, 0.000000, 1524333, 152897, 0, 0
3519, 0.000000, 1517615, 152172, 0, 0
3529, 0.000000, 1518062, 152316, 0, 0
3539, 0.000000, 1515873, 152715, 0, 0
3549, 0.000000, 1520249, 151531, 0, 0
3559, 0.000000, 1518502, 151404, 0, 0
3569, 0.000000, 1515125, 152238, 0, 0
3579, 0.000000, 1514274, 151996, 0, 0
3589, 0.000000, 1515563, 150911, 0, 0
3599, 0.000000, 1511846, 151604, 0, 0
3609, 0.000000, 1513573, 152114, 0, 0
3619, 0.000000, 1515355, 152449, 0, 0
3629, 0.000000, 1512739, 151353, 0, 0
3639, 0.000000, 1516996, 152020, 0, 0
3649, 0.000000, 1511960, 151496, 0, 0
3659, 0.000000, 1515225, 151220, 0, 0
3669, 0.000000, 1513218, 151364, 0, 0
3679, 0.000000, 1517054, 151036, 0, 0
3689, 0.000000, 1507370, 150590, 0, 0
3699, 0.000000, 1512446, 150525, 0, 0
3709, 0.000000, 1510973, 150781, 0, 0
3719, 0.000000, 1511170, 152468, 0, 0
3729, 0.000000, 1510248, 150516, 0, 0
3739, 0.000000, 1507006, 151478, 0, 0
3749, 0.000000, 1514938, 151620, 0, 0
3759, 0.000000, 1507760, 150976, 0, 0
3769, 0.000000, 1512846, 150716, 0, 0
3779, 0.000000, 1511943, 151516, 0, 0
3789, 0.000000, 1512872, 152711, 0, 0
3799, 0.000000, 1507546, 151629, 0, 0
3809, 0.000000, 1505919, 150515, 0, 0
3819, 0.000000, 1509078, 149940, 0, 0
3829, 0.000000, 1505921, 150668, 0, 0
3839, 0.000000, 1507034, 151993, 0, 0
3849, 0.000000, 1508983, 151083, 0, 0
3859, 0.000000, 1508880, 151718, 0, 0
3869, 0.000000, 1505853, 150473, 0, 0
3879, 0.000000, 1510398, 151042, 0, 0
3889, 0.000000, 1508411, 151012, 0, 0
3899, 0.000000, 1511167, 151512, 0, 0
3909, 0.000000, 1506646, 151087, 0, 0
3919, 0.000000, 1507575, 151367, 0, 0
3929, 0.000000, 1509945, 151075, 0, 0
3939, 0.000000, 1507417, 150663, 0, 0
3949, 0.000000, 1507997, 152101, 0, 0
3959, 0.000000, 1511694, 151772, 0, 0
3969, 0.000000, 1506579, 150966, 0, 0
3979, 0.000000, 1509970, 151139, 0, 0
3989, 0.000000, 1508004, 151163, 0, 0
3999, 0.000000, 1503286, 150035, 0, 0
4009, 0.000000, 1506205, 149464, 0, 0
4019, 0.000000, 1504789, 150661, 0, 0
4029, 0.000000, 1505670, 151575, 0, 0
4039, 0.000000, 1506350, 150603, 0, 0
4049, 0.000000, 1505493, 149866, 0, 0
4059, 0.000000, 1510396, 150975, 0, 0
4069, 0.000000, 1512419, 150930, 0, 0
4079, 0.000000, 1511804, 150949, 0, 0
4089, 0.000000, 1508800, 151502, 0, 0
4099, 0.000000, 1509787, 150673, 0, 0
4109, 0.000000, 1505773, 151076, 0, 0
4119, 0.000000, 1506353, 150625, 0, 0
4129, 0.000000, 1512807, 151866, 0, 0
4139, 0.000000, 1506157, 150669, 0, 0
4149, 0.000000, 1510379, 151172, 0, 0
4159, 0.000000, 1507348, 150788, 0, 0
4169, 0.000000, 1506774, 150873, 0, 0
4179, 0.000000, 1511206, 151010, 0, 0
4189, 0.000000, 1506130, 151442, 0, 0
4199, 0.000000, 1506216, 152556, 0, 0
4209, 0.000000, 1509903, 151881, 0, 0
4219, 0.000000, 1510208, 151325, 0, 0
4229, 0.000000, 1503381, 150948, 0, 0
4239, 0.000000, 1509546, 150828, 0, 0
4249, 0.000000, 1504230, 151147, 0, 0
4259, 0.000000, 1507830, 152161, 0, 0
4269, 0.000000, 1508471, 151398, 0, 0
4279, 0.000000, 1504870, 152245, 0, 0
4289, 0.000000, 1507313, 150981, 0, 0
4299, 0.000000, 1507673, 150165, 0, 0
4309, 0.000000, 1510739, 151272, 0, 0
4319, 0.000000, 1505603, 151593, 0, 0
4329, 0.000000, 1506419, 150735, 0, 0
4339, 0.000000, 1506370, 149966, 0, 0
4349, 0.000000, 1505834, 150770, 0, 0
4359, 0.000000, 1503545, 151584, 0, 0
4369, 0.000000, 1507978, 150950, 0, 0
4379, 0.000000, 1505401, 149686, 0, 0
4389, 0.000000, 1506332, 150994, 0, 0
4399, 0.000000, 1502481, 150413, 0, 0
4409, 0.000000, 1508880, 150721, 0, 0
4419, 0.000000, 1505722, 151903, 0, 0
4429, 0.000000, 1508565, 150303, 0, 0
4439, 0.000000, 1505779, 151798, 0, 0
4449, 0.000000, 1504015, 151361, 0, 0
4459, 0.000000, 1509006, 151802, 0, 0
4469, 0.000000, 1508411, 151521, 0, 0
4479, 0.000000, 1506718, 152228, 0, 0
4489, 0.000000, 1510939, 150230, 0, 0
4499, 0.000000, 1511346, 151905, 0, 0
