Step, Coverage [%], Step time [ns], Transition time [ns], Find ac time [ns]
9, 0.000000, 575182275, 10330716, 0, 0
19, 0.000000, 104124810, 10524134, 0, 0
29, 0.000000, 106213632, 10645540, 0, 0
39, 0.000000, 107316136, 10714347, 0, 0
49, 0.000000, 107341072, 10827461, 0, 0
59, 0.000000, 108341548, 10835177, 0, 0
69, 0.000000, 108862824, 10907515, 0, 0
79, 0.000000, 109051437, 10980596, 0, 0
89, 0.000000, 109713239, 10946608, 0, 0
99, 0.000000, 110169185, 11026295, 0, 0
109, 0.000000, 109932875, 11028379, 0, 0
119, 0.000000, 110941173, 11049743, 0, 0
129, 0.000000, 110886629, 11182995, 0, 0
139, 0.000000, 111776390, 11164819, 0, 0
149, 0.000000, 111921604, 11243920, 0, 0
159, 0.000000, 112571470, 11279551, 0, 0
169, 0.000000, 112655161, 11348045, 0, 0
179, 0.000000, 113697625, 11318290, 0, 0
189, 0.000000, 114052305, 11429102, 0, 0
199, 0.000000, 114627373, 11486326, 0, 0
209, 0.000000, 114956392, 11577208, 0, 0
219, 0.000000, 115456176, 11510437, 0, 0
229, 0.000000, 116518915, 11652716, 0, 0
239, 0.000000, 117107216, 11731101, 0, 0
249, 0.000000, 117787708, 11813858, 0, 0
259, 0.000000, 117797655, 11912827, 0, 0
269, 0.000000, 119222997, 11999426, 0, 0
279, 0.000000, 120181138, 12052562, 0, 0
289, 0.000000, 120674376, 12184600, 0, 0
299, 0.000000, 122149924, 12254434, 0, 0
309, 0.000000, 122833907, 12359792, 0, 0
319, 0.000000, 123819148, 12449744, 0, 0
329, 0.000000, 124965003, 12539896, 0, 0
339, 0.000000, 126833462, 12728808, 0, 0
349, 0.000000, 126665983, 12605008, 0, 0
359, 0.000000, 126150656, 12619068, 0, 0
369, 0.000000, 126017659, 12593584, 0, 0
379, 0.000000, 125894218, 12580917, 0, 0
389, 0.000000, 125644437, 12452710, 0, 0
399, 0.000000, 124151274, 12342394, 0, 0
409, 0.000000, 124080522, 12436598, 0, 0
419, 0.000000, 125832495, 12643988, 0, 0
429, 0.000000, 126035018, 12523615, 0, 0
439, 0.000000, 125292292, 12508466, 0, 0
449, 0.000000, 125120900, 12510568, 0, 0
459, 0.000000, 125062889, 12493635, 0, 0
469, 0.000000, 124995478, 12498345, 0, 0
479, 0.000000, 124892824, 12473235, 0, 0
489, 0.000000, 124755471, 12470374, 0, 0
499, 0.000000, 123907411, 12258424, 0, 0
509, 0.000000, 122443646, 12226604, 0, 0
519, 0.000000, 122261230, 12275457, 0, 0
529, 0.000000, 123664292, 12441967, 0, 0
539, 0.000000, 125013151, 12510790, 0, 0
549, 0.000000, 124141559, 12392654, 0, 0
559, 0.000000, 124011968, 12397095, 0, 0
569, 0.000000, 123972168, 12397852, 0, 0
579, 0.000000, 123771670, 12370842, 0, 0
589, 0.000000, 123675815, 12351655, 0, 0
599, 0.000000, 121885168, 12147715, 0, 0
609, 0.000000, 121264334, 12123709, 0, 0
619, 0.000000, 121135864, 12106828, 0, 0
629, 0.000000, 121048570, 12110843, 0, 0
639, 0.000000, 120892830, 12085638, 0, 0
649, 0.000000, 120791897, 12082451, 0, 0
659, 0.000000, 120711738, 12067952, 0, 0
669, 0.000000, 120627020, 12058510, 0, 0
679, 0.000000, 121851144, 12278032, 0, 0
689, 0.000000, 123277557, 12353818, 0, 0
699, 0.000000, 122656997, 12254998, 0, 0
709, 0.000000, 122386598, 12236184, 0, 0
719, 0.000000, 122282737, 12226911, 0, 0
729, 0.000000, 122162528, 12212329, 0, 0
739, 0.000000, 122049347, 12202367, 0, 0
749, 0.000000, 121959112, 12184724, 0, 0
759, 0.000000, 121819158, 12169906, 0, 0
769, 0.000000, 121691002, 12157692, 0, 0
779, 0.000000, 121606012, 12148796, 0, 0
789, 0.000000, 121521029, 12148361, 0, 0
799, 0.000000, 121447359, 12154619, 0, 0
809, 0.000000, 122111518, 12220105, 0, 0
819, 0.000000, 121251556, 12111339, 0, 0
829, 0.000000, 121066562, 12099510, 0, 0
839, 0.000000, 120981609, 12083746, 0, 0
849, 0.000000, 120860759, 12083702, 0, 0
859, 0.000000, 119956188, 11951800, 0, 0
869, 0.000000, 118728060, 11848888, 0, 0
879, 0.000000, 118518732, 11832744, 0, 0
889, 0.000000, 116732272, 11645576, 0, 0
899, 0.000000, 117399453, 11775076, 0, 0
909, 0.000000, 118208636, 11800534, 0, 0
919, 0.000000, 118821898, 11806966, 0, 0
929, 0.000000, 117929668, 11788395, 0, 0
939, 0.000000, 120064216, 11999722, 0, 0
949, 0.000000, 119812728, 11966067, 0, 0
959, 0.000000, 118302284, 11836104, 0, 0
969, 0.000000, 120077700, 12051565, 0, 0
979, 0.000000, 119789290, 11945220, 0, 0
989, 0.000000, 119393496, 11936595, 0, 0
999, 0.000000, 119340425, 11919271, 0, 0
1009, 0.000000, 119233766, 11915363, 0, 0
1019, 0.000000, 119113602, 11891250, 0, 0
1029, 0.000000, 119011535, 11894886, 0, 0
1039, 0.000000, 118922337, 11876866, 0, 0
1049, 0.000000, 118800480, 11868606, 0, 0
1059, 0.000000, 118728130, 11863670, 0, 0
1069, 0.000000, 118595178, 11856975, 0, 0
1079, 0.000000, 118489538, 11842637, 0, 0
1089, 0.000000, 118387501, 11836641, 0, 0
1099, 0.000000, 118269489, 11817443, 0, 0
1109, 0.000000, 118219636, 11813354, 0, 0
1119, 0.000000, 118071034, 11802284, 0, 0
1129, 0.000000, 117979931, 11789612, 0, 0
1139, 0.000000, 117855318, 11782755, 0, 0
1149, 0.000000, 117785484, 11771567, 0, 0
1159, 0.000000, 116465149, 11559392, 0, 0
1169, 0.000000, 115467898, 11536087, 0, 0
1179, 0.000000, 117557470, 11824290, 0, 0
1189, 0.000000, 117912489, 11732596, 0, 0
1199, 0.000000, 117238363, 11713664, 0, 0
1209, 0.000000, 117179128, 11721980, 0, 0
1219, 0.000000, 117135260, 11697416, 0, 0
1229, 0.000000, 116926151, 11683654, 0, 0
1239, 0.000000, 116834616, 11669815, 0, 0
1249, 0.000000, 116741953, 11665428, 0, 0
1259, 0.000000, 116613223, 11651621, 0, 0
1269, 0.000000, 116786607, 11733925, 0, 0
1279, 0.000000, 116963405, 11632940, 0, 0
1289, 0.000000, 116274432, 11620987, 0, 0
1299, 0.000000, 116189088, 11619738, 0, 0
1309, 0.000000, 116118278, 11602035, 0, 0
1319, 0.000000, 115972115, 11595790, 0, 0
1329, 0.000000, 115870165, 11583446, 0, 0
1339, 0.000000, 115744471, 11568190, 0, 0
1349, 0.000000, 115653319, 11555981, 0, 0
1359, 0.000000, 115564420, 11550575, 0, 0
1369, 0.000000, 115429044, 11535673, 0, 0
1379, 0.000000, 115375759, 11526191, 0, 0
1389, 0.000000, 115283907, 11515679, 0, 0
1399, 0.000000, 115150023, 11508572, 0, 0
1409, 0.000000, 115009083, 11497277, 0, 0
1419, 0.000000, 114928882, 11487122, 0, 0
1429, 0.000000, 114790460, 11470187, 0, 0
1439, 0.000000, 114701186, 11461981, 0, 0
1449, 0.000000, 114624177, 11460655, 0, 0
1459, 0.000000, 114499728, 11440920, 0, 0
1469, 0.000000, 114396525, 11442953, 0, 0
1479, 0.000000, 114277178, 11427223, 0, 0
1489, 0.000000, 114213638, 11408833, 0, 0
