Step, Coverage [%], Step time [ns], Transition time [ns], Find ac time [ns]
9, 0.000000, 3101861918, 253012100, 0, 0
19, 0.000000, 2530673779, 253100293, 0, 0
29, 0.000000, 2530513522, 252992219, 0, 0
39, 0.000000, 2530232590, 253041787, 0, 0
49, 0.000000, 2553484443, 256082268, 0, 0
59, 0.000000, 2599825194, 262084316, 0, 0
69, 0.000000, 2649873625, 268068812, 0, 0
79, 0.000000, 2673757769, 268238348, 0, 0
89, 0.000000, 2706454983, 275518610, 0, 0
99, 0.000000, 2718236017, 268231562, 0, 0
109, 0.000000, 2721738177, 275945236, 0, 0
119, 0.000000, 2694174847, 270207951, 0, 0
129, 0.000000, 2726432993, 275593261, 0, 0
139, 0.000000, 2716359840, 266458066, 0, 0
149, 0.000000, 2691024522, 264408593, 0, 0
159, 0.000000, 2707314592, 272549958, 0, 0
169, 0.000000, 2722604970, 261718742, 0, 0
179, 0.000000, 2689054938, 267343079, 0, 0
189, 0.000000, 2722600282, 279039159, 0, 0
199, 0.000000, 2682629366, 274128325, 0, 0
209, 0.000000, 2709087288, 269291817, 0, 0
219, 0.000000, 2717715206, 276144849, 0, 0
229, 0.000000, 2709076053, 274539943, 0, 0
239, 0.000000, 2713857248, 272559520, 0, 0
249, 0.000000, 2725010515, 270674096, 0, 0
259, 0.000000, 2724591295, 267780875, 0, 0
269, 0.000000, 2707959094, 275185020, 0, 0
279, 0.000000, 2699570112, 270795601, 0, 0
289, 0.000000, 2717838881, 265450891, 0, 0
299, 0.000000, 2733787061, 276950822, 0, 0
309, 0.000000, 2722433860, 262342184, 0, 0
319, 0.000000, 2706772738, 262764681, 0, 0
329, 0.000000, 2700393622, 267904509, 0, 0
339, 0.000000, 2709244205, 264916425, 0, 0
349, 0.000000, 2702372629, 264846101, 0, 0
359, 0.000000, 2690559973, 270034559, 0, 0
369, 0.000000, 2713170389, 269912131, 0, 0
379, 0.000000, 2699348461, 273891989, 0, 0
389, 0.000000, 2717077517, 278123276, 0, 0
399, 0.000000, 2694664539, 273098486, 0, 0
409, 0.000000, 2714934407, 268209984, 0, 0
419, 0.000000, 2713827814, 273364471, 0, 0
429, 0.000000, 2723583751, 270012513, 0, 0
439, 0.000000, 2736742513, 274198544, 0, 0
449, 0.000000, 2739378090, 274068959, 0, 0
459, 0.000000, 2711099269, 277421280, 0, 0
469, 0.000000, 2716069725, 270014897, 0, 0
479, 0.000000, 2675482795, 267916329, 0, 0
