Step, Coverage [%], Step time [ns], Transition time [ns], Find ac time [ns]
9, 0.000000, 2187834433, 178893627, 0, 0
19, 0.000000, 1789054122, 178895562, 0, 0
29, 0.000000, 1789122272, 178896137, 0, 0
39, 0.000000, 1788943241, 178921261, 0, 0
49, 0.000000, 1788961824, 178902066, 0, 0
59, 0.000000, 1789022641, 178899832, 0, 0
69, 0.000000, 1788915860, 178893819, 0, 0
79, 0.000000, 1794784247, 182072525, 0, 0
89, 0.000000, 1812032382, 183086960, 0, 0
99, 0.000000, 1845507053, 188413794, 0, 0
109, 0.000000, 1849241484, 187509247, 0, 0
119, 0.000000, 1872470305, 188958710, 0, 0
129, 0.000000, 1859504143, 190077290, 0, 0
139, 0.000000, 1875822604, 187691546, 0, 0
149, 0.000000, 1888037681, 184927406, 0, 0
159, 0.000000, 1874366654, 189645107, 0, 0
169, 0.000000, 1861475379, 190383714, 0, 0
179, 0.000000, 1870381731, 188977206, 0, 0
189, 0.000000, 1867184989, 188267430, 0, 0
199, 0.000000, 1871571107, 189335092, 0, 0
209, 0.000000, 1851746117, 189405080, 0, 0
219, 0.000000, 1887193528, 190027977, 0, 0
229, 0.000000, 1896971043, 186548793, 0, 0
239, 0.000000, 1882135638, 184645538, 0, 0
249, 0.000000, 1860893821, 189553469, 0, 0
259, 0.000000, 1892325337, 189553623, 0, 0
269, 0.000000, 1883387580, 189291557, 0, 0
279, 0.000000, 1852141937, 183212339, 0, 0
289, 0.000000, 1876059034, 189641842, 0, 0
299, 0.000000, 1865931648, 186487285, 0, 0
309, 0.000000, 1881016759, 187713983, 0, 0
319, 0.000000, 1874858106, 184229707, 0, 0
329, 0.000000, 1880703831, 190322957, 0, 0
339, 0.000000, 1855002345, 184553703, 0, 0
349, 0.000000, 1857153704, 186184636, 0, 0
359, 0.000000, 1886479684, 192938121, 0, 0
369, 0.000000, 1883565840, 188639384, 0, 0
379, 0.000000, 1863040321, 188273289, 0, 0
389, 0.000000, 1890023286, 183925530, 0, 0
399, 0.000000, 1894946234, 183419514, 0, 0
409, 0.000000, 1903993410, 188788423, 0, 0
419, 0.000000, 1865399534, 186824156, 0, 0
429, 0.000000, 1891990493, 189545712, 0, 0
439, 0.000000, 1861822613, 187353129, 0, 0
449, 0.000000, 1867051491, 184766049, 0, 0
459, 0.000000, 1883754102, 184291337, 0, 0
469, 0.000000, 1871989048, 184259508, 0, 0
479, 0.000000, 1897511587, 192262802, 0, 0
489, 0.000000, 1875909086, 187669216, 0, 0
499, 0.000000, 1873462531, 187792846, 0, 0
509, 0.000000, 1890798056, 190020436, 0, 0
519, 0.000000, 1888060660, 190716978, 0, 0
529, 0.000000, 1899228638, 189859926, 0, 0
539, 0.000000, 1911664679, 191929230, 0, 0
549, 0.000000, 1878486786, 193459163, 0, 0
559, 0.000000, 1889990067, 191714274, 0, 0
569, 0.000000, 1889197945, 187505722, 0, 0
579, 0.000000, 1869657824, 189387855, 0, 0
589, 0.000000, 1883591687, 186510821, 0, 0
599, 0.000000, 1894352036, 183364154, 0, 0
609, 0.000000, 1881214895, 190140107, 0, 0
619, 0.000000, 1877295660, 191285258, 0, 0
629, 0.000000, 1890553925, 188699544, 0, 0
639, 0.000000, 1873192761, 184789880, 0, 0
649, 0.000000, 1873837494, 193004710, 0, 0
659, 0.000000, 1892574953, 188112049, 0, 0
669, 0.000000, 1857779695, 188396540, 0, 0
679, 0.000000, 1879828031, 189127747, 0, 0
689, 0.000000, 1885872006, 183801749, 0, 0
699, 0.000000, 1886738802, 186720797, 0, 0
709, 0.000000, 1891938323, 193335995, 0, 0
719, 0.000000, 1872843945, 190630094, 0, 0
729, 0.000000, 1872033945, 182879274, 0, 0
739, 0.000000, 1889987778, 194184245, 0, 0
749, 0.000000, 1886816601, 190723915, 0, 0
