Step, Coverage [%], Step time [ns], Transition time [ns], Find ac time [ns]
9, 0.000000, 796473233, 61503490, 0, 0
19, 0.000000, 615046959, 61500404, 0, 0
29, 0.000000, 615040882, 61495510, 0, 0
39, 0.000000, 615911835, 61831718, 0, 0
49, 0.000000, 630618261, 64077098, 0, 0
59, 0.000000, 651336556, 66195057, 0, 0
69, 0.000000, 671890007, 67479990, 0, 0
79, 0.000000, 679594752, 67761873, 0, 0
89, 0.000000, 675816046, 67500765, 0, 0
99, 0.000000, 679943765, 68562634, 0, 0
109, 0.000000, 682684403, 69406690, 0, 0
119, 0.000000, 703015798, 70157373, 0, 0
129, 0.000000, 701756852, 71550037, 0, 0
139, 0.000000, 717840462, 71765257, 0, 0
149, 0.000000, 710908790, 69823270, 0, 0
159, 0.000000, 695281209, 68503069, 0, 0
169, 0.000000, 700466983, 71755926, 0, 0
179, 0.000000, 705972715, 71175354, 0, 0
189, 0.000000, 724263189, 73003856, 0, 0
199, 0.000000, 707123280, 69815790, 0, 0
209, 0.000000, 715062912, 73927594, 0, 0
219, 0.000000, 756166023, 76535458, 0, 0
229, 0.000000, 724161836, 69812975, 0, 0
239, 0.000000, 702421213, 71190785, 0, 0
249, 0.000000, 725751304, 74013975, 0, 0
259, 0.000000, 764460075, 76842300, 0, 0
269, 0.000000, 724740923, 70004842, 0, 0
279, 0.000000, 720197531, 73907515, 0, 0
289, 0.000000, 732113641, 72812071, 0, 0
299, 0.000000, 721485527, 69993774, 0, 0
309, 0.000000, 717865740, 72875134, 0, 0
319, 0.000000, 716563675, 71463096, 0, 0
329, 0.000000, 718959199, 72948764, 0, 0
339, 0.000000, 723592557, 71736997, 0, 0
349, 0.000000, 736062353, 72909269, 0, 0
359, 0.000000, 728360744, 72831707, 0, 0
369, 0.000000, 739804522, 73908178, 0, 0
379, 0.000000, 748574543, 76551784, 0, 0
389, 0.000000, 754094063, 71716600, 0, 0
399, 0.000000, 698244663, 69940407, 0, 0
409, 0.000000, 729719175, 75339481, 0, 0
419, 0.000000, 753916621, 73904583, 0, 0
429, 0.000000, 728303962, 73889649, 0, 0
439, 0.000000, 751530696, 75313802, 0, 0
449, 0.000000, 739043096, 74699634, 0, 0
459, 0.000000, 755504743, 74197958, 0, 0
469, 0.000000, 715261969, 69965094, 0, 0
479, 0.000000, 717960670, 73895258, 0, 0
489, 0.000000, 734122380, 72828502, 0, 0
499, 0.000000, 723196293, 72984024, 0, 0
509, 0.000000, 748528141, 75354892, 0, 0
519, 0.000000, 733146518, 70109989, 0, 0
529, 0.000000, 717086320, 73880282, 0, 0
539, 0.000000, 758995939, 76843535, 0, 0
549, 0.000000, 733778895, 71430343, 0, 0
559, 0.000000, 729075332, 73831396, 0, 0
569, 0.000000, 747792743, 73905823, 0, 0
579, 0.000000, 759124217, 76557208, 0, 0
589, 0.000000, 743289022, 73880026, 0, 0
599, 0.000000, 729085313, 73751715, 0, 0
609, 0.000000, 749178093, 76502046, 0, 0
619, 0.000000, 743918476, 69970689, 0, 0
629, 0.000000, 716803090, 73862412, 0, 0
639, 0.000000, 746644332, 75334454, 0, 0
649, 0.000000, 728597917, 71157971, 0, 0
659, 0.000000, 725315050, 73855910, 0, 0
669, 0.000000, 742937935, 71935206, 0, 0
679, 0.000000, 709153458, 71689341, 0, 0
689, 0.000000, 753454528, 77074806, 0, 0
699, 0.000000, 763332713, 71748365, 0, 0
709, 0.000000, 720476680, 73887152, 0, 0
719, 0.000000, 738578275, 73530311, 0, 0
729, 0.000000, 722272040, 73557003, 0, 0
739, 0.000000, 751199881, 75330866, 0, 0
749, 0.000000, 721880353, 69593584, 0, 0
759, 0.000000, 703503020, 71685876, 0, 0
769, 0.000000, 745922161, 76607913, 0, 0
779, 0.000000, 754170833, 72170513, 0, 0
789, 0.000000, 718646253, 73323637, 0, 0
799, 0.000000, 752377015, 75079502, 0, 0
809, 0.000000, 749974461, 76472530, 0, 0
819, 0.000000, 731325455, 69861459, 0, 0
829, 0.000000, 720126344, 73893769, 0, 0
839, 0.000000, 750008091, 75378942, 0, 0
849, 0.000000, 729325537, 71329203, 0, 0
859, 0.000000, 735751015, 74212672, 0, 0
869, 0.000000, 747971806, 75359908, 0, 0
879, 0.000000, 744118198, 72910308, 0, 0
889, 0.000000, 726897254, 71183646, 0, 0
899, 0.000000, 726855736, 73910324, 0, 0
909, 0.000000, 736811135, 73994959, 0, 0
919, 0.000000, 753492826, 75304891, 0, 0
929, 0.000000, 724536199, 69827120, 0, 0
939, 0.000000, 721945121, 74437836, 0, 0
949, 0.000000, 764990045, 76529331, 0, 0
959, 0.000000, 739446041, 72204438, 0, 0
969, 0.000000, 696948577, 69809245, 0, 0
979, 0.000000, 714483500, 73664567, 0, 0
989, 0.000000, 757734819, 77034910, 0, 0
999, 0.000000, 766139139, 73925493, 0, 0
1009, 0.000000, 707565391, 71682417, 0, 0
1019, 0.000000, 740192495, 76249997, 0, 0
1029, 0.000000, 780375143, 78265272, 0, 0
1039, 0.000000, 747054993, 71729961, 0, 0
1049, 0.000000, 722818181, 73940989, 0, 0
1059, 0.000000, 755652876, 75318830, 0, 0
1069, 0.000000, 761368224, 75293713, 0, 0
1079, 0.000000, 721277354, 71727903, 0, 0
1089, 0.000000, 734944637, 75282275, 0, 0
1099, 0.000000, 755855045, 73840669, 0, 0
