Step, Coverage [%], Step time [ns]
9, -0.000000, 133
19, -0.000000, 11
29, -0.000000, 10
39, -0.000000, 11
49, -0.000000, 10
59, -0.000000, 10
69, -0.000000, 9
79, -0.000000, 10
89, -0.000000, 10
99, -0.000000, 10
109, -0.000000, 10
119, -0.000000, 10
129, -0.000000, 10
139, -0.000000, 10
149, -0.000000, 10
159, -0.000000, 10
169, -0.000000, 10
179, -0.000000, 10
189, -0.000000, 10
199, -0.000000, 10
209, -0.000000, 10
219, -0.000000, 10
229, -0.000000, 10
239, -0.000000, 10
249, -0.000000, 10
259, -0.000000, 10
269, -0.000000, 10
279, -0.000000, 10
289, -0.000000, 10
299, -0.000000, 10
309, -0.000000, 10
319, -0.000000, 10
329, -0.000000, 10
339, -0.000000, 10
349, -0.000000, 10
359, -0.000000, 10
369, -0.000000, 11
379, -0.000000, 10
389, -0.000000, 10
399, -0.000000, 10
409, -0.000000, 10
419, -0.000000, 10
429, -0.000000, 10
439, -0.000000, 10
449, -0.000000, 11
459, -0.000000, 10
469, -0.000000, 11
479, -0.000000, 10
489, -0.000000, 11
499, -0.000000, 11
509, -0.000000, 11
519, -0.000000, 11
529, -0.000000, 11
539, -0.000000, 11
549, -0.000000, 11
559, -0.000000, 11
569, -0.000000, 11
579, -0.000000, 11
589, -0.000000, 11
599, -0.000000, 11
609, -0.000000, 11
619, -0.000000, 11
629, -0.000000, 11
639, -0.000000, 11
649, -0.000000, 11
659, -0.000000, 11
669, -0.000000, 11
679, -0.000000, 11
689, -0.000000, 11
699, -0.000000, 12
709, -0.000000, 12
719, -0.000000, 12
729, -0.000000, 12
739, -0.000000, 12
749, -0.000000, 12
759, -0.000000, 12
769, -0.000000, 12
779, -0.000000, 12
789, -0.000000, 12
799, -0.000000, 12
809, -0.000000, 12
819, -0.000000, 12
829, -0.000000, 12
839, -0.000000, 12
849, -0.000000, 12
859, -0.000000, 12
869, -0.000000, 12
879, -0.000000, 13
889, -0.000000, 12
899, -0.000000, 12
909, -0.000000, 12
919, -0.000000, 12
929, -0.000000, 13
939, -0.000000, 13
949, -0.000000, 13
959, -0.000000, 13
969, -0.000000, 13
979, -0.000000, 13
989, -0.000000, 13
999, -0.000000, 13
1009, -0.000000, 13
1019, -0.000000, 13
1029, -0.000000, 13
1039, -0.000000, 13
1049, -0.000000, 13
1059, -0.000000, 13
1069, -0.000000, 13
1079, -0.000000, 13
1089, -0.000000, 13
1099, -0.000000, 13
1109, -0.000000, 13
1119, -0.000000, 13
1129, -0.000000, 13
1139, -0.000000, 13
1149, -0.000000, 14
1159, -0.000000, 13
1169, -0.000000, 14
1179, -0.000000, 14
1189, -0.000000, 14
1199, -0.000000, 14
1209, -0.000000, 14
1219, -0.000000, 14
1229, -0.000000, 14
1239, -0.000000, 14
1249, -0.000000, 14
1259, -0.000000, 14
1269, -0.000000, 14
1279, -0.000000, 14
1289, -0.000000, 14
1299, -0.000000, 14
1309, -0.000000, 14
1319, -0.000000, 14
1329, -0.000000, 14
1339, -0.000000, 14
1349, -0.000000, 14
1359, -0.000000, 14
1369, -0.000000, 14
1379, -0.000000, 14
1389, -0.000000, 15
1399, -0.000000, 15
1409, -0.000000, 15
1419, -0.000000, 15
1429, -0.000000, 15
1439, -0.000000, 15
1449, -0.000000, 15
1459, -0.000000, 15
1469, -0.000000, 15
1479, -0.000000, 15
1489, -0.000000, 15
1499, -0.000000, 15
1509, -0.000000, 15
1519, -0.000000, 15
1529, -0.000000, 15
1539, -0.000000, 15
1549, -0.000000, 15
1559, -0.000000, 15
1569, -0.000000, 15
1579, -0.000000, 15
1589, -0.000000, 16
1599, -0.000000, 15
1609, -0.000000, 15
1619, -0.000000, 16
1629, -0.000000, 15
1639, -0.000000, 16
1649, -0.000000, 16
1659, -0.000000, 16
1669, -0.000000, 16
1679, -0.000000, 16
1689, -0.000000, 16
1699, -0.000000, 16
1709, -0.000000, 16
1719, -0.000000, 16
1729, -0.000000, 16
1739, -0.000000, 16
1749, -0.000000, 16
1759, -0.000000, 16
1769, -0.000000, 16
1779, -0.000000, 16
1789, -0.000000, 16
1799, -0.000000, 16
1809, -0.000000, 16
1819, -0.000000, 16
1829, -0.000000, 16
1839, -0.000000, 16
1849, -0.000000, 16
1859, -0.000000, 17
1869, -0.000000, 16
1879, -0.000000, 17
1889, -0.000000, 17
1899, -0.000000, 17
1909, -0.000000, 17
1919, -0.000000, 17
1929, -0.000000, 17
1939, -0.000000, 17
1949, -0.000000, 17
1959, -0.000000, 17
1969, -0.000000, 17
1979, -0.000000, 17
1989, -0.000000, 17
1999, -0.000000, 17
2009, -0.000000, 17
2019, -0.000000, 17
2029, -0.000000, 17
2039, -0.000000, 17
2049, -0.000000, 17
2059, -0.000000, 17
2069, -0.000000, 17
2079, -0.000000, 17
2089, -0.000000, 17
2099, -0.000000, 17
2109, -0.000000, 17
2119, -0.000000, 18
2129, -0.000000, 18
2139, -0.000000, 18
2149, -0.000000, 18
2159, -0.000000, 18
2169, -0.000000, 18
2179, -0.000000, 18
2189, -0.000000, 18
2199, -0.000000, 18
2209, -0.000000, 18
2219, -0.000000, 18
2229, -0.000000, 18
2239, -0.000000, 18
2249, -0.000000, 18
2259, -0.000000, 18
2269, -0.000000, 18
2279, -0.000000, 18
2289, -0.000000, 18
2299, -0.000000, 18
2309, -0.000000, 18
2319, -0.000000, 18
2329, -0.000000, 18
2339, -0.000000, 18
2349, -0.000000, 18
2359, -0.000000, 18
2369, -0.000000, 18
2379, -0.000000, 18
2389, -0.000000, 18
2399, -0.000000, 19
2409, -0.000000, 19
2419, -0.000000, 19
2429, -0.000000, 19
2439, -0.000000, 19
2449, -0.000000, 19
2459, -0.000000, 19
2469, -0.000000, 19
2479, -0.000000, 19
2489, -0.000000, 19
2499, -0.000000, 19
2509, -0.000000, 19
2519, -0.000000, 19
2529, -0.000000, 19
