Step, Coverage [%], Step time [ns]
9, 0.000724, 22
19, 0.003044, 19
29, 0.006820, 12
39, 0.011204, 12
49, 0.014928, 10
59, 0.018392, 10
69, 0.021964, 8
79, 0.025400, 10
89, 0.028816, 10
99, 0.032236, 9
109, 0.035596, 9
119, 0.039096, 11
129, 0.042416, 9
139, 0.045708, 10
149, 0.049152, 10
159, 0.052472, 9
169, 0.055812, 9
179, 0.059112, 10
189, 0.062464, 9
199, 0.065884, 16
209, 0.069216, 9
219, 0.072512, 10
229, 0.075772, 9
239, 0.079116, 10
249, 0.082440, 10
259, 0.085712, 10
269, 0.089048, 11
279, 0.092292, 10
289, 0.095540, 11
299, 0.098748, 10
309, 0.102024, 10
319, 0.105300, 10
329, 0.108528, 10
339, 0.111840, 11
349, 0.115084, 16
359, 0.118284, 11
369, 0.121544, 10
379, 0.124772, 10
389, 0.127996, 11
399, 0.131236, 10
409, 0.134500, 11
419, 0.137760, 11
429, 0.140924, 10
439, 0.144108, 10
449, 0.147288, 11
459, 0.150532, 11
469, 0.153776, 11
479, 0.156920, 11
489, 0.160052, 12
499, 0.163256, 22
509, 0.166496, 11
519, 0.169704, 11
529, 0.172920, 11
539, 0.176156, 12
549, 0.179464, 11
559, 0.182652, 12
569, 0.185960, 12
579, 0.189196, 2596
589, 0.192320, 19
599, 0.195520, 146
609, 0.198684, 18
619, 0.201868, 17
629, 0.205056, 16
639, 0.208288, 19
649, 0.211424, 16
659, 0.214584, 17
669, 0.217752, 15
679, 0.220848, 17
689, 0.224108, 20
699, 0.227280, 19
709, 0.230368, 15
719, 0.233552, 16
729, 0.236680, 17
739, 0.239804, 18
749, 0.242948, 17
759, 0.246184, 17
769, 0.249296, 14
779, 0.252372, 14
789, 0.255620, 20
799, 0.258804, 15
809, 0.261992, 14
819, 0.265168, 14
829, 0.268368, 15
839, 0.271624, 15
849, 0.274752, 15
859, 0.277892, 15
869, 0.281128, 15
879, 0.284236, 15
889, 0.287468, 15
899, 0.290640, 28
909, 0.293820, 15
919, 0.296956, 15
929, 0.300068, 15
939, 0.303204, 15
949, 0.306292, 15
959, 0.309472, 15
969, 0.312600, 15
979, 0.315732, 15
989, 0.318812, 15
999, 0.321860, 15
1009, 0.325008, 16
1019, 0.328200, 15
1029, 0.331296, 16
1039, 0.334400, 16
1049, 0.337612, 16
1059, 0.340776, 15
1069, 0.343940, 15
1079, 0.346996, 15
1089, 0.350192, 15
1099, 0.353340, 16
1109, 0.356472, 15
1119, 0.359560, 15
1129, 0.362688, 15
1139, 0.365776, 16
1149, 0.368892, 16
1159, 0.371980, 16
1169, 0.375084, 16
1179, 0.378260, 16
1189, 0.381304, 16
1199, 0.384472, 16
1209, 0.387544, 16
1219, 0.390624, 16
1229, 0.393748, 16
1239, 0.396844, 16
1249, 0.399952, 16
1259, 0.403108, 16
1269, 0.406176, 17
1279, 0.409284, 17
1289, 0.412420, 17
1299, 0.415576, 17
1309, 0.418696, 17
1319, 0.421872, 17
1329, 0.425000, 17
1339, 0.428088, 17
1349, 0.431300, 18
1359, 0.434400, 17
1369, 0.437484, 17
1379, 0.440604, 18
1389, 0.443704, 18
1399, 0.446816, 18
1409, 0.449908, 18
1419, 0.452996, 18
1429, 0.456132, 18
1439, 0.459284, 18
1449, 0.462432, 18
1459, 0.465572, 19
1469, 0.468712, 18
1479, 0.471884, 18
1489, 0.474880, 18
1499, 0.478040, 18
1509, 0.481124, 18
1519, 0.484248, 19
1529, 0.487336, 19
1539, 0.490420, 19
1549, 0.493476, 19
1559, 0.496524, 19
