Step, Coverage [%], Step time [ns]
9, 0.000724, 8
19, 0.003044, 8
29, 0.006820, 8
39, 0.011204, 8
49, 0.014928, 8
59, 0.018392, 22
69, 0.021964, 8
79, 0.025400, 8
89, 0.028816, 8
99, 0.032236, 8
109, 0.035596, 8
119, 0.039096, 9
129, 0.042416, 9
139, 0.045708, 9
149, 0.049152, 9
159, 0.052472, 9
169, 0.055812, 9
179, 0.059112, 9
189, 0.062464, 9
199, 0.065884, 9
209, 0.069216, 9
219, 0.072512, 9
229, 0.075772, 15
239, 0.079116, 10
249, 0.082440, 10
259, 0.085712, 10
269, 0.089048, 10
279, 0.092292, 10
289, 0.095540, 10
299, 0.098748, 10
309, 0.102024, 10
319, 0.105300, 10
329, 0.108528, 10
339, 0.111840, 11
349, 0.115084, 10
359, 0.118284, 11
369, 0.121544, 11
379, 0.124772, 11
389, 0.127996, 11
399, 0.131236, 11
409, 0.134500, 11
419, 0.137760, 11
429, 0.140924, 11
439, 0.144108, 11
449, 0.147288, 11
459, 0.150532, 11
469, 0.153776, 14
479, 0.156920, 14
489, 0.160052, 12
499, 0.163256, 12
509, 0.166496, 12
519, 0.169704, 12
529, 0.172920, 15
539, 0.176156, 15
549, 0.179464, 12
559, 0.182652, 15
569, 0.185960, 15
579, 0.189196, 15
589, 0.192320, 13
599, 0.195520, 16
609, 0.198684, 23
619, 0.201868, 16
629, 0.205056, 16
639, 0.208288, 24
649, 0.211424, 16
659, 0.214584, 16
669, 0.217752, 13
679, 0.220848, 16
689, 0.224108, 16
699, 0.227280, 16
709, 0.230368, 16
719, 0.233552, 13
729, 0.236680, 16
739, 0.239804, 16
749, 0.242948, 16
759, 0.246184, 17
769, 0.249296, 17
779, 0.252372, 14
789, 0.255620, 17
799, 0.258804, 20
809, 0.261992, 18
819, 0.265168, 17
829, 0.268368, 17
839, 0.271624, 17
849, 0.274752, 17
859, 0.277892, 15
869, 0.281128, 17
879, 0.284236, 17
889, 0.287468, 18
899, 0.290640, 17
909, 0.293820, 18
919, 0.296956, 21
929, 0.300068, 19
939, 0.303204, 18
949, 0.306292, 18
959, 0.309472, 18
969, 0.312600, 16
979, 0.315732, 18
989, 0.318812, 18
999, 0.321860, 21
1009, 0.325008, 19
1019, 0.328200, 19
1029, 0.331296, 18
1039, 0.334400, 19
1049, 0.337612, 19
1059, 0.340776, 18
1069, 0.343940, 19
1079, 0.346996, 19
1089, 0.350192, 19
1099, 0.353340, 19
1109, 0.356472, 22
1119, 0.359560, 20
1129, 0.362688, 20
1139, 0.365776, 20
1149, 0.368892, 23
1159, 0.371980, 20
1169, 1.000000, 24
1179, 1.000000, 24
1189, 1.000000, 24
1199, 1.000000, 24
1209, 1.000000, 24
1219, 1.000000, 25
1229, 1.000000, 25
1239, 1.000000, 25
1249, 1.000000, 25
1259, 1.000000, 25
1269, 1.000000, 25
1279, 1.000000, 25
1289, 1.000000, 24
1299, 1.000000, 24
1309, 1.000000, 25
1319, 1.000000, 25
1329, 1.000000, 25
1339, 1.000000, 25
1349, 1.000000, 24
1359, 1.000000, 24
1369, 1.000000, 24
1379, 1.000000, 24
1389, 1.000000, 25
1399, 1.000000, 25
1409, 1.000000, 25
1419, 1.000000, 25
1429, 1.000000, 24
1439, 1.000000, 24
1449, 1.000000, 24
1459, 1.000000, 24
1469, 1.000000, 24
1479, 1.000000, 25
1489, 1.000000, 25
1499, 1.000000, 25
1509, 1.000000, 25
1519, 1.000000, 25
1529, 1.000000, 24
1539, 1.000000, 24
1549, 1.000000, 24
1559, 1.000000, 25
1569, 1.000000, 25
1579, 1.000000, 25
1589, 1.000000, 25
1599, 1.000000, 25
1609, 1.000000, 25
1619, 1.000000, 25
1629, 1.000000, 25
1639, 1.000000, 25
1649, 1.000000, 24
1659, 1.000000, 25
1669, 1.000000, 25
1679, 1.000000, 25
1689, 1.000000, 25
1699, 1.000000, 25
1709, 1.000000, 25
1719, 1.000000, 25
1729, 1.000000, 25
1739, 1.000000, 25
1749, 1.000000, 25
1759, 1.000000, 25
1769, 1.000000, 25
1779, 1.000000, 25
1789, 1.000000, 25
1799, 1.000000, 25
1809, 1.000000, 24
1819, 1.000000, 24
1829, 1.000000, 25
1839, 1.000000, 25
1849, 1.000000, 25
1859, 1.000000, 25
1869, 1.000000, 25
1879, 1.000000, 25
1889, 1.000000, 25
1899, 1.000000, 25
1909, 1.000000, 25
1919, 1.000000, 25
1929, 1.000000, 25
1939, 1.000000, 25
1949, 1.000000, 25
1959, 1.000000, 25
1969, 1.000000, 25
1979, 1.000000, 25
1989, 1.000000, 25
1999, 1.000000, 25
2009, 1.000000, 25
2019, 1.000000, 25
2029, 1.000000, 25
2039, 1.000000, 25
2049, 1.000000, 25
2059, 1.000000, 25
2069, 1.000000, 25
2079, 1.000000, 25
2089, 1.000000, 25
2099, 1.000000, 25
2109, 1.000000, 25
2119, 1.000000, 25
2129, 1.000000, 25
2139, 1.000000, 25
2149, 1.000000, 25
2159, 1.000000, 25
2169, 1.000000, 25
2179, 1.000000, 25
2189, 1.000000, 25
2199, 1.000000, 25
2209, 1.000000, 25
2219, 1.000000, 25
2229, 1.000000, 25
2239, 1.000000, 25
2249, 1.000000, 25
2259, 1.000000, 25
2269, 1.000000, 25
2279, 1.000000, 25
2289, 1.000000, 25
2299, 1.000000, 25
2309, 1.000000, 25
2319, 1.000000, 25
2329, 1.000000, 25
2339, 1.000000, 25
2349, 1.000000, 25
2359, 1.000000, 25
2369, 1.000000, 24
2379, 1.000000, 24
2389, 1.000000, 24
2399, 1.000000, 24
2409, 1.000000, 24
2419, 1.000000, 24
2429, 1.000000, 24
2439, 1.000000, 24
2449, 1.000000, 24
2459, 1.000000, 24
2469, 1.000000, 24
2479, 1.000000, 24
2489, 1.000000, 24
2499, 1.000000, 24
2509, 1.000000, 24
2519, 1.000000, 25
2529, 1.000000, 25
2539, 1.000000, 25
2549, 1.000000, 24
2559, 1.000000, 24
2569, 1.000000, 24
2579, 1.000000, 24
2589, 1.000000, 24
2599, 1.000000, 24
2609, 1.000000, 24
2619, 1.000000, 24
2629, 1.000000, 24
2639, 1.000000, 25
2649, 1.000000, 24
2659, 1.000000, 24
2669, 1.000000, 25
2679, 1.000000, 25
2689, 1.000000, 25
2699, 1.000000, 25
2709, 1.000000, 25
2719, 1.000000, 25
2729, 1.000000, 25
2739, 1.000000, 25
2749, 1.000000, 25
2759, 1.000000, 24
2769, 1.000000, 24
2779, 1.000000, 25
2789, 1.000000, 25
2799, 1.000000, 25
2809, 1.000000, 25
2819, 1.000000, 25
2829, 1.000000, 25
2839, 1.000000, 25
2849, 1.000000, 25
2859, 1.000000, 25
2869, 1.000000, 25
2879, 1.000000, 25
2889, 1.000000, 24
2899, 1.000000, 24
2909, 1.000000, 24
2919, 1.000000, 24
2929, 1.000000, 24
2939, 1.000000, 24
2949, 1.000000, 24
2959, 1.000000, 24
2969, 1.000000, 24
2979, 1.000000, 23
2989, 1.000000, 23
2999, 1.000000, 23
3009, 1.000000, 23
3019, 1.000000, 23
3029, 1.000000, 23
3039, 1.000000, 23
3049, 1.000000, 23
3059, 1.000000, 23
3069, 1.000000, 23
3079, 1.000000, 23
3089, 1.000000, 23
3099, 1.000000, 24
3109, 1.000000, 24
3119, 1.000000, 24
3129, 1.000000, 23
3139, 1.000000, 23
3149, 1.000000, 24
3159, 1.000000, 24
3169, 1.000000, 24
