Step, Coverage [%], Step time [ns]
9, 0.000724, 8
19, 0.003044, 8
29, 0.006820, 8
39, 0.011204, 8
49, 0.014928, 8
59, 0.018392, 8
69, 0.021964, 8
79, 0.025400, 8
89, 0.028816, 9
99, 0.032236, 9
109, 0.035596, 9
119, 0.039096, 9
129, 0.042416, 9
139, 0.045708, 9
149, 0.049152, 9
159, 0.052472, 9
169, 0.055812, 9
179, 0.059112, 15
189, 0.062464, 9
199, 0.065884, 9
209, 0.069216, 9
219, 0.072512, 10
229, 0.075772, 9
239, 0.079116, 10
249, 0.082440, 10
259, 0.085712, 12
269, 0.089048, 10
279, 0.092292, 13
289, 0.095540, 10
299, 0.098748, 10
309, 0.102024, 13
319, 0.105300, 10
329, 0.108528, 19
339, 0.111840, 13
349, 0.115084, 11
359, 0.118284, 13
369, 0.121544, 11
379, 0.124772, 11
389, 0.127996, 14
399, 0.131236, 11
409, 0.134500, 13
419, 0.137760, 14
429, 0.140924, 11
439, 0.144108, 14
449, 0.147288, 14
459, 0.150532, 14
469, 0.153776, 11
479, 0.156920, 14
489, 0.160052, 14
499, 0.163256, 12
509, 0.166496, 15
519, 0.169704, 15
529, 0.172920, 12
539, 0.176156, 12
549, 0.179464, 15
559, 0.182652, 12
569, 0.185960, 15
579, 0.189196, 15
589, 0.192320, 15
599, 0.195520, 12
609, 0.198684, 15
619, 0.201868, 15
629, 0.205056, 16
639, 0.208288, 13
649, 0.211424, 16
659, 0.214584, 16
669, 0.217752, 13
679, 0.220848, 13
689, 0.224108, 16
699, 0.227280, 16
709, 0.230368, 16
719, 0.233552, 16
729, 0.236680, 13
739, 0.239804, 16
749, 0.242948, 16
759, 0.246184, 16
769, 0.249296, 17
779, 0.252372, 14
789, 0.255620, 17
799, 0.258804, 17
809, 0.261992, 17
819, 0.265168, 14
829, 0.268368, 14
839, 0.271624, 17
849, 0.274752, 14
859, 0.277892, 17
869, 0.281128, 15
879, 0.284236, 15
889, 0.287468, 17
899, 0.290640, 17
909, 0.293820, 17
919, 0.296956, 18
929, 0.300068, 18
939, 0.303204, 17
949, 0.306292, 18
959, 0.309472, 15
969, 0.312600, 18
979, 0.315732, 18
989, 0.318812, 18
999, 0.321860, 18
1009, 0.325008, 18
1019, 0.328200, 21
1029, 0.331296, 20
1039, 0.334400, 18
1049, 0.337612, 19
1059, 0.340776, 19
1069, 0.343940, 18
1079, 0.346996, 19
1089, 0.350192, 22
1099, 0.353340, 20
1109, 0.356472, 19
1119, 0.359560, 19
1129, 0.362688, 19
1139, 0.365776, 19
1149, 0.368892, 23
1159, 0.371980, 21
1169, 0.375084, 20
1179, 0.378260, 20
1189, 0.381304, 23
1199, 0.384472, 21
1209, 1.000000, 14
1219, 0.390624, 23
1229, 0.393748, 21
1239, 0.396844, 33
1249, 0.399952, 25
1259, 0.403108, 29
1269, 0.406176, 21
1279, 1.000000, 14
1289, 0.412420, 23
1299, 0.415576, 21
1309, 0.418696, 21
1319, 0.421872, 21
1329, 0.425000, 21
1339, 0.428088, 21
1349, 1.000000, 15
1359, 0.434400, 21
1369, 0.437484, 19
1379, 0.440604, 21
1389, 0.443704, 19
1399, 0.446816, 21
1409, 0.449908, 22
1419, 0.452996, 25
1429, 0.456132, 23
1439, 0.459284, 19
1449, 0.462432, 24
1459, 0.465572, 27
1469, 0.468712, 22
1479, 0.471884, 21
1489, 0.474880, 22
1499, 0.478040, 21
1509, 1.000000, 15
1519, 0.484248, 24
1529, 0.487336, 26
1539, 0.490420, 27
1549, 0.493476, 25
1559, 0.496524, 24
1569, 0.499644, 23
1579, 1.000000, 16
1589, 0.505736, 22
1599, 0.508816, 26
1609, 0.511932, 23
1619, 0.515020, 26
1629, 0.518104, 24
1639, 0.521244, 23
1649, 1.000000, 16
1659, 0.527404, 26
1669, 0.530444, 25
1679, 0.533516, 28
1689, 0.536616, 24
1699, 0.539700, 24
1709, 0.542796, 27
1719, 1.000000, 17
1729, 0.549004, 25
1739, 0.552092, 24
1749, 0.555164, 25
1759, 0.558312, 24
1769, 0.561348, 26
1779, 0.564336, 24
1789, 1.000000, 17
1799, 0.570540, 26
1809, 0.573640, 25
1819, 0.576724, 26
1829, 0.579840, 25
1839, 0.582908, 24
1849, 0.586016, 24
1859, 1.000000, 17
1869, 0.592140, 31
1879, 0.595280, 26
1889, 0.598312, 30
1899, 0.601348, 23
1909, 0.604404, 29
1919, 0.607484, 29
1929, 1.000000, 18
1939, 0.613612, 29
1949, 0.616612, 29
1959, 0.619720, 26
1969, 0.622800, 26
1979, 0.625820, 28
1989, 0.628868, 28
1999, 1.000000, 18
2009, 0.634976, 31
2019, 0.637932, 27
2029, 0.641040, 30
2039, 0.644124, 26
2049, 0.647172, 33
2059, 0.650124, 27
2069, 1.000000, 19
2079, 0.656308, 39
2089, 0.659316, 39
2099, 0.662236, 29
2109, 0.665424, 29
2119, 0.668588, 54
2129, 0.671628, 27
2139, 1.000000, 19
2149, 0.677836, 29
2159, 0.680932, 32
2169, 0.683960, 34
2179, 0.687012, 31
2189, 0.690004, 31
2199, 0.693168, 28
2209, 1.000000, 19
2219, 0.699196, 36
2229, 0.702240, 33
2239, 0.705264, 30
2249, 0.708296, 34
2259, 0.711424, 29
2269, 0.714476, 30
2279, 1.000000, 19
2289, 0.720556, 38
2299, 0.723576, 29
2309, 0.726552, 33
2319, 0.729640, 29
2329, 0.732712, 29
2339, 0.735812, 28
2349, 1.000000, 20
2359, 1.000000, 20
2369, 1.000000, 20
2379, 1.000000, 20
2389, 1.000000, 20
2399, 1.000000, 21
2409, 1.000000, 21
2419, 1.000000, 21
2429, 1.000000, 21
2439, 1.000000, 21
2449, 1.000000, 21
2459, 1.000000, 21
2469, 1.000000, 21
2479, 1.000000, 21
2489, 1.000000, 21
2499, 1.000000, 21
2509, 1.000000, 21
2519, 1.000000, 21
2529, 1.000000, 21
2539, 1.000000, 21
2549, 1.000000, 21
2559, 1.000000, 21
2569, 1.000000, 21
2579, 1.000000, 21
2589, 1.000000, 21
2599, 1.000000, 21
2609, 1.000000, 21
2619, 1.000000, 21
2629, 1.000000, 21
2639, 1.000000, 22
2649, 1.000000, 22
2659, 1.000000, 22
2669, 1.000000, 22
2679, 1.000000, 22
2689, 1.000000, 22
2699, 1.000000, 22
2709, 1.000000, 22
2719, 1.000000, 22
2729, 1.000000, 22
2739, 1.000000, 22
2749, 1.000000, 22
2759, 1.000000, 22
2769, 1.000000, 22
2779, 1.000000, 22
2789, 1.000000, 22
2799, 1.000000, 22
2809, 1.000000, 22
2819, 1.000000, 22
2829, 1.000000, 22
2839, 1.000000, 22
2849, 1.000000, 22
2859, 1.000000, 22
2869, 1.000000, 22
2879, 1.000000, 22
2889, 1.000000, 22
2899, 1.000000, 22
2909, 1.000000, 23
2919, 1.000000, 23
2929, 1.000000, 23
2939, 1.000000, 23
2949, 1.000000, 23
2959, 1.000000, 23
2969, 1.000000, 23
2979, 1.000000, 23
2989, 1.000000, 23
2999, 1.000000, 23
3009, 1.000000, 23
3019, 1.000000, 23
3029, 1.000000, 23
3039, 1.000000, 23
3049, 1.000000, 23
3059, 1.000000, 23
3069, 1.000000, 23
3079, 1.000000, 24
3089, 1.000000, 24
3099, 1.000000, 24
3109, 1.000000, 24
3119, 1.000000, 24
3129, 1.000000, 24
3139, 1.000000, 24
3149, 1.000000, 24
3159, 1.000000, 24
3169, 1.000000, 24
