Step, Coverage [%], Step time [ns]
9, -0.000000, 167
19, -0.000000, 30
29, -0.000000, 29
39, -0.000000, 29
49, -0.000000, 28
59, -0.000000, 27
69, -0.000000, 27
79, -0.000000, 27
89, -0.000000, 27
99, -0.000000, 27
109, -0.000000, 26
119, -0.000000, 25
129, -0.000000, 25
139, -0.000000, 25
149, -0.000000, 25
159, -0.000000, 25
169, -0.000000, 25
179, -0.000000, 25
189, -0.000000, 25
199, -0.000000, 25
209, -0.000000, 25
219, -0.000000, 25
229, -0.000000, 25
239, -0.000000, 25
249, -0.000000, 25
259, -0.000000, 25
269, -0.000000, 25
279, -0.000000, 25
289, -0.000000, 25
299, -0.000000, 25
309, -0.000000, 25
319, -0.000000, 25
329, -0.000000, 25
339, -0.000000, 25
349, -0.000000, 25
359, -0.000000, 25
369, -0.000000, 25
379, -0.000000, 25
389, -0.000000, 25
399, -0.000000, 25
409, -0.000000, 25
419, -0.000000, 25
429, -0.000000, 25
439, -0.000000, 25
449, -0.000000, 25
459, -0.000000, 25
469, -0.000000, 24
479, -0.000000, 24
489, -0.000000, 24
499, -0.000000, 24
509, -0.000000, 24
519, -0.000000, 24
529, -0.000000, 24
539, -0.000000, 24
549, -0.000000, 24
559, -0.000000, 24
569, -0.000000, 24
579, -0.000000, 24
589, -0.000000, 24
599, -0.000000, 24
609, -0.000000, 24
619, -0.000000, 24
629, -0.000000, 24
639, -0.000000, 24
649, -0.000000, 24
659, -0.000000, 24
669, -0.000000, 24
679, -0.000000, 24
689, -0.000000, 24
699, -0.000000, 24
709, -0.000000, 24
719, -0.000000, 24
729, -0.000000, 24
739, -0.000000, 24
749, -0.000000, 24
759, -0.000000, 24
769, -0.000000, 24
779, -0.000000, 24
789, -0.000000, 24
799, -0.000000, 24
809, -0.000000, 24
819, -0.000000, 24
829, -0.000000, 24
839, -0.000000, 24
849, -0.000000, 24
859, -0.000000, 24
869, -0.000000, 24
879, -0.000000, 24
889, -0.000000, 24
899, -0.000000, 24
909, -0.000000, 24
919, -0.000000, 24
929, -0.000000, 24
939, -0.000000, 24
949, -0.000000, 24
959, -0.000000, 23
969, -0.000000, 23
979, -0.000000, 23
989, -0.000000, 23
999, -0.000000, 23
1009, -0.000000, 23
1019, -0.000000, 23
1029, -0.000000, 23
1039, -0.000000, 23
1049, -0.000000, 23
1059, -0.000000, 23
1069, -0.000000, 23
1079, -0.000000, 23
1089, -0.000000, 23
1099, -0.000000, 23
1109, -0.000000, 23
1119, -0.000000, 23
1129, -0.000000, 23
1139, -0.000000, 23
1149, -0.000000, 23
1159, -0.000000, 23
1169, -0.000000, 23
1179, -0.000000, 23
1189, -0.000000, 23
1199, -0.000000, 23
1209, -0.000000, 23
1219, -0.000000, 23
1229, -0.000000, 23
1239, -0.000000, 23
1249, -0.000000, 23
1259, -0.000000, 23
1269, -0.000000, 23
1279, -0.000000, 23
1289, -0.000000, 23
1299, -0.000000, 23
1309, -0.000000, 23
1319, -0.000000, 23
1329, -0.000000, 23
1339, -0.000000, 23
1349, -0.000000, 23
1359, -0.000000, 23
1369, -0.000000, 23
1379, -0.000000, 23
1389, -0.000000, 23
1399, -0.000000, 23
1409, -0.000000, 23
1419, -0.000000, 23
1429, -0.000000, 22
1439, -0.000000, 22
1449, -0.000000, 22
1459, -0.000000, 22
1469, -0.000000, 22
1479, -0.000000, 22
1489, -0.000000, 22
1499, -0.000000, 22
