Step, Coverage [%], Step time [ns], Transition time [ns], Find ac time [ns]
9, 0.000724, 20945624, 544379, 712976, 0
19, 0.003044, 17899310, 1033032, 718753, 0
29, 0.006820, 11280288, 98970, 722790, 0
39, 0.011204, 12166547, 82643, 720507, 0
49, 0.014928, 10082115, 67816, 716893, 0
59, 0.018392, 10545034, 96086, 728922, 0
69, 0.021964, 14125453, 88252, 755910, 0
79, 0.025400, 10366945, 129435, 718942, 0
89, 0.028816, 10462947, 105821, 722227, 0
99, 0.032236, 9597920, 118645, 725831, 0
109, 0.035596, 9848133, 185754, 739461, 0
119, 0.039096, 10800181, 135589, 729967, 0
129, 0.042416, 9274683, 144013, 739547, 0
139, 0.045708, 10259927, 154792, 722368, 0
149, 0.049152, 10474577, 536327, 738681, 0
159, 0.052472, 9264136, 175334, 724612, 0
169, 0.055812, 9820736, 643716, 745131, 0
179, 0.059112, 10684578, 845391, 721561, 0
189, 0.062464, 9624579, 198294, 739227, 0
199, 0.065884, 11497397, 214659, 729504, 0
209, 0.069216, 9500356, 222183, 728149, 0
219, 0.072512, 10850587, 1012825, 728998, 0
229, 0.075772, 22954783, 219970, 724093, 0
239, 0.079116, 10756598, 229495, 732656, 0
249, 0.082440, 10194664, 243533, 724142, 0
259, 0.085712, 10165230, 249369, 730581, 0
269, 0.089048, 11080056, 289871, 728083, 0
279, 0.092292, 10252707, 265287, 723666, 0
289, 0.095540, 11097693, 273071, 722650, 0
299, 0.098748, 10307306, 281553, 733506, 0
309, 0.102024, 10412870, 289172, 738687, 0
319, 0.105300, 10337384, 296782, 728209, 0
329, 0.108528, 10924079, 304102, 727432, 0
339, 0.111840, 11374626, 315279, 728490, 0
349, 0.115084, 10938496, 322412, 732982, 0
359, 0.118284, 11609089, 329659, 730053, 0
369, 0.121544, 10962235, 341528, 728194, 0
379, 0.124772, 16494632, 325212, 720028, 0
389, 0.127996, 11289222, 331597, 720499, 0
399, 0.131236, 10887480, 361391, 743684, 0
409, 0.134500, 11103945, 455781, 725947, 0
419, 0.137760, 11647429, 356596, 722778, 0
429, 0.140924, 10994179, 364150, 722928, 0
439, 0.144108, 10974849, 372839, 723420, 0
449, 0.147288, 11614870, 726234, 725840, 0
459, 0.150532, 11513025, 405119, 726597, 0
469, 0.153776, 12384191, 395207, 739516, 0
479, 0.156920, 11299093, 405709, 729579, 0
489, 0.160052, 12144686, 409771, 725634, 0
499, 0.163256, 12307514, 416355, 736747, 0
509, 0.166496, 11507766, 422263, 729372, 0
519, 0.169704, 17409734, 425114, 739233, 0
529, 0.172920, 12003085, 428538, 729255, 0
539, 0.176156, 12459136, 607223, 724454, 0
549, 0.179464, 11965756, 500659, 766724, 0
559, 0.182652, 12456705, 590451, 729601, 0
569, 0.185960, 12576612, 461399, 741431, 0
579, 0.189196, 11908537, 469499, 732880, 0
589, 0.192320, 12166052, 471273, 730732, 0
599, 0.195520, 12648229, 666033, 732581, 0
609, 0.198684, 12965053, 488443, 726416, 0
619, 0.201868, 12614492, 495099, 735804, 0
629, 0.205056, 12388663, 528868, 757858, 0
639, 0.208288, 12992978, 516526, 738835, 0
649, 0.211424, 12791838, 520426, 736166, 0
659, 0.214584, 12602508, 531116, 737814, 0
669, 0.217752, 12667964, 535941, 739286, 0
679, 0.220848, 12733065, 537005, 733180, 0
689, 0.224108, 13088654, 548464, 738708, 0
699, 0.227280, 13375362, 554860, 733358, 0
709, 0.230368, 13410306, 561249, 738563, 0
719, 0.233552, 13066108, 572705, 733252, 0
729, 0.236680, 13267638, 576102, 738451, 0
739, 0.239804, 13729864, 584641, 739831, 0
749, 0.242948, 13851443, 591046, 742908, 0
759, 0.246184, 13426250, 598325, 750647, 0
769, 0.249296, 2877512069, 752511, 1576542, 0
779, 0.252372, 148988516, 757225, 1112492, 0
789, 0.255620, 18713443, 755515, 1086698, 0
799, 0.258804, 21955268, 764000, 1095291, 0
809, 0.261992, 18615341, 775980, 1036386, 0
819, 0.265168, 20167096, 781291, 914769, 0
829, 0.268368, 20122053, 788627, 939445, 0
839, 0.271624, 19777209, 802630, 880952, 0
849, 0.274752, 18692223, 811410, 2693851, 0
859, 0.277892, 16568671, 816967, 814290, 0
869, 0.281128, 30780839, 762327, 3342935, 0
879, 0.284236, 19025774, 767990, 810739, 0
889, 0.287468, 18777292, 780164, 794727, 0
899, 0.290640, 18455153, 806326, 3403584, 0
909, 0.293820, 15889921, 793959, 796536, 0
919, 0.296956, 18568297, 805236, 814429, 0
929, 0.300068, 18841267, 813055, 791549, 0
939, 0.303204, 18876703, 820672, 795632, 0
949, 0.306292, 16254537, 826757, 803381, 0
959, 0.309472, 21130130, 781353, 791704, 0
969, 0.312600, 15770683, 790738, 793745, 0
979, 0.315732, 15993993, 795343, 785767, 0
989, 0.318812, 15983134, 808133, 790662, 0
999, 0.321860, 16029527, 814303, 791604, 0
1009, 0.325008, 16571379, 821745, 792525, 0
1019, 0.328200, 16169549, 821470, 791519, 0
1029, 0.331296, 16352757, 833672, 800687, 0
1039, 0.334400, 17044082, 842164, 798630, 0
1049, 0.337612, 16463410, 850178, 792851, 0
1059, 0.340776, 21268590, 828392, 794365, 0
1069, 0.343940, 16197517, 831097, 783686, 0
