Step, Coverage [%], Step time [ns], Transition time [ns], Find ac time [ns]
9, 0.000724, 13364474, 18210, 749511, 3251029
19, 0.003044, 7520634, 24471, 729359, 3251029
29, 0.006820, 7656096, 37557, 731271, 3251029
39, 0.011204, 7828871, 60495, 727041, 3251029
49, 0.014928, 7924370, 62858, 731936, 3251029
59, 0.018392, 2628166677, 77748, 1235400, 3251029
69, 0.021964, 12287443, 84834, 877692, 3251029
79, 0.025400, 146524094, 99953, 114476208, 3251029
89, 0.028816, 11924798, 106862, 1088183, 3251029
99, 0.032236, 12277943, 119486, 1093595, 3251029
109, 0.035596, 12093580, 126337, 1079394, 3251029
119, 0.039096, 11751125, 134959, 991345, 3251029
129, 0.042416, 10671260, 140740, 919517, 3251029
139, 0.045708, 10076747, 146552, 842492, 3251029
149, 0.049152, 9536961, 153698, 779945, 3251029
159, 0.052472, 9339655, 163129, 782301, 3251029
169, 0.055812, 9413391, 172231, 768380, 3251029
179, 0.059112, 9636993, 181069, 791830, 3251029
189, 0.062464, 9817487, 187652, 790077, 3251029
199, 0.065884, 9782240, 200519, 773177, 3251029
209, 0.069216, 9837808, 209472, 774029, 3251029
219, 0.072512, 9877339, 215713, 776954, 3251029
229, 0.075772, 9980155, 225611, 776605, 3251029
239, 0.079116, 10051718, 234601, 776282, 3251029
249, 0.082440, 10159397, 242464, 774188, 3251029
259, 0.085712, 25906940, 235943, 771443, 3251029
269, 0.089048, 10126220, 243763, 777099, 3251029
279, 0.092292, 10233442, 252592, 771789, 3251029
289, 0.095540, 10288894, 259824, 773196, 3251029
299, 0.098748, 10397561, 266044, 771286, 3251029
309, 0.102024, 10446277, 275655, 771985, 3251029
319, 0.105300, 10572225, 284330, 770785, 3251029
329, 0.108528, 10625507, 289664, 784686, 3251029
339, 0.111840, 10733962, 299126, 784243, 3251029
349, 0.115084, 10813755, 308379, 776002, 3251029
359, 0.118284, 10841911, 313645, 774107, 3251029
369, 0.121544, 10979917, 320876, 770941, 3251029
379, 0.124772, 11025715, 329786, 775576, 3251029
389, 0.127996, 11114108, 337138, 773812, 3251029
399, 0.131236, 11157227, 343650, 777029, 3251029
409, 0.134500, 16903408, 343118, 773420, 3251029
419, 0.137760, 11248286, 351157, 775036, 3251029
429, 0.140924, 11286762, 356877, 772605, 3251029
439, 0.144108, 11421231, 365755, 782368, 3251029
449, 0.147288, 11456945, 372293, 775323, 3251029
459, 0.150532, 11548938, 378071, 780746, 3251029
469, 0.153776, 11628718, 388304, 773301, 3251029
479, 0.156920, 11674564, 396102, 774486, 3251029
489, 0.160052, 11800226, 402949, 775340, 3251029
499, 0.163256, 11841136, 410272, 778856, 3251029
509, 0.166496, 11937054, 417486, 774818, 3251029
519, 0.169704, 12038017, 426602, 801519, 3251029
529, 0.172920, 12083396, 432658, 775718, 3251029
539, 0.176156, 2639342492, 447053, 1241451, 3251029
549, 0.179464, 25849460, 453257, 1626848, 3251029
559, 0.182652, 155948987, 462327, 1085237, 3251029
569, 0.185960, 15533950, 469633, 1079484, 3251029
579, 0.189196, 15556062, 476090, 1028452, 3251029
589, 0.192320, 14493054, 479547, 913852, 3251029
599, 0.195520, 13464880, 486273, 821789, 3251029
609, 0.198684, 12822460, 493091, 771340, 3251029
619, 0.201868, 12783454, 497988, 777203, 3251029
629, 0.205056, 12867902, 507112, 779598, 3251029
639, 0.208288, 12924582, 514884, 780928, 3251029
649, 0.211424, 13177074, 524037, 780560, 3251029
659, 0.214584, 13106670, 530495, 787250, 3251029
669, 0.217752, 13161860, 539486, 791011, 3251029
679, 0.220848, 13254193, 542652, 783454, 3251029
689, 0.224108, 13321970, 552565, 781170, 3251029
699, 0.227280, 13394305, 562092, 784474, 3251029
709, 0.230368, 13495839, 566793, 791230, 3251029
719, 0.233552, 13573690, 577669, 783496, 3251029
729, 0.236680, 13648622, 581344, 786488, 3251029
739, 0.239804, 13771095, 593918, 782678, 3251029
749, 0.242948, 13844079, 599330, 785955, 3251029
759, 0.246184, 13891412, 605314, 785249, 3251029
769, 0.249296, 13995114, 613366, 791480, 3251029
779, 0.252372, 14069519, 624643, 795651, 3251029
789, 0.255620, 14144091, 628722, 801625, 3251029
799, 0.258804, 14181033, 633922, 784718, 3251029
809, 0.261992, 14305619, 646021, 791786, 3251029
819, 0.265168, 14497841, 652593, 809394, 3251029
829, 0.268368, 14666797, 659517, 807034, 3251029
839, 0.271624, 14759152, 668812, 811106, 3251029
849, 0.274752, 14870382, 679829, 805444, 3251029
859, 0.277892, 14969845, 685620, 818100, 3251029
869, 0.281128, 14964389, 689628, 805751, 3251029
879, 0.284236, 15067902, 695972, 808819, 3251029
889, 0.287468, 15162604, 706402, 807646, 3251029
899, 0.290640, 15203500, 714885, 809520, 3251029
909, 0.293820, 15286425, 718014, 808171, 3251029
919, 0.296956, 2646973921, 731188, 1273622, 3251029
929, 0.300068, 39468670, 744124, 14613997, 3251029
939, 0.303204, 143425524, 747879, 1103928, 3251029
949, 0.306292, 18540062, 752381, 1098142, 3251029
959, 0.309472, 18022909, 759474, 959922, 3251029
969, 0.312600, 16568527, 766983, 839798, 3251029
979, 0.315732, 15882903, 770703, 790819, 3251029
989, 0.318812, 15721715, 778784, 810784, 3251029
