Step, Coverage [%], Step time [ns], Transition time [ns], Find ac time [ns]
9, 0.000000, 137540161, 2592479, 0, 0
19, 0.000000, 25921020, 2585368, 0, 0
29, 0.000000, 25972075, 2589996, 0, 0
39, 0.000000, 25894546, 2575911, 0, 0
49, 0.000000, 25816217, 2576865, 0, 0
59, 0.000000, 25809458, 2577342, 0, 0
69, 0.000000, 25793850, 2575022, 0, 0
79, 0.000000, 25768447, 2574187, 0, 0
89, 0.000000, 25743961, 2574446, 0, 0
99, 0.000000, 25724168, 2575852, 0, 0
109, 0.000000, 25675899, 2567840, 0, 0
119, 0.000000, 25631412, 2566977, 0, 0
129, 0.000000, 25605171, 2556471, 0, 0
139, 0.000000, 25600169, 2560330, 0, 0
149, 0.000000, 25586218, 2556540, 0, 0
159, 0.000000, 25550909, 2556378, 0, 0
169, 0.000000, 25538941, 2548698, 0, 0
179, 0.000000, 25512255, 2552902, 0, 0
189, 0.000000, 25496461, 2548778, 0, 0
199, 0.000000, 25454134, 2547683, 0, 0
209, 0.000000, 25445852, 2544414, 0, 0
219, 0.000000, 25421300, 2534946, 0, 0
229, 0.000000, 25404079, 2538333, 0, 0
239, 0.000000, 25373378, 2528221, 0, 0
249, 0.000000, 25349465, 2533556, 0, 0
259, 0.000000, 25315476, 2530087, 0, 0
269, 0.000000, 25331439, 2531996, 0, 0
279, 0.000000, 25298493, 2522496, 0, 0
289, 0.000000, 25268617, 2523202, 0, 0
299, 0.000000, 25256087, 2525897, 0, 0
309, 0.000000, 25216748, 2519929, 0, 0
319, 0.000000, 25214549, 2517899, 0, 0
329, 0.000000, 25199713, 2515174, 0, 0
339, 0.000000, 25165314, 2516767, 0, 0
349, 0.000000, 25151319, 2512695, 0, 0
359, 0.000000, 25124299, 2511181, 0, 0
369, 0.000000, 25105508, 2503330, 0, 0
379, 0.000000, 25069327, 2505820, 0, 0
389, 0.000000, 25055485, 2501906, 0, 0
399, 0.000000, 25042093, 2497955, 0, 0
409, 0.000000, 25012057, 2497200, 0, 0
419, 0.000000, 25009388, 2496033, 0, 0
429, 0.000000, 24990034, 2491590, 0, 0
439, 0.000000, 24952701, 2495142, 0, 0
449, 0.000000, 24915781, 2491783, 0, 0
459, 0.000000, 24910239, 2484296, 0, 0
469, 0.000000, 24874877, 2486641, 0, 0
479, 0.000000, 24861471, 2487174, 0, 0
489, 0.000000, 24850079, 2482647, 0, 0
499, 0.000000, 24833903, 2481133, 0, 0
509, 0.000000, 24797625, 2479627, 0, 0
519, 0.000000, 24782849, 2476379, 0, 0
529, 0.000000, 24756000, 2476326, 0, 0
539, 0.000000, 24742453, 2469468, 0, 0
549, 0.000000, 24713592, 2470744, 0, 0
559, 0.000000, 24698588, 2468154, 0, 0
569, 0.000000, 24673835, 2467825, 0, 0
579, 0.000000, 24637229, 2459229, 0, 0
589, 0.000000, 24627285, 2464770, 0, 0
599, 0.000000, 24596938, 2457667, 0, 0
609, 0.000000, 24605496, 2452654, 0, 0
619, 0.000000, 24587105, 2457090, 0, 0
629, 0.000000, 24529714, 2458787, 0, 0
639, 0.000000, 24533252, 2450856, 0, 0
649, 0.000000, 24495609, 2451399, 0, 0
659, 0.000000, 24463168, 2442728, 0, 0
669, 0.000000, 24467992, 2441399, 0, 0
679, 0.000000, 24452791, 2441547, 0, 0
689, 0.000000, 24410528, 2436709, 0, 0
699, 0.000000, 24393527, 2437310, 0, 0
709, 0.000000, 24362660, 2443150, 0, 0
719, 0.000000, 24346311, 2429519, 0, 0
729, 0.000000, 24327652, 2421765, 0, 0
739, 0.000000, 24302760, 2426857, 0, 0
749, 0.000000, 24287329, 2422895, 0, 0
759, 0.000000, 24274725, 2421035, 0, 0
769, 0.000000, 24268193, 2424818, 0, 0
779, 0.000000, 24229944, 2423224, 0, 0
789, 0.000000, 24203887, 2419467, 0, 0
799, 0.000000, 24177302, 2418845, 0, 0
809, 0.000000, 24172483, 2414026, 0, 0
819, 0.000000, 24146272, 2410834, 0, 0
829, 0.000000, 24137659, 2408129, 0, 0
839, 0.000000, 24102754, 2405857, 0, 0
849, 0.000000, 24090929, 2406000, 0, 0
859, 0.000000, 24093578, 2406111, 0, 0
869, 0.000000, 24046955, 2400031, 0, 0
879, 0.000000, 24039553, 2404601, 0, 0
889, 0.000000, 24008175, 2397474, 0, 0
899, 0.000000, 23992544, 2400708, 0, 0
909, 0.000000, 23976315, 2400852, 0, 0
919, 0.000000, 23958141, 2394364, 0, 0
929, 0.000000, 23933112, 2386871, 0, 0
939, 0.000000, 23917437, 2387119, 0, 0
949, 0.000000, 23880604, 2384918, 0, 0
959, 0.000000, 23852041, 2383352, 0, 0
969, 0.000000, 23835130, 2378550, 0, 0
979, 0.000000, 23831013, 2383718, 0, 0
989, 0.000000, 23808248, 2376363, 0, 0
999, 0.000000, 23781725, 2376161, 0, 0
1009, 0.000000, 23768637, 2375697, 0, 0
1019, 0.000000, 23758749, 2372782, 0, 0
1029, 0.000000, 23731958, 2371896, 0, 0
1039, 0.000000, 23712308, 2367607, 0, 0
1049, 0.000000, 23682826, 2364837, 0, 0
1059, 0.000000, 23673251, 2362405, 0, 0
1069, 0.000000, 23645189, 2361389, 0, 0
1079, 0.000000, 23619270, 2364555, 0, 0
1089, 0.000000, 23620781, 2357953, 0, 0
1099, 0.000000, 23586150, 2357060, 0, 0
1109, 0.000000, 23549224, 2354503, 0, 0
1119, 0.000000, 23550004, 2351288, 0, 0
1129, 0.000000, 23535413, 2349310, 0, 0
1139, 0.000000, 23510502, 2348633, 0, 0
1149, 0.000000, 23498912, 2344676, 0, 0
1159, 0.000000, 23471547, 2340478, 0, 0
1169, 0.000000, 23454613, 2347809, 0, 0
1179, 0.000000, 23428294, 2343226, 0, 0
1189, 0.000000, 23418568, 2344939, 0, 0
1199, 0.000000, 23400388, 2337213, 0, 0
1209, 0.000000, 23371924, 2338229, 0, 0
1219, 0.000000, 23353367, 2330409, 0, 0
1229, 0.000000, 23345352, 2332937, 0, 0
1239, 0.000000, 23327194, 2333583, 0, 0
1249, 0.000000, 23304377, 2331795, 0, 0
1259, 0.000000, 23269768, 2327774, 0, 0
1269, 0.000000, 23242776, 2318883, 0, 0
1279, 0.000000, 23222559, 2323597, 0, 0
1289, 0.000000, 23206060, 2320404, 0, 0
1299, 0.000000, 23195263, 2315003, 0, 0
1309, 0.000000, 23181092, 2318834, 0, 0
1319, 0.000000, 23148533, 2313488, 0, 0
1329, 0.000000, 23138927, 2315575, 0, 0
1339, 0.000000, 23118729, 2311441, 0, 0
1349, 0.000000, 23096394, 2308520, 0, 0
1359, 0.000000, 23076370, 2305558, 0, 0
1369, 0.000000, 23039137, 2299117, 0, 0
1379, 0.000000, 23029172, 2297252, 0, 0
1389, 0.000000, 23012857, 2301203, 0, 0
1399, 0.000000, 22993769, 2298429, 0, 0
1409, 0.000000, 22964865, 2295800, 0, 0
1419, 0.000000, 22941743, 2290064, 0, 0
1429, 0.000000, 22932269, 2291077, 0, 0
1439, 0.000000, 22897158, 2285104, 0, 0
1449, 0.000000, 22885723, 2285474, 0, 0
1459, 0.000000, 22870124, 2286142, 0, 0
1469, 0.000000, 22847667, 2281334, 0, 0
1479, 0.000000, 22838469, 2282213, 0, 0
1489, 0.000000, 22815985, 2284475, 0, 0
1499, 0.000000, 22782542, 2278067, 0, 0
1509, 0.000000, 22777490, 2271762, 0, 0
1519, 0.000000, 22741147, 2271417, 0, 0
1529, 0.000000, 22730099, 2267610, 0, 0
1539, 0.000000, 22708482, 2268784, 0, 0
1549, 0.000000, 22686981, 2266445, 0, 0
1559, 0.000000, 22672747, 2264052, 0, 0
1569, 0.000000, 22654933, 2265668, 0, 0
1579, 0.000000, 22635897, 2259941, 0, 0
1589, 0.000000, 22617856, 2261793, 0, 0
1599, 0.000000, 22589372, 2255647, 0, 0
1609, 0.000000, 22578810, 2258610, 0, 0
1619, 0.000000, 22565227, 2259729, 0, 0
1629, 0.000000, 22547469, 2250659, 0, 0
1639, 0.000000, 22534603, 2247949, 0, 0
1649, 0.000000, 22492847, 2245690, 0, 0
1659, 0.000000, 22477929, 2244927, 0, 0
1669, 0.000000, 22464599, 2243055, 0, 0
1679, 0.000000, 22446919, 2239156, 0, 0
1689, 0.000000, 22461034, 2240849, 0, 0
1699, 0.000000, 22424424, 2244615, 0, 0
1709, 0.000000, 22381976, 2239224, 0, 0
1719, 0.000000, 22357017, 2231457, 0, 0
1729, 0.000000, 22351379, 2233697, 0, 0
1739, 0.000000, 22308886, 2227092, 0, 0
1749, 0.000000, 22302152, 2230311, 0, 0
1759, 0.000000, 22289114, 2227311, 0, 0
1769, 0.000000, 22258029, 2225415, 0, 0
1779, 0.000000, 22237271, 2222118, 0, 0
1789, 0.000000, 22222832, 2219281, 0, 0
1799, 0.000000, 22196984, 2217738, 0, 0
1809, 0.000000, 22181704, 2214282, 0, 0
1819, 0.000000, 22159176, 2209591, 0, 0
1829, 0.000000, 22142743, 2211427, 0, 0
1839, 0.000000, 22126542, 2210101, 0, 0
1849, 0.000000, 22119982, 2207559, 0, 0
1859, 0.000000, 22094730, 2205599, 0, 0
1869, 0.000000, 22074221, 2203942, 0, 0
1879, 0.000000, 22047183, 2205440, 0, 0
1889, 0.000000, 22023683, 2202322, 0, 0
1899, 0.000000, 22021176, 2200095, 0, 0
1909, 0.000000, 22001244, 2197773, 0, 0
1919, 0.000000, 21970391, 2194025, 0, 0
1929, 0.000000, 21944515, 2191976, 0, 0
1939, 0.000000, 21930347, 2189646, 0, 0
1949, 0.000000, 21909877, 2189826, 0, 0
1959, 0.000000, 21890990, 2187397, 0, 0
1969, 0.000000, 21878111, 2185842, 0, 0
1979, 0.000000, 21854954, 2183825, 0, 0
1989, 0.000000, 21835790, 2183100, 0, 0
1999, 0.000000, 21809988, 2179020, 0, 0
2009, 0.000000, 21786508, 2177441, 0, 0
2019, 0.000000, 21764579, 2174005, 0, 0
2029, 0.000000, 21740816, 2173416, 0, 0
2039, 0.000000, 21730921, 2172441, 0, 0
2049, 0.000000, 21724640, 2170902, 0, 0
2059, 0.000000, 21710996, 2169550, 0, 0
2069, 0.000000, 21682723, 2167737, 0, 0
2079, 0.000000, 21656459, 2162173, 0, 0
2089, 0.000000, 21639167, 2159484, 0, 0
2099, 0.000000, 21617223, 2158037, 0, 0
2109, 0.000000, 21597626, 2159991, 0, 0
