Step, Coverage [%], Step time [ns], Transition time [ns], Find ac time [ns]
9, 0.000724, 8847947, 106454, 729996, 64610116
19, 0.003044, 21017763, 278683, 727626, 64610116
29, 0.006820, 11849199, 548661, 733437, 64610116
39, 0.011204, 14744205, 881926, 736090, 64610116
49, 0.014928, 17798124, 1127574, 731879, 64610116
59, 0.018392, 20319411, 1397618, 732029, 64610116
69, 0.021964, 22796564, 1649079, 738957, 64610116
79, 0.025400, 25307279, 1876788, 731826, 64610116
89, 0.028816, 27930255, 2153021, 734693, 64610116
99, 0.032236, 30421178, 2385874, 735692, 64610116
109, 0.035596, 32855650, 2654404, 736519, 64610116
119, 0.039096, 35269442, 2878275, 735304, 64610116
129, 0.042416, 37680299, 3091116, 747773, 64610116
139, 0.045708, 40304869, 3393560, 742898, 64610116
149, 0.049152, 42653795, 3611317, 738378, 64610116
159, 0.052472, 45018978, 3846730, 743960, 64610116
169, 0.055812, 47169594, 4061406, 761889, 64610116
179, 0.059112, 49720958, 4364557, 752716, 64610116
189, 0.062464, 52140539, 4565330, 741672, 64610116
199, 0.065884, 54693200, 4855199, 749401, 64610116
209, 0.069216, 56789831, 5041837, 741533, 64610116
219, 0.072512, 59262603, 5273342, 741150, 64610116
229, 0.075772, 61432958, 5469489, 743612, 64610116
239, 0.079116, 63564391, 5715966, 743831, 64610116
249, 0.082440, 66019536, 5955296, 745270, 64610116
259, 0.085712, 68172062, 6151627, 750122, 64610116
269, 0.089048, 70560914, 6428567, 749549, 64610116
279, 0.092292, 72876667, 6617890, 752117, 64610116
289, 0.095540, 74974529, 6822996, 744321, 64610116
299, 0.098748, 77180333, 7065483, 745843, 64610116
309, 0.102024, 79410602, 7299126, 745972, 64610116
319, 0.105300, 81854142, 7544702, 746402, 64610116
329, 0.108528, 84073095, 7737603, 747337, 64610116
339, 0.111840, 86288300, 7931380, 746579, 64610116
349, 0.115084, 88587942, 8207888, 746418, 64610116
359, 0.118284, 90608804, 8415929, 749421, 64610116
369, 0.121544, 92708165, 8615091, 756324, 64610116
379, 0.124772, 95327620, 8920801, 747508, 64610116
