Step, Coverage [%], Step time [ns], Transition time [ns], Find ac time [ns]
9, 0.000724, 22659476, 626029, 732667, 0
19, 0.003044, 19394802, 1142268, 736429, 0
29, 0.006820, 15731359, 734417, 738135, 0
39, 0.011204, 18839634, 1151125, 747869, 0
49, 0.014928, 21647659, 1485960, 733710, 0
59, 0.018392, 26681778, 1813256, 745116, 0
69, 0.021964, 33013220, 1963683, 740259, 0
79, 0.025400, 29358981, 2242309, 757745, 0
89, 0.028816, 35827684, 2492854, 735490, 0
99, 0.032236, 37052538, 2796718, 747431, 0
109, 0.035596, 41533839, 2804213, 5870491, 0
119, 0.039096, 40071901, 3053371, 749283, 0
129, 0.042416, 40636741, 3277202, 728232, 0
139, 0.045708, 42145592, 3554360, 729337, 0
149, 0.049152, 53462458, 3631055, 729546, 0
159, 0.052472, 44540137, 3879422, 739563, 0
169, 0.055812, 47415711, 4403040, 745909, 0
179, 0.059112, 49666236, 4334920, 735774, 0
189, 0.062464, 51911281, 4604178, 733113, 0
199, 0.065884, 54345734, 4874397, 733714, 0
209, 0.069216, 56731549, 5081777, 731050, 0
219, 0.072512, 59173970, 5336766, 731442, 0
229, 0.075772, 61541898, 5566881, 735704, 0
239, 0.079116, 63679556, 5789184, 731098, 0
249, 0.082440, 65972016, 5959403, 758326, 0
259, 0.085712, 68723334, 6266425, 734315, 0
269, 0.089048, 71466873, 6537252, 762237, 0
279, 0.092292, 73039809, 6744222, 734652, 0
289, 0.095540, 75415140, 6969660, 738153, 0
299, 0.098748, 77649788, 7190629, 738554, 0
309, 0.102024, 79989857, 7398847, 741250, 0
319, 0.105300, 82282876, 7669947, 737626, 0
329, 0.108528, 84456167, 7865734, 739605, 0
339, 0.111840, 86726921, 8124672, 749114, 0
349, 0.115084, 89233030, 8394980, 738530, 0
359, 0.118284, 91408743, 8544016, 740047, 0
369, 0.121544, 93514708, 8791575, 740871, 0
379, 0.124772, 95938474, 9041038, 741579, 0
389, 0.127996, 98365695, 9299131, 744411, 0
399, 0.131236, 100538321, 9471897, 739854, 0
409, 0.134500, 102572072, 9719402, 749896, 0
419, 0.137760, 104985647, 9956419, 741526, 0
429, 0.140924, 107041446, 10161989, 742648, 0
439, 0.144108, 109257969, 10385766, 739808, 0
449, 0.147288, 111350289, 10575592, 742767, 0
459, 0.150532, 113563430, 10821233, 750539, 0
469, 0.153776, 115575324, 10979542, 748804, 0
479, 0.156920, 119715906, 11256892, 740800, 0
489, 0.160052, 121071732, 11448100, 744088, 0
499, 0.163256, 124683402, 11559756, 3135972, 0
509, 0.166496, 126898224, 11707169, 744325, 0
519, 0.169704, 139300588, 12202600, 756241, 0
529, 0.172920, 140390204, 12378597, 752266, 0
539, 0.176156, 140570001, 12902313, 3349006, 0
549, 0.179464, 138529765, 13236819, 753130, 0
559, 0.182652, 143547389, 13559649, 760279, 0
569, 0.185960, 147312186, 13852352, 769932, 0
579, 0.189196, 155289907, 13922302, 753385, 0
589, 0.192320, 149832939, 14408899, 871493, 0
599, 0.195520, 152524393, 14611334, 751098, 0
609, 0.198684, 158146434, 15020312, 1676391, 0
619, 0.201868, 164054706, 15346111, 4763804, 0
629, 0.205056, 175625711, 15436504, 757626, 0
639, 0.208288, 175946615, 15537491, 757145, 0
649, 0.211424, 165408887, 15610923, 747500, 0
659, 0.214584, 173373670, 16102777, 2269837, 0
669, 0.217752, 173266466, 16385354, 758553, 0
679, 0.220848, 176222812, 16772366, 749103, 0
689, 0.224108, 185621334, 16965441, 749348, 0
699, 0.227280, 180614742, 17405434, 759144, 0
709, 0.230368, 184140372, 17597527, 754638, 0
719, 0.233552, 189044862, 17939078, 2771890, 0
729, 0.236680, 200075750, 18247436, 1637143, 0
739, 0.239804, 200596328, 18336832, 1581225, 0
749, 0.242948, 200842473, 18543495, 1547989, 0
759, 0.246184, 201307158, 18901199, 1153349, 0
769, 0.249296, 204901893, 19319628, 767551, 0
779, 0.252372, 203585149, 19469747, 761474, 0
789, 0.255620, 204975443, 19708838, 3044314, 0
799, 0.258804, 207021272, 20365291, 757551, 0
809, 0.261992, 216579897, 20951361, 765393, 0
819, 0.265168, 219345551, 21467884, 799663, 0
829, 0.268368, 224233415, 21549718, 765332, 0
839, 0.271624, 226945231, 21480096, 766685, 0
849, 0.274752, 220930321, 21289044, 755419, 0
859, 0.277892, 224094418, 21986737, 758664, 0
869, 0.281128, 231541865, 22257085, 766778, 0
879, 0.284236, 251473491, 22086372, 10569548, 0
889, 0.287468, 230323114, 21768029, 759028, 0
899, 0.290640, 244316576, 22424258, 775629, 0
909, 0.293820, 238051160, 22785081, 783600, 0
919, 0.296956, 237472589, 22970586, 770397, 0
929, 0.300068, 240838403, 23630773, 768891, 0
939, 0.303204, 253464917, 23986146, 765777, 0
