Step, Coverage [%], Step time [ns], Transition time [ns], Find ac time [ns]
9, 0.000000, 807073312, 61439258, 0, 0
19, 0.000000, 614735619, 61449813, 0, 0
29, 0.000000, 614650844, 61424008, 0, 0
39, 0.000000, 614830630, 61453754, 0, 0
49, 0.000000, 614785258, 61445164, 0, 0
59, 0.000000, 614971266, 61453745, 0, 0
69, 0.000000, 618031515, 62271395, 0, 0
79, 0.000000, 630252244, 63146151, 0, 0
89, 0.000000, 637091705, 64466460, 0, 0
99, 0.000000, 649355992, 65111660, 0, 0
109, 0.000000, 650154471, 65008392, 0, 0
119, 0.000000, 665408497, 67133204, 0, 0
129, 0.000000, 668659193, 66604009, 0, 0
139, 0.000000, 657414230, 66117786, 0, 0
149, 0.000000, 672223727, 67308187, 0, 0
159, 0.000000, 673123053, 67645878, 0, 0
169, 0.000000, 691479884, 69373643, 0, 0
179, 0.000000, 674356479, 65683970, 0, 0
189, 0.000000, 670110365, 68047766, 0, 0
199, 0.000000, 696342489, 69813900, 0, 0
209, 0.000000, 684122634, 67715028, 0, 0
219, 0.000000, 694319699, 69886482, 0, 0
229, 0.000000, 683929832, 68595985, 0, 0
239, 0.000000, 703525163, 71598721, 0, 0
249, 0.000000, 699409010, 67412242, 0, 0
259, 0.000000, 682020651, 68880856, 0, 0
269, 0.000000, 693004774, 69779962, 0, 0
279, 0.000000, 705373571, 68814336, 0, 0
289, 0.000000, 689796969, 69910299, 0, 0
299, 0.000000, 714895093, 71602654, 0, 0
309, 0.000000, 702574181, 68315719, 0, 0
319, 0.000000, 685062347, 69893002, 0, 0
329, 0.000000, 709489819, 70002158, 0, 0
339, 0.000000, 688916908, 69373618, 0, 0
349, 0.000000, 709163303, 71035009, 0, 0
359, 0.000000, 690756499, 69101992, 0, 0
369, 0.000000, 708845419, 72945914, 0, 0
379, 0.000000, 709444199, 69891197, 0, 0
389, 0.000000, 709682941, 71142306, 0, 0
399, 0.000000, 682922938, 67027872, 0, 0
409, 0.000000, 688187830, 69951902, 0, 0
419, 0.000000, 703618706, 69165597, 0, 0
429, 0.000000, 695940268, 69796602, 0, 0
439, 0.000000, 683122176, 69057666, 0, 0
449, 0.000000, 695311542, 68367539, 0, 0
459, 0.000000, 686644649, 69922860, 0, 0
469, 0.000000, 706504494, 70899320, 0, 0
479, 0.000000, 695194996, 68400625, 0, 0
489, 0.000000, 702008777, 71628246, 0, 0
499, 0.000000, 710888584, 69805761, 0, 0
509, 0.000000, 694714590, 69781009, 0, 0
519, 0.000000, 701652441, 68928605, 0, 0
529, 0.000000, 696571825, 69785382, 0, 0
539, 0.000000, 698389833, 69933074, 0, 0
549, 0.000000, 711517490, 71051438, 0, 0
559, 0.000000, 687806393, 68819415, 0, 0
569, 0.000000, 699438175, 70980347, 0, 0
579, 0.000000, 682197508, 67816957, 0, 0
589, 0.000000, 695315195, 69889588, 0, 0
599, 0.000000, 703134188, 70261155, 0, 0
609, 0.000000, 711808634, 70916778, 0, 0
619, 0.000000, 695230238, 69514545, 0, 0
629, 0.000000, 711054378, 71394041, 0, 0
639, 0.000000, 697980571, 68969663, 0, 0
649, 0.000000, 691046252, 69944960, 0, 0
659, 0.000000, 707914429, 71124304, 0, 0
669, 0.000000, 698517433, 69941649, 0, 0
679, 0.000000, 709957935, 70876137, 0, 0
689, 0.000000, 695659728, 69930970, 0, 0
699, 0.000000, 691380891, 67733455, 0, 0
709, 0.000000, 699073169, 71085662, 0, 0
719, 0.000000, 727182760, 71705564, 0, 0
729, 0.000000, 696023124, 69902414, 0, 0
739, 0.000000, 705899733, 71485196, 0, 0
749, 0.000000, 713706879, 69646482, 0, 0
759, 0.000000, 696172946, 69766349, 0, 0
769, 0.000000, 708992759, 71384278, 0, 0
779, 0.000000, 698709624, 68509132, 0, 0
789, 0.000000, 695024729, 69763395, 0, 0
799, 0.000000, 693065670, 69853669, 0, 0
809, 0.000000, 710855844, 70678674, 0, 0
819, 0.000000, 684851271, 69082499, 0, 0
829, 0.000000, 705780863, 71690442, 0, 0
839, 0.000000, 712259105, 69375985, 0, 0
849, 0.000000, 683008549, 69288929, 0, 0
859, 0.000000, 716144376, 73935708, 0, 0
869, 0.000000, 726805846, 70191397, 0, 0
879, 0.000000, 680998178, 67525794, 0, 0
889, 0.000000, 690017449, 69852415, 0, 0
899, 0.000000, 721450912, 72822712, 0, 0
909, 0.000000, 700575491, 69918809, 0, 0
919, 0.000000, 697872740, 69756735, 0, 0
929, 0.000000, 710354683, 71235988, 0, 0
939, 0.000000, 724708502, 73824146, 0, 0
949, 0.000000, 703506417, 68712945, 0, 0
959, 0.000000, 695513382, 69815288, 0, 0
969, 0.000000, 698038457, 69756981, 0, 0
979, 0.000000, 706464484, 71426913, 0, 0
989, 0.000000, 725447915, 71694349, 0, 0
999, 0.000000, 693380363, 69275849, 0, 0
1009, 0.000000, 705776542, 70885331, 0, 0
1019, 0.000000, 684804297, 67480856, 0, 0
1029, 0.000000, 686026316, 69834238, 0, 0
1039, 0.000000, 704732077, 69489887, 0, 0
1049, 0.000000, 681938941, 68816980, 0, 0
1059, 0.000000, 705173486, 71543381, 0, 0
1069, 0.000000, 703486234, 69895801, 0, 0
1079, 0.000000, 711975045, 73286810, 0, 0
1089, 0.000000, 715482617, 69512366, 0, 0
1099, 0.000000, 697577517, 71381399, 0, 0
1109, 0.000000, 706593648, 69924907, 0, 0
1119, 0.000000, 712578672, 71548117, 0, 0
